Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,12.92,0.6,Sergey SHUBENKOV,04 OCT 1990,RUS,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 JUL 2018,1270.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14941422,toplist
2.0,13.08,1.3,Orlando ORTEGA,29 JUL 1991,ESP,1,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1239.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14325772,toplist
3.0,13.12,0.9,Ronald LEVY,30 OCT 1992,JAM,2,,Ostrava (CZE),09 SEP 2018,1231.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14540136,toplist
4.0,13.15,0.9,Grant HOLLOWAY,19 NOV 1997,USA,1,,"Knoxville, TN (USA)",13 MAY 2018,1225.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14516985,toplist
5.0,13.16,0.2,Omar MCLEOD,25 APR 1994,JAM,1,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1223.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14435592,toplist
6.0,13.17,0.0,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1221.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14360095,toplist
7.0,13.21,-0.2,Hansle PARCHMENT,17 JUN 1990,JAM,4,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1215.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14325570,toplist
8.0,13.23,0.5,Gabriel CONSTANTINO,09 FEB 1995,BRA,2,,Montreuil (FRA),19 JUN 2018,1210.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14481684,toplist
8.0,13.23,1.5,Devon ALLEN,12 DEC 1994,USA,3,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1210.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14432012,toplist
10.0,13.26,0.0,Gregor TRABER,02 DEC 1992,GER,2sf1,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1204.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14363186,toplist
11.0,13.27,0.9,Daniel ROBERTS,13 NOV 1997,USA,2,,"Knoxville, TN (USA)",13 MAY 2018,1202.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14577558,toplist
11.0,13.27,0.6,Balázs BAJI,09 JUN 1989,HUN,2,,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 JUL 2018,1202.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14195900,toplist
11.0,13.27,1.3,Freddie CRITTENDEN,03 AUG 1994,USA,4,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1202.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14491556,toplist
14.0,13.28,0.8,Andrew POZZI,15 MAY 1992,GBR,2sf2,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1200.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14375897,toplist
15.0,13.31,1.9,Ruebin WALTERS,02 APR 1995,TTO,2,,"Gainesville, FL (USA)",13 APR 2018,1194.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14469998,toplist
15.0,13.31,0.7,Aurel MANGA,24 JUL 1992,FRA,3h1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1194.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14406594,toplist
15.0,13.31,-0.3,Antonio ALKANA,12 APR 1990,RSA,3h2,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1195.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14462668,toplist
18.0,13.33,0.7,Jarret EATON,24 JUN 1989,USA,4h1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1191.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14237019,toplist
19.0,13.34,0.9,Johnathan CABRAL,31 DEC 1992,CAN,2,,Bellinzona (SUI),18 JUL 2018,1189.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14415971,toplist
19.0,13.34,0.0,Wenjun XIE,11 JUL 1990,CHN,1,,Jakarta (INA),28 AUG 2018,1189.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14171016,toplist
21.0,13.35,1.8,Ryan FONTENOT,04 MAY 1986,USA,1h1,,"Montverde, FL (USA)",09 JUN 2018,1187.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14237922,toplist
22.0,13.36,2.0,Milan TRAJKOVIC,17 MAR 1992,CYP,3h2,,Gold Coast (AUS),09 APR 2018,1185.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14480568,toplist
22.0,13.36,0.9,Ahmad Khader AL-MUWALLAD,16 FEB 1988,KSA,1,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1185.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14210755,toplist
22.0,13.36,0.7,Taio KANAI,28 SEP 1995,JPN,1,,Yamaguchi (JPN),24 JUN 2018,1185.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14547895,toplist
25.0,13.37,0.6,Aries MERRITT,24 JUL 1985,USA,4,,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 JUL 2018,1183.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14245965,toplist
25.0,13.37,0.9,Aleec HARRIS,31 OCT 1990,USA,3,,Bellinzona (SUI),18 JUL 2018,1183.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14403755,toplist
25.0,13.37,1.1,Damian CZYKIER,10 AUG 1992,POL,1,,Lublin (POL),22 JUL 2018,1183.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14434325,toplist
28.0,13.38,-0.3,Nicholas HOUGH,20 OCT 1993,AUS,3,,Gold Coast (AUS),10 APR 2018,1182.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14384288,toplist
28.0,13.38,1.1,Ludovic PAYEN,18 FEB 1995,FRA,1,,Bonneuil-sur-Marne (FRA),20 JUN 2018,1181.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14501152,toplist
28.0,13.38,1.4,Shane BRATHWAITE,08 FEB 1990,BAR,1,,Barranquilla (COL),31 JUL 2018,1181.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14330082,toplist
31.0,13.39,0.7,Jason JOSEPH,11 OCT 1998,SUI,1sf1,,Zofingen (SUI),14 JUL 2018,1179.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14680682,toplist
31.0,13.39,0.0,Kuei-Ru CHEN,22 SEP 1993,TPE,2,,Jakarta (INA),28 AUG 2018,1179.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14547045,toplist
33.0,13.4,1.0,David KENDZIERA,09 SEP 1994,USA,1qf1,,"Sacramento, CA (USA)",26 MAY 2018,1177.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14532163,toplist
33.0,13.4,-1.0,Vitali PARAKHONKA,18 AUG 1993,BLR,1,,Minsk (BLR),20 JUL 2018,1183.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14509923,toplist
33.0,13.4,1.8,Paolo DAL MOLIN,31 JUL 1987,ITA,1h1,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1177.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14200099,toplist
36.0,13.41,0.6,Konstantinos DOUVALIDIS,10 MAR 1987,GRE,1,,Drama (GRE),28 APR 2018,1175.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14195074,toplist
37.0,13.44,-0.8,Damion THOMAS,29 JUN 1999,JAM,2sf3,,"Eugene, OR (USA)",06 JUN 2018,1174.0,men_110h,2018,https://worldathletics.org/athletes/athlete=14638359,toplist
