Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Jamal BRITT,28 DEC 1998,13.07,USA,Wanda Diamond League,16 MAY 2026,2026,1.,dl_meeting
Cordell TINCH,13 JUL 2000,13.10,USA,Wanda Diamond League,16 MAY 2026,2026,2.,dl_meeting
Rachid MURATAKE,06 FEB 2002,13.18,JPN,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Orlando BENNETT,12 OCT 1999,13.20,JAM,Wanda Diamond League,16 MAY 2026,2026,4.,dl_meeting
Junxi LIU,11 DEC 2003,13.22,CHN,Wanda Diamond League,16 MAY 2026,2026,5.,dl_meeting
Zhuoyi XU,21 AUG 2003,13.39,CHN,Wanda Diamond League,16 MAY 2026,2026,6.,dl_meeting
Enrique LLOPIS,15 OCT 2000,13.43,ESP,Wanda Diamond League,16 MAY 2026,2026,7.,dl_meeting
Jason JOSEPH,11 OCT 1998,13.51,SUI,Wanda Diamond League,16 MAY 2026,2026,8.,dl_meeting
Enzo DIESSL,06 JUN 2004,13.57,AUT,Wanda Diamond League,16 MAY 2026,2026,9.,dl_meeting
Jamal BRITT,28 DEC 1998,13.07,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Rachid MURATAKE,06 FEB 2002,13.13,JPN,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Orlando BENNETT,12 OCT 1999,13.20,JAM,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Jason JOSEPH,11 OCT 1998,13.24,SUI,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Cordell TINCH,13 JUL 2000,13.28,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Zhuoyi XU,21 AUG 2003,13.33,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
Junxi LIU,11 DEC 2003,13.35,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Enrique LLOPIS,15 OCT 2000,13.36,ESP,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Eric EDWARDS,03 JAN 2000,13.43,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Enzo DIESSL,06 JUN 2004,13.44,AUT,Wanda Diamond League Xiamen,23 MAY 2026,2026,10.,dl_meeting
Trey CUNNINGHAM,26 AUG 1998,12.98,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Orlando BENNETT,12 OCT 1999,13.31,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Enrique LLOPIS,15 OCT 2000,13.32,ESP,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Rachid MURATAKE,06 FEB 2002,13.40,JPN,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Thomas WILKES,16 MAY 2004,13.44,FRA,Golden Gala Pietro Mennea,04 JUN 2026,2026,5.,dl_meeting
Jason JOSEPH,11 OCT 1998,13.49,SUI,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Jakub SZYMAŃSKI,22 JUL 2002,13.54,POL,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
Just KWAOU-MATHEY,04 DEC 1999,13.76,FRA,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
Jamal BRITT,28 DEC 1998,26.75,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,9.,dl_meeting
Cordell TINCH,13 JUL 2000,13.23,USA,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Asier MARTÍNEZ,22 APR 2000,13.27,ESP,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Thomas WILKES,16 MAY 2004,13.28,FRA,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Enrique LLOPIS,15 OCT 2000,13.31,ESP,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
Kendry L. MENÉNDEZ,14 MAR 2006,13.41,CUB,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Romain LECOEUR,09 AUG 1997,13.46,FRA,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Just KWAOU-MATHEY,04 DEC 1999,13.57,FRA,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Jamal BRITT,28 DEC 1998,13.85,USA,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Jamal BRITT,28 DEC 1998,12.89,USA,Meeting de Paris,28 JUN 2026,2026,1.,dl_meeting
Shunsuke IZUMIYA,26 JAN 2000,13.01,JPN,Meeting de Paris,28 JUN 2026,2026,2.,dl_meeting
Trey CUNNINGHAM,26 AUG 1998,13.07,USA,Meeting de Paris,28 JUN 2026,2026,3.,dl_meeting
Michael OBASUYI,12 AUG 1999,13.10,BEL,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Rachid MURATAKE,06 FEB 2002,13.21,JPN,Meeting de Paris,28 JUN 2026,2026,5.,dl_meeting
Kendry L. MENÉNDEZ,14 MAR 2006,13.24,CUB,Meeting de Paris,28 JUN 2026,2026,6.,dl_meeting
Thomas WILKES,16 MAY 2004,13.32,FRA,Meeting de Paris,28 JUN 2026,2026,7.,dl_meeting
Kendrick SMALLWOOD,07 APR 2004,13.46,USA,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Jamal BRITT,28 DEC 1998,12.86,USA,Prefontaine Classic,04 JUL 2026,2026,1.,dl_meeting
Ja'Kobe THARP,30 SEP 2005,12.91,USA,Prefontaine Classic,04 JUL 2026,2026,2.,dl_meeting
Demario PRINCE,27 OCT 2004,13.01,JAM,Prefontaine Classic,04 JUL 2026,2026,3.,dl_meeting
Cordell TINCH,13 JUL 2000,13.07,USA,Prefontaine Classic,04 JUL 2026,2026,4.,dl_meeting
