Unnamed: 0,Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
0,1,3:26.00,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1302,1998,men_1500m
1,2,3:26.12,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),24 AUG 2001,1301,2001,men_1500m
2,3,3:26.34,Bernard LAGAT,12 DEC 1974,KEN,2,Bruxelles (BEL),24 AUG 2001,1297,2001,men_1500m
3,4,3:26.45,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),12 AUG 1998,1296,1998,men_1500m
4,5,3:26.69,Asbel KIPROP,30 JUN 1989,KEN,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1292,2015,men_1500m
5,6,3:26.89,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Zürich (SUI),16 AUG 2002,1289,2002,men_1500m
6,7,3:26.96,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Rieti (ITA),08 SEP 2002,1288,2002,men_1500m
7,8,3:27.21,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),11 AUG 2000,1285,2000,men_1500m
8,9,3:27.34,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stade Louis II, Monaco (MON)",19 JUL 2002,1283,2002,men_1500m
9,10,3:27.37,Noureddine MORCELI,28 FEB 1970,ALG,1,Nice (FRA),12 JUL 1995,1282,1995,men_1500m
10,11,3:27.40,Bernard LAGAT,12 DEC 1974,KEN,1,Zürich (SUI),06 AUG 2004,1282,2004,men_1500m
11,12,3:27.52,Noureddine MORCELI,28 FEB 1970,ALG,1,"Stade Louis II, Monaco (MON)",25 JUL 1995,1280,1995,men_1500m
12,13,3:27.64,Hicham EL GUERROUJ,14 SEP 1974,MAR,2,Zürich (SUI),06 AUG 2004,1279,2004,men_1500m
13,13,3:27.64,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,1279,2014,men_1500m
14,15,3:27.65,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1278,1999,men_1500m
15,16,3:27.72,Asbel KIPROP,30 JUN 1989,KEN,1,"Stade Louis II, Monaco (MON)",19 JUL 2013,1277,2013,men_1500m
16,17,3:27.91,Bernard LAGAT,12 DEC 1974,KEN,2,"Stade Louis II, Monaco (MON)",19 JUL 2002,1275,2002,men_1500m
17,18,3:27.95,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1274,2023,men_1500m
18,19,3:28.12,Noah NGENY,02 NOV 1978,KEN,2f1,Zürich (SUI),11 AUG 2000,1272,2000,men_1500m
19,20,3:28.28,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Stade Louis II, Monaco (MON)",09 JUL 2021,1269,2021,men_1500m
