Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Yared NUGUSE,01 JUN 1999,3:30.35,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Isaac NADER,17 AUG 1999,3:30.43,POR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Azeddine HABZ,19 JUL 1993,3:30.68,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Vincent CIATTEI,21 JAN 1995,3:30.90,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Tshepo TSHITE,15 JAN 1997,3:31.53,RSA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Andrew COSCORAN,18 JUN 1996,3:31.65,IRL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Reynold CHERUIYOT,30 JUL 2004,3:32.00,KEN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Fouad MESSAOUDI,07 JAN 2001,3:32.11,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Anass ESSAYI,18 MAY 2001,3:32.23,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Flavien SZOT,06 SEP 2001,3:32.24,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,10.,dl_meeting
Ruben VERHEYDEN,22 DEC 2000,3:32.38,BEL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,11.,dl_meeting
Narve Gilje NORDÅS,30 SEP 1998,3:33.45,NOR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,12.,dl_meeting
Festus LAGAT,10 OCT 1996,3:33.66,KEN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,13.,dl_meeting
José Carlos PINTO,03 MAY 1997,3:33.94,POR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,14.,dl_meeting
Elliot GILES,26 MAY 1994,3:42.41,GBR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,15.,dl_meeting
Samuel PIHLSTRÖM,08 MAR 2001,DNF,SWE,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,,dl_meeting
Žan RUDOLF,09 MAY 1993,DNF,SLO,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,,dl_meeting
Yared NUGUSE,01 JUN 1999,3:30.11,USA,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Cameron MYERS,09 JUN 2006,3:30.32,AUS,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Timothy CHERUIYOT,20 NOV 1995,3:30.67,KEN,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Vincent CIATTEI,21 JAN 1995,3:31.63,USA,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Narve Gilje NORDÅS,30 SEP 1998,3:31.74,NOR,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Hobbs KESSLER,15 MAR 2003,3:31.76,USA,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Ruben VERHEYDEN,22 DEC 2000,3:32.91,BEL,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Robert FARKEN,20 SEP 1997,3:32.99,GER,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Azeddine HABZ,19 JUL 1993,3:33.84,FRA,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Flavien SZOT,06 SEP 2001,3:34.27,FRA,BAUHAUS-Galan,07 JUN 2026,2026,10.,dl_meeting
Samuel PIHLSTRÖM,08 MAR 2001,3:34.53,SWE,BAUHAUS-Galan,07 JUN 2026,2026,11.,dl_meeting
Jimmy GRESSIER,04 MAY 1997,3:34.63,FRA,BAUHAUS-Galan,07 JUN 2026,2026,12.,dl_meeting
Jake HEYWARD,26 APR 1999,3:35.53,GBR,BAUHAUS-Galan,07 JUN 2026,2026,13.,dl_meeting
