Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,7:58.15,,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1267.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14590424,toplist
2.0,8:01.02,,Evan JAGER,08 MAR 1989,USA,2,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1253.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14241750,toplist
3.0,8:06.19,,Benjamin KIGEN,05 JUL 1993,KEN,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1229.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14590800,toplist
4.0,8:07.27,,Chala BEYO,18 JAN 1996,ETH,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1224.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14660572,toplist
5.0,8:08.40,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1219.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14479159,toplist
6.0,8:10.62,,Abraham KIBIWOT,06 APR 1996,KEN,2,,Gold Coast (AUS),13 APR 2018,1209.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14657344,toplist
7.0,8:12.20,,Hillary BOR,22 NOV 1989,USA,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1202.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14232976,toplist
8.0,8:12.24,,Amos KIRUI,09 FEB 1998,KEN,3,,Gold Coast (AUS),13 APR 2018,1202.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14661596,toplist
9.0,8:12.33,,Matthew HUGHES,03 AUG 1989,CAN,4,,Gold Coast (AUS),13 APR 2018,1201.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14174102,toplist
10.0,8:13.18,,Nicholas Kiptonui BETT,20 DEC 1996,KEN,1,,Dessau (GER),08 JUN 2018,1197.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14590710,toplist
11.0,8:14.62,,Ibrahim EZZAYDOUNI,28 APR 1991,ESP,7,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1191.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14374875,toplist
12.0,8:15.07,,Lawrence Kemboi KIPSANG,15 JUN 1993,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1189.0,men_3000sc,2018,https://worldathletics.org/athletes/athlete=14479203,toplist
