Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,7:57.25,,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1271,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14590424
2,7:57.80,,Frederik RUPPERT,19 FEB 1997,GER,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1268,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14627121
3,7:59.44,,Simon KOECH,06 OCT 2003,KEN,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1261,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14989901
4,8:01.61,,Edmund SEREM,27 DEC 2007,KEN,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1251,men_3000sc,2026,https://worldathletics.org/athletes/kenya/edmund-serem-15102091
5,8:02.74,,Gemechu GODANA,30 SEP 2005,ETH,1,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1245,men_3000sc,2026,https://worldathletics.org/athletes/ethiopia/gemechu-godana-15172861
6,8:05.08,,Salah Eddine BEN YAZIDE,06 MAY 2003,MAR,3,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1234,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14977838
7,8:05.36,,Ruben QUERINJEAN,22 DEC 2001,LUX,4,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1233,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14929147
8,8:05.55,,Karl BEBENDORF,07 MAY 1996,GER,1,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1232,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14597064
9,8:06.65,,Samuel FIREWU,03 MAY 2004,ETH,5,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1227,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14975231
10,8:08.10,,Geoffrey Kipkemoi KIRWA,03 JUL 2001,KEN,1f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",16 APR 2026,1221,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14892015
11,8:09.56,,Matthew WILKINSON,27 DEC 1998,USA,5,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1214,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14835741
12,8:10.04,,Mohamed TINDOUFT,12 MAR 1993,MAR,2,,"Mestský Stadion, Ostrava (CZE)",16 JUN 2026,1212,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14773269
13,8:10.30,,Ryuji MIURA,11 FEB 2002,JPN,2,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1210,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14860379
14,8:11.04,,Daniel ARCE,22 APR 1992,ESP,8,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1207,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14420300
15,8:11.64,,Faid EL MOSTAFA,13 JAN 2000,MAR,9,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1204,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14883994
16,8:11.81,,Nicolas-Marie DARU,21 OCT 1988,FRA,10,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1204,men_3000sc,2026,https://worldathletics.org/athletes/france/nicolas-marie-daru-15002385
17,8:11.92,,Nathan MOUNTAIN,27 AUG 2002,USA,1f1,,"UVA Lanningan Field, Charlottesville, VA (USA)",17 APR 2026,1203,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14907224
18,8:12.39,,Abraham KIBIWOT,06 APR 1996,KEN,11,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1201,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14657344
19,8:12.63,,Samuel DUGUNA,20 SEP 2003,ETH,1,,"Province Naimette Arena, Liège (BEL)",15 JUL 2026,1200,men_3000sc,2026,https://worldathletics.org/athletes/athlete=15024084
20,8:13.10,,Osama ZOGHLAMI,19 JUN 1994,ITA,3,,"Mestský Stadion, Ostrava (CZE)",16 JUN 2026,1198,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14530462
21,8:13.11,,Geordie BEAMISH,24 OCT 1996,NZL,5,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1198,men_3000sc,2026,https://worldathletics.org/athletes/athlete=14578186
