Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Soufiane EL BAKKALI,07 JAN 1996,7:57.25,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Frederik RUPPERT,19 FEB 1997,7:57.80,GER,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Simon KOECH,06 OCT 2003,7:59.44,KEN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Edmund SEREM,27 DEC 2007,8:01.61,KEN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Matthew WILKINSON,27 DEC 1998,8:09.56,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Salah Eddine BEN YAZIDE,06 MAY 2003,8:10.64,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Mohamed TINDOUFT,12 MAR 1993,8:10.77,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Daniel ARCE,22 APR 1992,8:11.42,ESP,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Faid EL MOSTAFA,13 JAN 2000,8:11.64,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Nicolas-Marie DARU,21 OCT 1988,8:11.81,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,10.,dl_meeting
Abraham KIBIWOT,06 APR 1996,8:12.39,KEN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,11.,dl_meeting
Samuel FIREWU,03 MAY 2004,8:12.55,ETH,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,12.,dl_meeting
Geordie BEAMISH,24 OCT 1996,8:16.80,NZL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,13.,dl_meeting
Baptiste FOURMONT,19 MAY 1999,8:18.46,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,14.,dl_meeting
Djilali BEDRANI,01 OCT 1993,8:28.03,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,15.,dl_meeting
Mohamed Amin JHINAOUI,02 APR 1997,8:32.18,TUN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,16.,dl_meeting
Abderrafia BOUASSEL,18 FEB 2001,DNF,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,,dl_meeting
Nahuel CARABAÑA,10 NOV 1999,DNF,AND,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,,dl_meeting
Alexis MIELLET,05 MAY 1995,DNF,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,,dl_meeting
Soufiane EL BAKKALI,07 JAN 1996,8:10.40,MAR,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Edmund SEREM,27 DEC 2007,8:12.27,KEN,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Abraham KIBIWOT,06 APR 1996,8:12.75,KEN,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Salah Eddine BEN YAZIDE,06 MAY 2003,8:13.02,MAR,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Geordie BEAMISH,24 OCT 1996,8:13.11,NZL,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Simon KOECH,06 OCT 2003,8:13.40,KEN,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Karl BEBENDORF,07 MAY 1996,8:14.13,GER,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Matthew WILKINSON,27 DEC 1998,8:14.27,USA,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Leonard Kipkemoi BETT,03 NOV 2000,8:18.70,KEN,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Daniel ARCE,22 APR 1992,8:20.02,ESP,BAUHAUS-Galan,07 JUN 2026,2026,10.,dl_meeting
Abrham SIME,07 NOV 2001,8:22.94,ETH,BAUHAUS-Galan,07 JUN 2026,2026,11.,dl_meeting
Vidar JOHANSSON,08 OCT 1996,8:23.65,SWE,BAUHAUS-Galan,07 JUN 2026,2026,12.,dl_meeting
Ryuji MIURA,11 FEB 2002,8:23.97,JPN,BAUHAUS-Galan,07 JUN 2026,2026,13.,dl_meeting
Leo MAGNUSSON,04 FEB 1998,8:24.69,SWE,BAUHAUS-Galan,07 JUN 2026,2026,14.,dl_meeting
Carson WILLIAMS,12 FEB 2002,8:25.55,USA,BAUHAUS-Galan,07 JUN 2026,2026,15.,dl_meeting
Simon SUNDSTRÖM,04 FEB 1998,8:25.99,SWE,BAUHAUS-Galan,07 JUN 2026,2026,16.,dl_meeting
Eisa GIRMA,21 SEP 2007,8:26.33,ETH,BAUHAUS-Galan,07 JUN 2026,2026,17.,dl_meeting
Kenneth ROOKS,21 OCT 1999,8:29.00,USA,BAUHAUS-Galan,07 JUN 2026,2026,18.,dl_meeting
Hailu AYALEW,21 JAN 2008,8:37.96,ETH,BAUHAUS-Galan,07 JUN 2026,2026,19.,dl_meeting
Maciej MEGIER,26 APR 2003,8:44.20,POL,BAUHAUS-Galan,07 JUN 2026,2026,20.,dl_meeting
Wesley LANGAT,07 JUL 1994,DNF,KEN,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Wilberforce Chemiat KONES,19 SEP 1993,DNF,KEN,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Lamecha GIRMA,26 NOV 2000,DNF,ETH,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Abderrafia BOUASSEL,18 FEB 2001,DNF,MAR,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Soufiane EL BAKKALI,07 JAN 1996,8:09.28,MAR,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Samuel FIREWU,03 MAY 2004,8:10.44,ETH,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Daniel ARCE,22 APR 1992,8:13.35,ESP,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Abraham KIBIWOT,06 APR 1996,8:15.49,KEN,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
Abrham SIME,07 NOV 2001,8:16.90,ETH,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Niklas BUCHHOLZ,04 MAR 1998,8:18.40,GER,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Hailemariyam AMARE,22 FEB 1997,8:22.84,ETH,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Ahmed JAZIRI,16 DEC 1997,8:23.47,TUN,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Zakariya GIRMA,23 DEC 2005,8:35.68,ETH,Doha Meeting,19 JUN 2026,2026,9.,dl_meeting
Amos SEREM,28 AUG 2002,8:41.52,KEN,Doha Meeting,19 JUN 2026,2026,10.,dl_meeting
Faid EL MOSTAFA,13 JAN 2000,DNF,MAR,Doha Meeting,19 JUN 2026,2026,,dl_meeting
Geoffrey Kipkemoi KIRWA,03 JUL 2001,DNF,KEN,Doha Meeting,19 JUN 2026,2026,,dl_meeting
Abderrafia BOUASSEL,18 FEB 2001,DNF,MAR,Doha Meeting,19 JUN 2026,2026,,dl_meeting
Eisa GIRMA,21 SEP 2007,DNF,ETH,Doha Meeting,19 JUN 2026,2026,,dl_meeting
Samuel DUGUNA,20 SEP 2003,DQ,ETH,Doha Meeting,19 JUN 2026,2026,,dl_meeting
Karl BEBENDORF,07 MAY 1996,8:05.55,GER,Meeting de Paris,28 JUN 2026,2026,1.,dl_meeting
Gemechu GODANA,30 SEP 2005,8:05.86,ETH,Meeting de Paris,28 JUN 2026,2026,2.,dl_meeting
Edmund SEREM,27 DEC 2007,8:08.54,KEN,Meeting de Paris,28 JUN 2026,2026,3.,dl_meeting
Samuel FIREWU,03 MAY 2004,8:09.13,ETH,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Ryuji MIURA,11 FEB 2002,8:10.70,JPN,Meeting de Paris,28 JUN 2026,2026,5.,dl_meeting
Matthew WILKINSON,27 DEC 1998,8:11.35,USA,Meeting de Paris,28 JUN 2026,2026,6.,dl_meeting
Abrham SIME,07 NOV 2001,8:13.48,ETH,Meeting de Paris,28 JUN 2026,2026,7.,dl_meeting
Nicolas-Marie DARU,21 OCT 1988,8:13.89,FRA,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Abraham KIBIWOT,06 APR 1996,8:14.43,KEN,Meeting de Paris,28 JUN 2026,2026,9.,dl_meeting
Baptiste FOURMONT,19 MAY 1999,8:14.87,FRA,Meeting de Paris,28 JUN 2026,2026,10.,dl_meeting
Ruben QUERINJEAN,22 DEC 2001,8:15.45,LUX,Meeting de Paris,28 JUN 2026,2026,11.,dl_meeting
Osama ZOGHLAMI,19 JUN 1994,8:17.23,ITA,Meeting de Paris,28 JUN 2026,2026,12.,dl_meeting
Pierre BOUDY,09 AUG 2004,8:19.50,FRA,Meeting de Paris,28 JUN 2026,2026,13.,dl_meeting
Luc LE BARON,05 FEB 2002,8:20.06,FRA,Meeting de Paris,28 JUN 2026,2026,14.,dl_meeting
Carson WILLIAMS,12 FEB 2002,8:20.67,USA,Meeting de Paris,28 JUN 2026,2026,15.,dl_meeting
Daniel ARCE,22 APR 1992,8:20.99,ESP,Meeting de Paris,28 JUN 2026,2026,16.,dl_meeting
