Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,46.98,,Abderrahman SAMBA,05 SEP 1995,QAT,1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1285.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14752208,toplist
2.0,47.02,,Rai BENJAMIN,27 JUL 1997,USA,1,,"Eugene, OR (USA)",08 JUN 2018,1283.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14574865,toplist
3.0,47.54,,Kyron MCMASTER,03 JAN 1997,IVB,2,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1255.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14532760,toplist
4.0,47.64,,Karsten WARHOLM,28 FEB 1996,NOR,1,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1250.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14479487,toplist
5.0,47.81,,Yasmani COPELLO,15 APR 1987,TUR,2,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1241.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14169627,toplist
6.0,48.12,,Kenneth SELMON,27 AUG 1996,USA,2,,"Eugene, OR (USA)",08 JUN 2018,1225.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14497263,toplist
7.0,48.29,,Andre CLARKE,06 JUN 1992,JAM,1f1,,"Montverde, FL (USA)",09 JUN 2018,1216.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14421492,toplist
8.0,48.3,,TJ HOLMES,02 JUL 1995,USA,4,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1216.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14536351,toplist
9.0,48.31,,Thomas BARR,24 JUL 1992,IRL,3,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1215.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14440533,toplist
10.0,48.42,,David KENDZIERA,09 SEP 1994,USA,3,,"Eugene, OR (USA)",08 JUN 2018,1210.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14532163,toplist
10.0,48.42,,Ludvy VAILLANT,15 MAR 1995,FRA,4,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1210.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14480831,toplist
12.0,48.46,,Annsert WHYTE,04 OCT 1987,JAM,2,,Ostrava (CZE),08 SEP 2018,1208.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14202312,toplist
13.0,48.59,,Patryk DOBEK,13 FEB 1994,POL,5,,"Olympiastadion, Berlin (GER)",09 AUG 2018,1201.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14389330,toplist
14.0,48.6,,Rasmus MÄGI,04 MAY 1992,EST,1,,Antalya (TUR),11 SEP 2018,1200.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14373195,toplist
15.0,48.65,,Khallifah ROSSER,13 JUL 1995,USA,3,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1198.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14520653,toplist
16.0,48.68,,Takatoshi ABE,12 NOV 1991,JPN,1f4,,Fukuroi (JPN),03 MAY 2018,1196.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14334345,toplist
17.0,48.7,,Marcio TELES,27 JAN 1994,BRA,1,,Bragança Paulista (BRA),16 SEP 2018,1195.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14543428,toplist
18.0,48.77,,Juander SANTOS,07 MAY 1995,DOM,3,,Barranquilla (COL),31 JUL 2018,1192.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14637649,toplist
19.0,48.83,,Kemar MOWATT,12 MAR 1995,JAM,4,,"Eugene, OR (USA)",08 JUN 2018,1189.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14581545,toplist
19.0,48.83,,Kerron CLEMENT,31 OCT 1985,USA,5,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1189.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14234898,toplist
21.0,48.88,,Nicholas BETT,27 JAN 1990,KEN,1,,Pretoria (RSA),08 MAR 2018,1186.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14425830,toplist
22.0,48.89,,Timofey CHALYY,07 APR 1994,ANA,3sf2,,"Olympiastadion, Berlin (GER)",07 AUG 2018,1186.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14479717,toplist
23.0,48.96,,Dharun AYYASAMY,31 DEC 1996,IND,2,,Jakarta (INA),27 AUG 2018,1182.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14613882,toplist
24.0,48.98,,Jeffery GIBSON,15 AUG 1990,BAH,1,,Heusden-Zolder (BEL),21 JUL 2018,1181.0,men_400h,2018,https://worldathletics.org/athletes/athlete=14178020,toplist
