Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,45.80,,Alison DOS SANTOS,03 JUN 2000,BRA,1,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1348,men_400h,2026,https://worldathletics.org/athletes/athlete=14755064
2,46.52,,Karsten WARHOLM,28 FEB 1996,NOR,2,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1309,men_400h,2026,https://worldathletics.org/athletes/athlete=14479487
3,46.67,,Rai BENJAMIN,27 JUL 1997,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",21 AUG 2026,1301,men_400h,2026,https://worldathletics.org/athletes/athlete=14574865
4,47.26,,Matheus LIMA,01 JUN 2003,BRA,3,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1270,men_400h,2026,https://worldathletics.org/athletes/athlete=14918836
5,47.37,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1264,men_400h,2026,https://worldathletics.org/athletes/athlete=14960533
5,47.37,,Trevor BASSITT,26 FEB 1998,USA,2,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1264,men_400h,2026,https://worldathletics.org/athletes/athlete=14719193
7,47.42,,Caleb DEAN,20 JUN 2001,USA,3,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1262,men_400h,2026,https://worldathletics.org/athletes/athlete=14865900
8,47.45,,Emil AGYEKUM,22 MAY 1999,GER,2,,"Olympic Stadium, London (GBR)",18 JUL 2026,1260,men_400h,2026,https://worldathletics.org/athletes/athlete=14679384
9,47.56,,Bassem HEMEIDA,28 MAR 2000,QAT,1,,"Stadio Comunale, Bellinzona (SUI)",30 AUG 2026,1254,men_400h,2026,https://worldathletics.org/athletes/athlete=14827001
10,47.61,,Chris ROBINSON,19 FEB 2001,USA,1,,"Icahn Stadium, New York, NY (USA)",26 JUL 2026,1252,men_400h,2026,https://worldathletics.org/athletes/athlete=14969871
11,47.77,,Yeral NUÑEZ,09 JAN 2003,DOM,1,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1243,men_400h,2026,https://worldathletics.org/athletes/athlete=14919273
11,47.77,,Abderrahman SAMBA,05 SEP 1995,QAT,5,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1243,men_400h,2026,https://worldathletics.org/athletes/athlete=14752208
13,47.80,,Matic Ian GUČEK,20 SEP 2003,SLO,6,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1242,men_400h,2026,https://worldathletics.org/athletes/athlete=14874438
