Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,12:43.02,,Selemon BAREGA,20 JAN 2000,ETH,1,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1273.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14751317,toplist
2.0,12:45.82,,Hagos GEBRHIWET,11 MAY 1994,ETH,2,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1262.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14477352,toplist
3.0,12:46.79,,Yomif KEJELCHA,01 AUG 1997,ETH,3,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1259.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14594967,toplist
4.0,12:55.18,,Muktar EDRIS,14 JAN 1994,ETH,4,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1227.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14464221,toplist
5.0,12:56.27,,Abadi HADIS,06 NOV 1997,ETH,5,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1223.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14751318,toplist
6.0,12:57.55,,Paul CHELIMO,27 OCT 1990,USA,6,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1219.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14454958,toplist
7.0,12:59.44,,Richard YATOR,04 JUN 1998,KEN,7,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1212.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14708970,toplist
8.0,12:59.58,,Getaneh MOLLA,10 JAN 1994,ETH,8,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1211.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14635616,toplist
9.0,13:01.09,,Birhanu BALEW,27 FEB 1996,BRN,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1206.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14695983,toplist
10.0,13:03.08,,Mohammed AHMED,05 JAN 1991,CAN,9,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1198.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14330105,toplist
11.0,13:04.11,,Ben TRUE,29 DEC 1985,USA,10,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1195.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14253490,toplist
12.0,13:04.63,,Telahun Haile BEKELE,13 MAY 1999,ETH,1,,Huelva (ESP),08 JUN 2018,1193.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14797485,toplist
13.0,13:04.91,,Bashir ABDI,10 FEB 1989,BEL,11,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1192.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14375137,toplist
14.0,13:05.23,,Stewart MCSWEYN,01 JUN 1995,AUS,12,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1190.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14500488,toplist
15.0,13:06.98,,Chala REGASA,30 APR 1997,ETH,1f1,,Heusden-Zolder (BEL),21 JUL 2018,1184.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14650107,toplist
16.0,13:07.27,,Nibret MELAK,09 OCT 1999,ETH,2f1,,Heusden-Zolder (BEL),21 JUL 2018,1183.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14840778,toplist
17.0,13:07.59,,Aron KIFLE,20 FEB 1998,ERI,8,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1182.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14693555,toplist
18.0,13:10.14,,Stanley Waithaka MBURU,09 APR 2000,KEN,3,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1173.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14802641,toplist
19.0,13:10.65,,Dawit WOLDE,19 MAY 1991,ETH,3f1,,Heusden-Zolder (BEL),21 JUL 2018,1171.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14181700,toplist
20.0,13:10.93,,Stephen KISSA,01 DEC 1988,UGA,9,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1170.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14677961,toplist
21.0,13:11.84,,Albert ROP,17 JUL 1992,BRN,1,,Montreuil (FRA),19 JUN 2018,1167.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14479153,toplist
22.0,13:11.86,,Japhet Kipyegon KORIR,30 JUN 1993,KEN,4f1,,Heusden-Zolder (BEL),21 JUL 2018,1166.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14366691,toplist
23.0,13:13.36,,Yeneblo BIYAZEN,29 JAN 2000,ETH,1f1,,Carquefou (FRA),16 JUN 2018,1161.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14760501,toplist
24.0,13:13.55,,Davis KIPLANGAT,10 JUL 1998,KEN,8,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1160.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14689592,toplist
25.0,13:13.87,,Getnet WALE,16 JUL 2000,ETH,2f1,,Carquefou (FRA),16 JUN 2018,1159.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14760253,toplist
26.0,13:15.44,,Berihu AREGAWI,28 FEB 2001,ETH,2,,Rovereto (ITA),23 AUG 2018,1154.0,men_5000m,2018,https://worldathletics.org/athletes/athlete=14848753,toplist
