Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,12:47.62,,Addisu YIHUNE,17 MAR 2003,ETH,1,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1255,men_5000m,2026
2,12:47.73,,Birhanu BALEW,27 FEB 1996,BRN,2,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1255,men_5000m,2026
3,12:48.61,,Andreas ALMGREN,12 JUN 1995,SWE,3,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1252,men_5000m,2026
4,12:49.45,,Parker WOLFE,27 JUL 2003,USA,4,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1249,men_5000m,2026
5,12:49.61,,Grant FISHER,22 APR 1997,USA,5,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1248,men_5000m,2026
6,12:49.99,,Graham BLANKS,24 APR 2002,USA,6,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1247,men_5000m,2026
7,12:50.17,,Mezgebu SIME,07 OCT 2005,ETH,7,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1246,men_5000m,2026
8,12:50.82,,Ky ROBINSON,27 FEB 2002,AUS,8,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1243,men_5000m,2026
9,12:52.54,,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,1,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1237,men_5000m,2026
10,12:53.71,,Jacob KROP,04 JUN 2001,KEN,4,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1233,men_5000m,2026
11,12:54.35,,Biniam MEHARY,20 DEC 2006,ETH,9,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1230,men_5000m,2026
12,12:56.02,,Cornelius KEMBOI,29 FEB 2000,KEN,10,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1224,men_5000m,2026
13,12:56.06,,Egide NTAKARUTIMANA,21 OCT 1997,BDI,4,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1224,men_5000m,2026
14,12:56.12,,Waberi Igueh HOUSSEIN,01 JAN 2008,DJI,1f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1224,men_5000m,2026
15,12:56.80,,Florian BREMM,14 AUG 2000,GER,1,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1221,men_5000m,2026
16,12:56.96,,Ishmael Rokitto KIPKURUI,10 FEB 2005,KEN,11,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1221,men_5000m,2026
17,12:57.22,,Habtom SAMUEL,30 NOV 2003,ERI,1,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1220,men_5000m,2026
18,12:57.32,,Abdihamid NUR,14 OCT 1997,USA,2f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1219,men_5000m,2026
18,12:57.32,,Laban Kiptoo KOSGEI,09 JUN 2006,KEN,3f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1219,men_5000m,2026
20,12:57.61,,Frederik RUPPERT,19 FEB 1997,GER,2,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1218,men_5000m,2026
21,12:57.79,,Jimmy GRESSIER,04 MAY 1997,FRA,7,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1218,men_5000m,2026
22,12:57.90,,Mohamed ABDILAAHI,24 MAR 1999,GER,2,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1217,men_5000m,2026
23,12:58.95,,Mathew Kipchumba KIPSANG,16 NOV 1995,KEN,9,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1213,men_5000m,2026
24,12:59.37,,Saymon AMANUEL,27 MAY 2007,ERI,10,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1212,men_5000m,2026
25,12:59.75,,José Carlos PINTO,03 MAY 1997,POR,1f1,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1211,men_5000m,2026
26,13:00.07,,Abdulselam WERKU,,ETH,4f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1209,men_5000m,2026
27,13:00.69,,Eduardo HERRERA,23 SEP 1997,MEX,4,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1207,men_5000m,2026
28,13:01.47,,Edwin KURGAT,19 MAY 1996,KEN,5,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1204,men_5000m,2026
29,13:01.92,,Etienne DAGUINOS,15 FEB 2000,FRA,7,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1203,men_5000m,2026
30,13:02.57,,Santiago CATROFE,13 FEB 1999,URU,11,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1200,men_5000m,2026
31,13:03.38,,Anass ESSAYI,18 MAY 2001,MAR,5f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1197,men_5000m,2026
32,13:03.48,,Duncan WAWERU,22 APR 1999,KEN,2f1,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1197,men_5000m,2026
33,13:03.93,,Gulveer SINGH,01 JUN 1998,IND,2,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1195,men_5000m,2026
34,13:03.95,,Getnet WALE,16 JUL 2000,ETH,4,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1195,men_5000m,2026
35,13:04.02,,Abdisa FAYISA,24 APR 2005,ETH,6f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1195,men_5000m,2026
36,13:04.07,,Anthony CAMERIERI,29 FEB 2000,USA,7f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1195,men_5000m,2026
37,13:05.22,,Jackson SHARP,21 AUG 2000,AUS,3,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1191,men_5000m,2026
38,13:05.60,,Andrew HUNTER,05 SEP 1997,USA,4,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1189,men_5000m,2026
39,13:05.67,,Aron GEBREMARIAM,21 JUL 2006,ART,8f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1189,men_5000m,2026
40,13:06.00,,Romain LEGENDRE,06 JAN 2000,FRA,9f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1188,men_5000m,2026
41,13:06.45,,Khairi BEJIGA,27 APR 2006,ETH,6,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1186,men_5000m,2026
42,13:08.32,,Frankline KIBET,28 JUL 2007,KEN,13,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1179,men_5000m,2026
43,13:08.36,,Juan ZIJDERLAAN,27 SEP 2005,NED,10f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1179,men_5000m,2026
44,13:08.50,,Thomas RATCLIFFE,03 SEP 1997,USA,2,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",13 JUN 2026,1179,men_5000m,2026
45,13:08.79,,Keneth KIPROP,13 MAY 2005,UGA,10,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1178,men_5000m,2026
46,13:09.09,,Dylan JACOBS,15 JUN 2000,USA,5,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1176,men_5000m,2026
47,13:09.40,,David MULLARKEY,07 MAR 2000,GBR,6,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1175,men_5000m,2026
48,13:09.78,,Liam MURPHY,02 APR 2002,USA,11f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1174,men_5000m,2026
49,13:09.86,,Ybeltal GASHAHUN,29 APR 2006,ETH,12f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1174,men_5000m,2026
50,13:10.03,,Mohammed AHMED,05 JAN 1991,CAN,4,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",13 JUN 2026,1173,men_5000m,2026
51,13:10.98,,Toby GILLEN,23 MAY 2001,AUS,13f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1170,men_5000m,2026
52,13:11.10,,Morgan MCDONALD,23 APR 1996,AUS,7,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1169,men_5000m,2026
53,13:11.66,,Cameron MYERS,09 JUN 2006,AUS,1,,"Olympic Park, Sydney (AUS)",11 APR 2026,1167,men_5000m,2026
53,13:11.66,,Drew BOSLEY,08 OCT 2000,USA,14f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1167,men_5000m,2026
55,13:12.19,,Sam GILMAN,20 SEP 2000,USA,2f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",01 MAY 2026,1165,men_5000m,2026
56,13:12.42,,Seth O'DONNELL,14 SEP 2001,AUS,2,,"Olympic Park, Sydney (AUS)",11 APR 2026,1164,men_5000m,2026
57,13:12.94,,William KINCAID,21 SEP 1992,USA,5,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",13 JUN 2026,1163,men_5000m,2026
58,13:13.11,,Ethan STRAND,19 OCT 2002,USA,3f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",01 MAY 2026,1162,men_5000m,2026
59,13:13.17,,Isaac KIMELI,09 MAR 1994,BEL,14,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1162,men_5000m,2026
60,13:13.19,,Scott BEATTIE,04 DEC 1998,GBR,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 JAN 2026,1213,men_5000m,2026
61,13:13.20,,Vincent CIATTEI,21 JAN 1995,USA,4f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",01 MAY 2026,1162,men_5000m,2026
62,13:13.30,,Brian FAY,09 NOV 1998,IRL,1f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1161,men_5000m,2026
63,13:13.34,,Tim VERBAANDERT,17 JUL 2000,NED,15,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1161,men_5000m,2026
64,13:13.43,,Denis KIPNGETICH,07 JAN 2003,KEN,2f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1161,men_5000m,2026
64,13:13.43,,Cooper TEARE,18 AUG 1999,USA,15f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1161,men_5000m,2026
66,13:13.47,,Célestin NDIKUMANA,22 FEB 2002,BDI,2,,"LAZ Wien, Wien (AUT)",20 JUN 2026,1161,men_5000m,2026
67,13:13.65,,Matthew WILKINSON,27 DEC 1998,USA,5f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",01 MAY 2026,1160,men_5000m,2026
68,13:13.72,,Dolphine CHELIMO,10 JUL 2005,UGA,3,,"FBK Stadium, Hengelo (NED)",21 JUN 2026,1160,men_5000m,2026
69,13:13.84,,Narve Gilje NORDÅS,30 SEP 1998,NOR,4f1,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1159,men_5000m,2026
70,13:13.94,,Hobbs KESSLER,15 MAR 2003,USA,6f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",01 MAY 2026,1159,men_5000m,2026
71,13:14.06,,Emmanuel Moi MARU,04 JAN 2001,KEN,1f4,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1159,men_5000m,2026
72,13:14.18,,Nagiya MORI,03 JUL 1999,JPN,2f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1158,men_5000m,2026
73,13:14.25,,Fasika AYELE,05 MAR 2007,ETH,5f1,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1158,men_5000m,2026
74,13:14.29,,Kiprono SITONIK,10 NOV 2001,KEN,2f4,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1158,men_5000m,2026
75,13:14.94,,Festus KIMORWA,07 JUN 2006,KEN,3f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1155,men_5000m,2026
76,13:15.29,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1f1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1154,men_5000m,2026
77,13:15.30,,Ernest CHERUIYOT,01 MAY 2005,KEN,7f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",01 MAY 2026,1154,men_5000m,2026
78,13:15.49,,Bastien AUGUSTO,10 AUG 1999,FRA,1f1,,"Stade Raymond Troussier, Decines (FRA)",04 JUL 2026,1153,men_5000m,2026
79,13:15.57,,Kelvin CHERUIYOT,31 AUG 2000,KEN,1f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 FEB 2026,1153,men_5000m,2026
80,13:15.64,,Robin BERA,,KEN,8f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",01 MAY 2026,1153,men_5000m,2026
