Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,69.72,,Daniel STÅHL,27 AUG 1992,SWE,1,,Eskilstuna (SWE),26 AUG 2018,1239.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14375325,toplist
2.0,69.67,,Fedrick DACRES,28 FEB 1994,JAM,1,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1238.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14414603,toplist
3.0,69.59,,Andrius GUDŽIUS,14 FEB 1991,LTU,2,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1237.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14329304,toplist
4.0,68.98,,Lukas WEIßHAIDINGER,20 FEB 1992,AUT,1,,Rehlingen (GER),20 MAY 2018,1226.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14363774,toplist
5.0,68.85,,Ehsan HADADI,20 JAN 1985,IRI,1f1,,"Chula Vista, CA (USA)",12 APR 2018,1223.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14198605,toplist
6.0,68.61,,Reggie JAGERS III,13 AUG 1994,USA,1,,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1219.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14530244,toplist
7.0,67.72,,Traves SMIKLE,07 MAY 1992,JAM,2,,Kingston (JAM),20 JAN 2018,1202.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14375340,toplist
8.0,67.59,,Christoph HARTING,10 APR 1990,GER,1,,Schönebeck (GER),18 MAY 2018,1200.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14941405,toplist
9.0,67.06,,Mason FINLEY,07 OCT 1990,USA,2,,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1190.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14237731,toplist
10.0,66.98,,Martin WIERIG,10 JUN 1987,GER,2,,Schönebeck (GER),18 MAY 2018,1189.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14194737,toplist
11.0,66.59,,Daniel JASINSKI,05 AUG 1989,GER,2,,Turnov (CZE),29 MAY 2018,1182.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14329331,toplist
12.0,66.51,,Philip MILANOV,06 JUL 1991,BEL,4,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1180.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14423360,toplist
12.0,66.51,,Lois Maikel MARTÍNEZ,03 JUN 1981,ESP,1,,Castellón (ESP),04 JUL 2018,1180.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14169450,toplist
14.0,66.32,,Sam MATTIS,19 MAR 1994,USA,1,,"Tucson, AZ (USA)",17 MAY 2018,1177.0,men_DT,2018,https://worldathletics.org/athletes/athlete=14416979,toplist
