Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,74.04,,Matthew DENNY,02 JUN 1996,AUS,1f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1319,men_DT,2026,https://worldathletics.org/athletes/athlete=14436890
2,74.00,,Steven RICHTER,05 APR 2003,GER,2f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1318,men_DT,2026,https://worldathletics.org/athletes/athlete=14828356
3,72.65,,Mykolas ALEKNA,28 SEP 2002,LTU,1,,"Palangos Stadionas, Palanga (LTU)",25 JUL 2026,1293,men_DT,2026,https://worldathletics.org/athletes/athlete=14841124
4,72.61,,Kristjan ČEH,17 FEB 1999,SLO,3f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1293,men_DT,2026,https://worldathletics.org/athletes/athlete=14666860
5,72.45,,Sam MATTIS,19 MAR 1994,USA,4f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1290,men_DT,2026,https://worldathletics.org/athletes/athlete=14416979
6,71.88,,Lawrence OKOYE,06 OCT 1991,GBR,3f1,,"Millican Field at Throw Town, Ramona, OK (USA)",11 APR 2026,1279,men_DT,2026,https://worldathletics.org/athletes/athlete=14425340
7,71.22,,Ruben ROLVINK,25 AUG 2002,NED,1f2,,"Millican Field at Throw Town, Ramona, OK (USA)",31 MAY 2026,1267,men_DT,2026,https://worldathletics.org/athletes/athlete=14834539
8,70.66,,Roje STONA,26 FEB 1999,JAM,5f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1257,men_DT,2026,https://worldathletics.org/athletes/athlete=14744385
9,70.43,,Alex ROSE,17 NOV 1991,SAM,6f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1252,men_DT,2026,https://worldathletics.org/athletes/athlete=14389747
10,69.85,,Daniel STÅHL,27 AUG 1992,SWE,1f1,,"Uppsala Friidrottsarena, Uppsala (SWE)",25 JUL 2026,1242,men_DT,2026,https://worldathletics.org/athletes/athlete=14375325
11,69.56,,Texas TANNER,01 OCT 2004,USA,1f2,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1236,men_DT,2026,https://worldathletics.org/athletes/united-states/texas-tanner-15039815
12,69.53,,Henrik JANSSEN,19 MAY 1998,GER,3,,"Alexander Stadium, Birmingham (GBR)",13 AUG 2026,1236,men_DT,2026,https://worldathletics.org/athletes/athlete=14626440
13,69.47,,Marius KARGES,14 JAN 2003,GER,1f3,,"Millican Field at Throw Town, Ramona, OK (USA)",12 APR 2026,1235,men_DT,2026,https://worldathletics.org/athletes/athlete=14845206
14,69.09,,Reggie JAGERS III,13 AUG 1994,USA,1f4,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1228,men_DT,2026,https://worldathletics.org/athletes/athlete=14530244
15,68.14,,Shaquille EMANUELSON,08 JAN 2000,NED,1f1,,"Millican Field at Throw Town, Ramona, OK (USA)",14 JUN 2026,1210,men_DT,2026,https://worldathletics.org/athletes/athlete=14688777
16,67.92,,Chad WRIGHT,25 MAR 1991,JAM,2f3,,"Millican Field at Throw Town, Ramona, OK (USA)",12 APR 2026,1206,men_DT,2026,https://worldathletics.org/athletes/athlete=14413487
17,67.73,,Andrius GUDŽIUS,14 FEB 1991,LTU,1,,"Palangos Stadionas, Palanga (LTU)",06 JUN 2026,1203,men_DT,2026,https://worldathletics.org/athletes/athlete=14329304
18,67.61,,Joseph BROWN,13 JUN 1996,USA,1f2,,"Millican Field at Throw Town, Ramona, OK (USA)",11 APR 2026,1200,men_DT,2026,https://worldathletics.org/athletes/athlete=14683531
18,67.61,,Claudio ROMERO,10 JUL 2000,CHI,2,,"FBK Stadium, Hengelo (NED)",21 JUN 2026,1200,men_DT,2026,https://worldathletics.org/athletes/athlete=14718347
20,67.52,,Lolassonn DJOUHAN,18 MAY 1991,FRA,1,,"Complexe Sportif D'olembe, Yaoundé (CMR)",31 MAY 2026,1199,men_DT,2026,https://worldathletics.org/athletes/athlete=14377046
21,67.45,,Brian WILLIAMS,18 DEC 1994,USA,1f5,,"Jack Rose Track, Long Beach, CA (USA)",16 APR 2026,1197,men_DT,2026,https://worldathletics.org/athletes/athlete=14682213
22,67.00,,Lukas WEIßHAIDINGER,20 FEB 1992,AUT,1,,"Rudolf Tonn Stadion, Schwechat (AUT)",09 MAY 2026,1189,men_DT,2026,https://worldathletics.org/athletes/athlete=14363774
23,66.60,,Marcus GUSTAVESON,01 DEC 1997,USA,7f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1182,men_DT,2026,https://worldathletics.org/athletes/athlete=14781321
24,66.51,,Mauricio ORTEGA,04 AUG 1994,COL,3f2,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1180,men_DT,2026,https://worldathletics.org/athletes/athlete=14479637
25,66.44,,Ralford MULLINGS,22 NOV 2002,JAM,7,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1179,men_DT,2026,https://worldathletics.org/athletes/athlete=14826630
26,66.39,,Abuduaini TUERGONG,16 JUN 1997,CHN,2,,"Heinz-Steyer-Stadion, Dresden (GER)",31 MAY 2026,1178,men_DT,2026,https://worldathletics.org/athletes/athlete=14638595
27,66.29,,Ola STUNES ISENE,29 JAN 1995,NOR,1f1,,"Millican Field at Throw Town, Ramona, OK (USA)",25 APR 2026,1176,men_DT,2026,https://worldathletics.org/athletes/athlete=14481378
28,66.17,,Fedrick DACRES,28 FEB 1994,JAM,2,,"Colich Throws Center, Wilmington, CA (USA)",27 JUN 2026,1174,men_DT,2026,https://worldathletics.org/athletes/athlete=14414603
29,65.95,,Alin Alexandru FIRFIRICĂ,03 NOV 1995,ROU,2f1,,"GPS Stadium, Nicosia (CYP)",14 MAR 2026,1170,men_DT,2026,https://worldathletics.org/athletes/athlete=14462623
29,65.95,,Diego CASAS,29 APR 1999,ESP,1,,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",01 JUL 2026,1170,men_DT,2026,https://worldathletics.org/athletes/athlete=14821865
31,65.87,,Shamar REID,11 SEP 2002,JAM,1f2,,"Cardinal Park, Louisville, KY (USA)",16 MAY 2026,1168,men_DT,2026,https://worldathletics.org/athletes/athlete=14877460
32,65.75,,Traves SMIKLE,07 MAY 1992,JAM,1f1,,"Bobcat Track and Field Complex, San Marcos, TX (USA)",02 APR 2026,1166,men_DT,2026,https://worldathletics.org/athletes/athlete=14375340
