Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Kristjan ČEH,17 FEB 1999,70.58,SLO,Wanda Diamond League,16 MAY 2026,2026,1.,dl_meeting
Matthew DENNY,02 JUN 1996,67.54,AUS,Wanda Diamond League,16 MAY 2026,2026,2.,dl_meeting
Daniel STÅHL,27 AUG 1992,66.71,SWE,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Lawrence OKOYE,06 OCT 1991,66.03,GBR,Wanda Diamond League,16 MAY 2026,2026,4.,dl_meeting
Steven RICHTER,05 APR 2003,65.49,GER,Wanda Diamond League,16 MAY 2026,2026,5.,dl_meeting
Roje STONA,26 FEB 1999,64.92,JAM,Wanda Diamond League,16 MAY 2026,2026,6.,dl_meeting
Sam MATTIS,19 MAR 1994,64.83,USA,Wanda Diamond League,16 MAY 2026,2026,7.,dl_meeting
Lukas WEIßHAIDINGER,20 FEB 1992,63.95,AUT,Wanda Diamond League,16 MAY 2026,2026,8.,dl_meeting
Martynas ALEKNA,25 AUG 2000,59.89,LTU,Wanda Diamond League,16 MAY 2026,2026,9.,dl_meeting
Alex ROSE,17 NOV 1991,59.13,SAM,Wanda Diamond League,16 MAY 2026,2026,10.,dl_meeting
Mario Alberto DÍAZ,08 DEC 1999,58.73,CUB,Wanda Diamond League,16 MAY 2026,2026,11.,dl_meeting
Daniel STÅHL,27 AUG 1992,69.60,SWE,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Matthew DENNY,02 JUN 1996,69.02,AUS,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Kristjan ČEH,17 FEB 1999,67.67,SLO,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Roje STONA,26 FEB 1999,66.42,JAM,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Sam MATTIS,19 MAR 1994,66.03,USA,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Henrik JANSSEN,19 MAY 1998,65.53,GER,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Alex ROSE,17 NOV 1991,64.82,SAM,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Lawrence OKOYE,06 OCT 1991,64.02,GBR,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Mario Alberto DÍAZ,08 DEC 1999,61.45,CUB,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Mykolas ALEKNA,28 SEP 2002,71.06,LTU,Prefontaine Classic,04 JUL 2026,2026,1.,dl_meeting
Kristjan ČEH,17 FEB 1999,69.94,SLO,Prefontaine Classic,04 JUL 2026,2026,2.,dl_meeting
Roje STONA,26 FEB 1999,67.42,JAM,Prefontaine Classic,04 JUL 2026,2026,3.,dl_meeting
Matthew DENNY,02 JUN 1996,66.26,AUS,Prefontaine Classic,04 JUL 2026,2026,4.,dl_meeting
Alex ROSE,17 NOV 1991,65.86,SAM,Prefontaine Classic,04 JUL 2026,2026,5.,dl_meeting
Daniel STÅHL,27 AUG 1992,65.46,SWE,Prefontaine Classic,04 JUL 2026,2026,6.,dl_meeting
Lawrence OKOYE,06 OCT 1991,65.25,GBR,Prefontaine Classic,04 JUL 2026,2026,7.,dl_meeting
Ralford MULLINGS,22 NOV 2002,64.94,JAM,Prefontaine Classic,04 JUL 2026,2026,8.,dl_meeting
Sam MATTIS,19 MAR 1994,63.31,USA,Prefontaine Classic,04 JUL 2026,2026,9.,dl_meeting
Reggie JAGERS III,13 AUG 1994,62.72,USA,Prefontaine Classic,04 JUL 2026,2026,10.,dl_meeting
Mykolas ALEKNA,28 SEP 2002,72.58,LTU,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,1.,dl_meeting
Kristjan ČEH,17 FEB 1999,68.93,SLO,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,2.,dl_meeting
Daniel STÅHL,27 AUG 1992,68.25,SWE,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,3.,dl_meeting
Henrik JANSSEN,19 MAY 1998,68.19,GER,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,4.,dl_meeting
Steven RICHTER,05 APR 2003,67.81,GER,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,5.,dl_meeting
Roje STONA,26 FEB 1999,67.65,JAM,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,6.,dl_meeting
Ralford MULLINGS,22 NOV 2002,66.44,JAM,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,7.,dl_meeting
Matthew DENNY,02 JUN 1996,66.38,AUS,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,8.,dl_meeting
Alex ROSE,17 NOV 1991,64.36,SAM,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,9.,dl_meeting
Ruben ROLVINK,25 AUG 2002,63.36,NED,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,10.,dl_meeting
