Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,2.4,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1269.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14377312,toplist
2.0,2.37,,Danil LYSENKO,19 MAY 1997,ANA,1f1,,Hustopeče (CZE) (i),27 JAN 2018,1242.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14576019,toplist
3.0,2.36,,Dzmitry NABOKAU,20 JAN 1996,BLR,1,,Brest (BLR),25 MAY 2018,1233.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14579360,toplist
3.0,2.36,,Brandon STARC,24 NOV 1993,AUS,1,,Eberstadt (GER),26 AUG 2018,1233.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14387190,toplist
5.0,2.35,,Ivan UKHOV,29 MAR 1986,RUS,1,,Moskva (RUS) (i),31 JAN 2018,1224.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14224358,toplist
5.0,2.35,,Bryan MCBRIDE,10 DEC 1991,USA,1,,"Chula Vista, CA (USA)",09 JUN 2018,1224.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14245280,toplist
5.0,2.35,,Mateusz PRZYBYLKO,09 MAR 1992,GER,1,,"Olympiastadion, Berlin (GER)",11 AUG 2018,1224.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14360276,toplist
8.0,2.33,,Trey CULVER,18 JUL 1996,USA,1,,"Lubbock, TX (USA) (i)",13 JAN 2018,1206.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14644297,toplist
8.0,2.33,,Sylwester BEDNAREK,28 APR 1989,POL,2,,Třinec (CZE) (i),30 JAN 2018,1206.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14216359,toplist
8.0,2.33,,Vernon TURNER,21 AUG 1998,USA,1,,"Fayetteville, AR (USA) (i)",10 FEB 2018,1206.0,men_HJ,2018,https://worldathletics.org/athletes/athlete=14703711,toplist
