Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,2.34,,JuVaughn HARRISON,30 APR 1999,USA,1,,"Quai Albert 1er, Monaco (MON)",05 AUG 2026,1215,men_HJ,2026,https://worldathletics.org/athletes/athlete=14785286
2,2.33,,Danil LYSENKO,19 MAY 1997,RUS,1,,"Ural GUFK, Chelyabinsk (RUS) (i)",16 JAN 2026,1206,men_HJ,2026,https://worldathletics.org/athletes/athlete=14576019
2,2.33,,Oleh DOROSHCHUK,04 JUL 2001,UKR,1,,Berdichev (UKR),27 JUN 2026,1206,men_HJ,2026,https://worldathletics.org/athletes/athlete=14803002
4,2.32,,Jan ŠTEFELA,20 APR 2001,CZE,1,,"Športová hala Dukla, Banská Bystrica (SVK) (i)",24 FEB 2026,1197,men_HJ,2026,https://worldathletics.org/athletes/athlete=14761148
4,2.32,,Gianmarco TAMBERI,01 JUN 1992,ITA,1,,"Alexander Stadium, Birmingham (GBR)",14 AUG 2026,1197,men_HJ,2026,https://worldathletics.org/athletes/athlete=14375750
6,2.31,,Kimani JACK,31 JAN 2004,GBR,1f1,,"Spec Towns Track, Athens, GA (USA)",02 MAY 2026,1188,men_HJ,2026,https://worldathletics.org/athletes/great-britain-ni/kimani-jack-14984793
6,2.31,,Sarvesh Anil KUSHARE,17 JUN 1995,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",27 JUN 2026,1188,men_HJ,2026,https://worldathletics.org/athletes/athlete=14675319
6,2.31,,Stepan VETKIN,16 JAN 2006,RUS,1,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",23 AUG 2026,1188,men_HJ,2026,https://worldathletics.org/athletes/russia/stepan-vetkin-14972996
9,2.30,,Mateusz KOŁODZIEJSKI,22 JUN 2002,POL,1,,"Městská sportovní hala, Hustopeče (CZE) (i)",07 FEB 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14852654
9,2.30,,Naoto HASEGAWA,15 NOV 1996,JPN,2,,"Městská sportovní hala, Hustopeče (CZE) (i)",07 FEB 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14722758
9,2.30,,Tomohiro SHINNO,17 AUG 1996,JPN,2,,"Športová hala Dukla, Banská Bystrica (SVK) (i)",24 FEB 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14671473
9,2.30,,Sanghyeok WOO,23 APR 1996,KOR,3,,"Športová hala Dukla, Banská Bystrica (SVK) (i)",24 FEB 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14532326
9,2.30,,Christian FALOCCHI,30 JAN 1997,ITA,1,,"Palaindoor Ancona, Ancona (ITA) (i)",01 MAR 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14566249
9,2.30,,Ilya IVANYUK,09 MAR 1993,RUS,2,,"Spartak Stadium, Yuzhno-Sakhalinsk (RUS) (i)",03 MAR 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14421068
9,2.30,,Erick PORTILLO,05 OCT 2000,MEX,2,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",21 MAR 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14782952
9,2.30,,Romaine BECKFORD,09 JUL 2002,JAM,1f1,,"RV Christian Track, Manhattan, KS (USA)",08 MAY 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14832929
9,2.30,,Roman PETRUK,09 NOV 2003,UKR,1,,"Stadion SKIF, Lviv (UKR)",06 JUN 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14859138
9,2.30,,Tobias POTYE,16 MAR 1995,GER,1,,"Kennedyplatz, Essen (GER)",20 JUN 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14481078
9,2.30,,Matteo SIOLI,01 OCT 2005,ITA,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",26 JUL 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/italy/matteo-sioli-15010318
9,2.30,,Tyus WILSON,05 NOV 2002,USA,2,,"Quai Albert 1er, Monaco (MON)",05 AUG 2026,1179,men_HJ,2026,https://worldathletics.org/athletes/athlete=14906354
21,2.28,,Younes AYACHI,12 APR 2008,ALG,1,,"TSG-Halle, Weinheim (GER) (i)",06 FEB 2026,1161,men_HJ,2026,https://worldathletics.org/athletes/algeria/younes-ayachi-15137966
21,2.28,,Bozhidar SARÂBOYUKOV,06 AUG 2004,BUL,1,,"Festivalna, Sofia (BUL) (i)",01 MAR 2026,1161,men_HJ,2026,https://worldathletics.org/athletes/athlete=14927349
21,2.28,,Hamish KERR,17 AUG 1996,NZL,1,,"Douglas Track & Field, Auckland (NZL)",07 MAR 2026,1161,men_HJ,2026,https://worldathletics.org/athletes/athlete=14633982
21,2.28,,Yual REATH,18 MAY 2000,AUS,1,,"Arafura Stadium, Darwin (AUS)",20 MAY 2026,1161,men_HJ,2026,https://worldathletics.org/athletes/athlete=14817346
21,2.28,,Mikita DANILAU,16 NOV 2004,BLR,1,,"Dinamo National Olympic Stadium, Minsk (BLR)",22 JUL 2026,1161,men_HJ,2026,https://worldathletics.org/athletes/athlete=14927003
26,2.27,,Antonios MERLOS,04 APR 1999,GRE,1,,"Arena Gorzów, Gorzów Wielkopolski (POL) (i)",31 JAN 2026,1152,men_HJ,2026,https://worldathletics.org/athletes/athlete=14669654
26,2.27,,Aadarsh Ram JOTHI SHANKAR,27 SEP 1997,IND,1,,"Jawaharlal Nehru Stadium, Chennai (IND)",10 MAY 2026,1152,men_HJ,2026,https://worldathletics.org/athletes/athlete=14768579
26,2.27,,Gage VOYLES,11 FEB 2007,USA,1f1,,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",15 MAY 2026,1152,men_HJ,2026,https://worldathletics.org/athletes/united-states/gage-voyles-15234875
26,2.27,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1152,men_HJ,2026,https://worldathletics.org/athletes/athlete=14377312
26,2.27,,Joel CLARKE-KHAN,30 SEP 1999,GBR,1f1,,"Alexander Stadium, Birmingham (GBR)",20 JUN 2026,1152,men_HJ,2026,https://worldathletics.org/athletes/athlete=14720468
26,2.27,,Ziang DONG,03 JAN 2005,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1152,men_HJ,2026,https://worldathletics.org/athletes/pr-of-china/ziang-dong-15019906
26,2.27,,Edoardo STRONATI,19 MAY 2004,ITA,2,,"Stadio Luigi Ridolfi, Firenze (ITA)",26 JUL 2026,1152,men_HJ,2026,https://worldathletics.org/athletes/athlete=14905217
33,2.26,,Matvey TYCHINKIN,28 DEC 2002,RUS,2,,"Ural GUFK, Chelyabinsk (RUS) (i)",16 JAN 2026,1143,men_HJ,2026,https://worldathletics.org/athletes/athlete=14924826
33,2.26,,Tejaswin SHANKAR,21 DEC 1998,IND,1,,"Cliff Rovelto Indoor Track, Manhattan, KS (USA) (i)",30 JAN 2026,1143,men_HJ,2026,https://worldathletics.org/athletes/athlete=14714481
33,2.26,,Raymond RICHARDS,28 APR 2001,JAM,1,,"National Stadium, Kingston (JAM)",28 FEB 2026,1143,men_HJ,2026,https://worldathletics.org/athletes/athlete=14875577
33,2.26,,Charles MCBRIDE,16 APR 2001,USA,1f2,,"Paul Derr TF Facility, Raleigh, NC (USA)",27 MAR 2026,1143,men_HJ,2026,https://worldathletics.org/athletes/athlete=14797066
33,2.26,,Scottie VINES,01 NOV 2005,USA,1f1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",18 APR 2026,1143,men_HJ,2026,https://worldathletics.org/athletes/united-states/scottie-vines-15143992
33,2.26,,Antrea MITA,04 MAY 2005,GRE,1f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1143,men_HJ,2026,https://worldathletics.org/athletes/greece/antrea-mita-14946379
33,2.26,,Yahor HUPTAR,13 JAN 2002,BLR,,,"Stadium Luch, Gomel (BLR)",20 JUN 2026,1143,men_HJ,2026,https://worldathletics.org/athletes/athlete=14882812
40,2.25,,Alan HANNA,15 JAN 2007,BAH,1f1,,"Cliff Rovelto Indoor Track, Manhattan, KS (USA) (i)",16 JAN 2026,1135,men_HJ,2026,https://worldathletics.org/athletes/bahamas/alan-hanna-15086679
40,2.25,,Elijah KOSIBA,03 APR 2002,USA,1f1,,"GVSU Kelly Family Sports Cente, Allendale, MI (USA) (i)",17 JAN 2026,1135,men_HJ,2026,https://worldathletics.org/athletes/united-states/elijah-kosiba-14968220
40,2.25,,Jair PORTILLO,28 SEP 2002,MEX,5,,"Městská sportovní hala, Hustopeče (CZE) (i)",07 FEB 2026,1135,men_HJ,2026,https://worldathletics.org/athletes/athlete=14842794
40,2.25,,Tyson RITZ,10 MAR 2005,USA,2f1,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",26 FEB 2026,1135,men_HJ,2026,https://worldathletics.org/athletes/united-states/tyson-ritz-15124200
