Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Matteo SIOLI,01 OCT 2005,2.28,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Erick PORTILLO,05 OCT 2000,2.23,MEX,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Romaine BECKFORD,09 JUL 2002,2.23,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Mateusz KOŁODZIEJSKI,22 JUN 2002,2.20,POL,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Tomohiro SHINNO,17 AUG 1996,2.20,JPN,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Yual REATH,18 MAY 2000,2.20,AUS,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Raymond RICHARDS,28 APR 2001,2.20,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
Jan ŠTEFELA,20 APR 2001,2.20,CZE,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
JuVaughn HARRISON,30 APR 1999,2.16,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,9.,dl_meeting
Matteo SIOLI,01 OCT 2005,2.29,ITA,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Mutaz Essa BARSHIM,24 JUN 1991,2.27,QAT,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Oleh DOROSHCHUK,04 JUL 2001,2.24,UKR,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Raymond RICHARDS,28 APR 2001,2.20,JAM,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
Tyus WILSON,05 NOV 2002,2.20,USA,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Erick PORTILLO,05 OCT 2000,2.20,MEX,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Jan ŠTEFELA,20 APR 2001,2.20,CZE,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Mateusz KOŁODZIEJSKI,22 JUN 2002,2.16,POL,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Yual REATH,18 MAY 2000,2.12,AUS,Doha Meeting,19 JUN 2026,2026,9.,dl_meeting
Oleh DOROSHCHUK,04 JUL 2001,2.32,UKR,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,1.,dl_meeting
Kimani JACK,31 JAN 2004,2.30,GBR,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,2.,dl_meeting
Sarvesh Anil KUSHARE,17 JUN 1995,2.26,IND,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,3.,dl_meeting
JuVaughn HARRISON,30 APR 1999,2.23,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,4.,dl_meeting
Romaine BECKFORD,09 JUL 2002,2.23,JAM,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,4.,dl_meeting
Matteo SIOLI,01 OCT 2005,2.23,ITA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,6.,dl_meeting
Gianmarco TAMBERI,01 JUN 1992,2.23,ITA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,6.,dl_meeting
Mutaz Essa BARSHIM,24 JUN 1991,2.20,QAT,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,8.,dl_meeting
Erick PORTILLO,05 OCT 2000,2.20,MEX,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,8.,dl_meeting
Jan ŠTEFELA,20 APR 2001,2.20,CZE,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,8.,dl_meeting
Tobias POTYE,16 MAR 1995,2.16,GER,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,11.,dl_meeting
Gianmarco TAMBERI,01 JUN 1992,2.31,ITA,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,1.,dl_meeting
Romaine BECKFORD,09 JUL 2002,2.29,JAM,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,2.,dl_meeting
Mateusz KOŁODZIEJSKI,22 JUN 2002,2.26,POL,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,3.,dl_meeting
JuVaughn HARRISON,30 APR 1999,2.26,USA,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,3.,dl_meeting
Tyus WILSON,05 NOV 2002,2.26,USA,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,5.,dl_meeting
Oleh DOROSHCHUK,04 JUL 2001,2.26,UKR,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,5.,dl_meeting
Mutaz Essa BARSHIM,24 JUN 1991,2.23,QAT,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,7.,dl_meeting
Joel CLARKE-KHAN,30 SEP 1999,2.20,GBR,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,8.,dl_meeting
Erick PORTILLO,05 OCT 2000,2.20,MEX,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,8.,dl_meeting
Jan ŠTEFELA,20 APR 2001,2.20,CZE,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,10.,dl_meeting
Sanghyeok WOO,23 APR 1996,NM,KOR,Silesia Kamila Skolimowska Memorial,22 AUG 2026,2026,,dl_meeting
