Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat,Venue,Date,Results Score,discipline,year,ProfileURL,source
1,84.51,,Ivan TIKHON,24 JUL 1976,BLR,1,,Grodno (BLR),09 JUL 2008,1273,men_HT,2008,https://worldathletics.org/athletes/athlete=14176509,toplist
2,82.02,,Primož KOZMUS,30 SEP 1979,SLO,1,,"National Stadium, Beijing (CHN)",17 AUG 2008,1234,men_HT,2008,https://worldathletics.org/athletes/athlete=14225094,toplist
3,81.96,,Krisztián PARS,18 FEB 1982,HUN,1,,Lahti (FIN),09 JUL 2008,1233,men_HT,2008,https://worldathletics.org/athletes/athlete=14197122,toplist
4,81.87,,Koji MUROFUSHI,08 OCT 1974,JPN,1,,Nagoya (JPN),21 JUL 2008,1232,men_HT,2008,https://worldathletics.org/athletes/athlete=14204741,toplist
5,81.70,,Vadim DEVYATOVSKIY,20 MAR 1977,BLR,1,,Minsk (BLR),19 JUL 2008,1229,men_HT,2008,https://worldathletics.org/athletes/athlete=14176950,toplist
6,81.39,,Aleksey ZAGORNIY,31 MAY 1978,RUS,1,,"Meteor, Zhukovskiy (RUS)",15 JUN 2008,1224,men_HT,2008,https://worldathletics.org/athletes/athlete=14224623,toplist
7,81.37,,Valeri SVYATOKHA,20 JUL 1981,BLR,1,,Minsk (BLR),27 JUL 2008,1224,men_HT,2008,https://worldathletics.org/athletes/athlete=14176521,toplist
8,81.31,,Andrei VARANTSOU,24 JUL 1975,BLR,1,,Minsk (BLR),29 JUN 2008,1223,men_HT,2008,https://worldathletics.org/athletes/athlete=14176459,toplist
9,80.58,,Yevhen VINOHRADOV,30 APR 1984,UKR,1,,Kyiv (UKR),02 JUL 2008,1212,men_HT,2008,https://worldathletics.org/athletes/athlete=14230758,toplist
10,80.45,,Libor CHARFREITAG,11 SEP 1977,SVK,1,,Vila Real de Santo António (POR),25 MAY 2008,1210,men_HT,2008,https://worldathletics.org/athletes/athlete=14226786,toplist
11,80.12,,Aleksandr VASHCHILO,30 AUG 1981,BLR,2,,Minsk (BLR),07 JUN 2008,1204,men_HT,2008,https://worldathletics.org/athletes/athlete=14176478,toplist
12,80.02,,Pavel KRYVITSKI,17 APR 1984,BLR,2,,Minsk (BLR),19 JUL 2008,1203,men_HT,2008,https://worldathletics.org/athletes/athlete=14176788,toplist
13,79.97,,Marco LINGUA,04 JUN 1978,ITA,2,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",01 JUL 2008,1202,men_HT,2008,https://worldathletics.org/athletes/athlete=14200655,toplist
13,79.97,,Markus ESSER,03 FEB 1980,GER,1,,Leverkusen (GER),30 JUL 2008,1202,men_HT,2008,https://worldathletics.org/athletes/athlete=14192010,toplist
15,79.95,,Igor VINICHENKO,11 APR 1984,RUS,,,Podolsk (RUS),20 JUN 2008,1202,men_HT,2008,https://worldathletics.org/athletes/athlete=14224437,toplist
16,79.75,,Artem RUBANKO,21 AUG 1974,UKR,2,,Kyiv (UKR),02 JUL 2008,1199,men_HT,2008,https://worldathletics.org/athletes/athlete=14230485,toplist
17,79.59,,Olli-Pekka KARJALAINEN,07 MAR 1980,FIN,6,,"National Stadium, Beijing (CHN)",17 AUG 2008,1196,men_HT,2008,https://worldathletics.org/athletes/athlete=14182008,toplist
18,79.55,,Szymon ZIÓŁKOWSKI,01 JUL 1976,POL,1q2,,"National Stadium, Beijing (CHN)",15 AUG 2008,1196,men_HT,2008,https://worldathletics.org/athletes/athlete=14217958,toplist
19,79.46,,Ihor TUHAY,22 MAR 1975,UKR,3,,Kyiv (UKR),02 JUL 2008,1194,men_HT,2008,https://worldathletics.org/athletes/athlete=14230709,toplist
20,79.36,,Aleksey KOROLYOV,05 APR 1982,RUS,2,,Bryansk (RUS),31 MAY 2008,1193,men_HT,2008,https://worldathletics.org/athletes/athlete=14222781,toplist
21,79.20,,Kirill IKONNIKOV,05 MAR 1984,RUS,3,,"Meteor, Zhukovskiy (RUS)",15 JUN 2008,1190,men_HT,2008,https://worldathletics.org/athletes/athlete=14222437,toplist
22,79.15,,Eşref APAK,03 JAN 1982,TUR,1,,Ankara (TUR),13 JUN 2008,1189,men_HT,2008,https://worldathletics.org/athletes/athlete=14229316,toplist
23,79.13,,James STEACY,29 MAY 1984,CAN,1,,Lethbridge (CAN),16 MAY 2008,1189,men_HT,2008,https://worldathletics.org/athletes/athlete=14173449,toplist
24,79.05,,Dilshod NAZAROV,06 MAY 1982,TJK,1,,Almaty (KAZ),07 JUN 2008,1188,men_HT,2008,https://worldathletics.org/athletes/athlete=14228612,toplist
25,78.83,,Miloslav KONOPKA,23 JAN 1979,SVK,1,,Opava (CZE),10 JUN 2008,1184,men_HT,2008,https://worldathletics.org/athletes/athlete=14226964,toplist
26,78.79,,Nicola VIZZONI,04 NOV 1973,ITA,1,,Lucca (ITA),10 JUN 2008,1184,men_HT,2008,https://worldathletics.org/athletes/athlete=14201711,toplist
27,78.76,,Dmitriy VELIKOPOLSKIY,27 NOV 1984,RUS,3,,Bryansk (RUS),31 MAY 2008,1183,men_HT,2008,https://worldathletics.org/athletes/athlete=14224418,toplist
28,78.68,,Alfred G. KRUGER,18 FEB 1979,USA,1,,"Eugene, OR (USA)",09 MAY 2008,1182,men_HT,2008,https://worldathletics.org/athletes/athlete=14243395,toplist
29,78.58,,Andras HAKLITS,23 SEP 1977,CRO,1,,Rijeka (CRO),01 AUG 2008,1181,men_HT,2008,https://worldathletics.org/athletes/athlete=14169860,toplist
30,78.55,,Sergey KIRMASOV,25 MAR 1970,RUS,4,,"Meteor, Zhukovskiy (RUS)",15 JUN 2008,1180,men_HT,2008,https://worldathletics.org/athletes/athlete=14222661,toplist
31,78.54,,Dmitriy SHAKO,25 MAR 1979,BLR,2,,Minsk (BLR),27 JUL 2008,1180,men_HT,2008,https://worldathletics.org/athletes/athlete=14176577,toplist
