Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,92.62,,Rumesh Tharanga PATHIRAGE,21 MAR 2003,SRI,1,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1281,men_JT,2026,https://worldathletics.org/athletes/athlete=14886862
2,90.40,,Julian WEBER,29 AUG 1994,GER,1,,"Alexander Stadium, Birmingham (GBR)",15 AUG 2026,1249,men_JT,2026,https://worldathletics.org/athletes/athlete=14420076
3,88.05,,Neeraj CHOPRA,24 DEC 1997,IND,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",21 AUG 2026,1216,men_JT,2026,https://worldathletics.org/athletes/athlete=14549089
4,87.68,,Rohit YADAV,06 JUN 2001,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",22 AUG 2026,1211,men_JT,2026,https://worldathletics.org/athletes/athlete=14740932
5,87.59,,Curtis THOMPSON,08 FEB 1996,USA,1,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1209,men_JT,2026,https://worldathletics.org/athletes/athlete=14583106
6,86.93,,Anderson PETERS,21 OCT 1997,GRN,2,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1200,men_JT,2026,https://worldathletics.org/athletes/athlete=14520432
7,85.73,,Cameron MCENTYRE,10 FEB 1999,AUS,2,,"Stadion Allmend, Luzern (SUI)",16 JUL 2026,1183,men_JT,2026,https://worldathletics.org/athletes/athlete=14622433
8,85.65,,Aliaksei KATKAVETS,07 JUN 1998,BLR,1,,"Regional Sport Complex, Brest (BLR)",07 MAY 2026,1182,men_JT,2026,https://worldathletics.org/athletes/athlete=14703718
9,85.41,,Yash Vir SINGH,22 OCT 2001,IND,3f1,,"Scotstoun Stadium, Glasgow (GBR)",31 JUL 2026,1178,men_JT,2026,https://worldathletics.org/athletes/athlete=14818383
10,85.24,,Jakub VADLEJCH,10 OCT 1990,CZE,1,,"National Stadium, Tokyo (JPN)",17 MAY 2026,1176,men_JT,2026,https://worldathletics.org/athletes/athlete=14168152
11,85.16,,Dawid WEGNER,23 APR 2000,POL,3,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1175,men_JT,2026,https://worldathletics.org/athletes/athlete=14753334
12,84.79,,Douw SMIT,12 MAY 1999,RSA,1,,"Paul-Greifzu-Stadion, Dessau (GER)",19 JUN 2026,1169,men_JT,2026,https://worldathletics.org/athletes/south-africa/douw-smit-14697008
13,84.68,,Chinecherem NNAMDI,12 JUL 2002,NGR,1f2,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2026,1168,men_JT,2026,https://worldathletics.org/athletes/athlete=14830889
14,84.11,,Marc Anthony MINICHELLO,06 APR 2000,USA,2f1,,"Drake Stadium, Des Moines, IA (USA)",23 APR 2026,1160,men_JT,2026,https://worldathletics.org/athletes/athlete=14841596
15,83.76,,Nick THUMM,19 OCT 2004,GER,2,,"Alexander Stadium, Birmingham (GBR)",15 AUG 2026,1155,men_JT,2026,https://worldathletics.org/athletes/athlete=14932936
16,83.73,,Marcin KRUKOWSKI,14 JUN 1992,POL,1,,"Stadion Zygmunta Szelesta, Warszawa (POL)",23 MAY 2026,1154,men_JT,2026,https://worldathletics.org/athletes/athlete=14336191
17,83.71,,Keshorn WALCOTT,02 APR 1993,TTO,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",21 AUG 2026,1154,men_JT,2026,https://worldathletics.org/athletes/athlete=14376122
18,83.65,,Edis MATUSEVIČIUS,30 JUN 1996,LTU,1,,"Palangos Stadionas, Palanga (LTU)",17 JUN 2026,1153,men_JT,2026,https://worldathletics.org/athletes/athlete=14522112
19,83.62,,Artur FELFNER,17 OCT 2003,UKR,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1153,men_JT,2026,https://worldathletics.org/athletes/athlete=14830537
20,83.49,,Jakub KUBÍNEC,18 MAY 1998,SVK,1,,"Atletický štadión, Martin (SVK)",23 MAY 2026,1151,men_JT,2026,https://worldathletics.org/athletes/athlete=14645436
21,83.33,,Thomas RÖHLER,30 SEP 1991,GER,2,,"Nyayo National Stadium, Nairobi (KEN)",24 APR 2026,1149,men_JT,2026,https://worldathletics.org/athletes/athlete=14379257
22,83.10,,Ahmed Sameh MOHAMED HUSSEIN,10 JAN 2003,EGY,1f1,,"Werferzentrum Brandberge, Halle (GER)",16 MAY 2026,1145,men_JT,2026,https://worldathletics.org/athletes/athlete=15023970
23,83.09,,Patriks GAILUMS,10 MAY 1998,LAT,2,,"Palangos Stadionas, Palanga (LTU)",17 JUN 2026,1145,men_JT,2026,https://worldathletics.org/athletes/athlete=14587444
