Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Anderson PETERS,21 OCT 1997,86.08,GRN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Rumesh Tharanga PATHIRAGE,21 MAR 2003,85.97,SRI,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Keshorn WALCOTT,02 APR 1993,82.52,TTO,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Thomas RÖHLER,30 SEP 1991,81.61,GER,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Julius YEGO,04 JAN 1989,80.59,KEN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Curtis THOMPSON,08 FEB 1996,77.88,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Jakub VADLEJCH,10 OCT 1990,77.75,CZE,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Dawid WEGNER,23 APR 2000,71.18,POL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Jakub KUBÍNEC,18 MAY 1998,NM,SVK,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,,dl_meeting
Rumesh Tharanga PATHIRAGE,21 MAR 2003,92.62,SRI,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Anderson PETERS,21 OCT 1997,83.91,GRN,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Curtis THOMPSON,08 FEB 1996,83.89,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Keshorn WALCOTT,02 APR 1993,83.45,TTO,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Thomas RÖHLER,30 SEP 1991,82.89,GER,Golden Gala Pietro Mennea,04 JUN 2026,2026,5.,dl_meeting
Dawid WEGNER,23 APR 2000,80.47,POL,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Julius YEGO,04 JAN 1989,79.89,KEN,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
Sachin YADAV,25 OCT 1999,79.18,IND,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
Jakub VADLEJCH,10 OCT 1990,78.28,CZE,Golden Gala Pietro Mennea,04 JUN 2026,2026,9.,dl_meeting
Giovanni FRATTINI,24 OCT 2002,74.27,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,10.,dl_meeting
Rumesh Tharanga PATHIRAGE,21 MAR 2003,88.68,SRI,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Anderson PETERS,21 OCT 1997,86.38,GRN,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Curtis THOMPSON,08 FEB 1996,85.99,USA,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Neeraj CHOPRA,24 DEC 1997,85.69,IND,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
Artur FELFNER,17 OCT 2003,83.62,UKR,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Julius YEGO,04 JAN 1989,82.22,KEN,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Keshorn WALCOTT,02 APR 1993,81.47,TTO,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Jakub VADLEJCH,10 OCT 1990,80.38,CZE,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Ahmed Sameh MOHAMED HUSSEIN,10 JAN 2003,79.21,EGY,Doha Meeting,19 JUN 2026,2026,9.,dl_meeting
Rumesh Tharanga PATHIRAGE,21 MAR 2003,88.14,SRI,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Neeraj CHOPRA,24 DEC 1997,88.05,IND,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Anderson PETERS,21 OCT 1997,86.69,GRN,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Keshorn WALCOTT,02 APR 1993,83.71,TTO,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Marc Anthony MINICHELLO,06 APR 2000,80.06,USA,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Curtis THOMPSON,08 FEB 1996,78.13,USA,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Jakub VADLEJCH,10 OCT 1990,77.32,CZE,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Artur FELFNER,17 OCT 2003,74.84,UKR,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Simon WIELAND,16 DEC 2000,73.23,SUI,Athletissima Lausanne,21 AUG 2026,2026,9.,dl_meeting
Rumesh Tharanga PATHIRAGE,21 MAR 2003,92.07,SRI,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Anderson PETERS,21 OCT 1997,86.93,GRN,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
Dawid WEGNER,23 APR 2000,85.16,POL,Weltklasse Zürich,27 AUG 2026,2026,3.,dl_meeting
Keshorn WALCOTT,02 APR 1993,83.02,TTO,Weltklasse Zürich,27 AUG 2026,2026,4.,dl_meeting
Julius YEGO,04 JAN 1989,81.66,KEN,Weltklasse Zürich,27 AUG 2026,2026,5.,dl_meeting
Marc Anthony MINICHELLO,06 APR 2000,80.38,USA,Weltklasse Zürich,27 AUG 2026,2026,6.,dl_meeting
Curtis THOMPSON,08 FEB 1996,80.31,USA,Weltklasse Zürich,27 AUG 2026,2026,7.,dl_meeting
Thomas RÖHLER,30 SEP 1991,79.86,GER,Weltklasse Zürich,27 AUG 2026,2026,8.,dl_meeting
Simon WIELAND,16 DEC 2000,75.35,SUI,Weltklasse Zürich,27 AUG 2026,2026,9.,dl_meeting
Patriks GAILUMS,10 MAY 1998,74.30,LAT,Weltklasse Zürich,27 AUG 2026,2026,10.,dl_meeting
