Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,8.66,+1.0,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Panthessaliko Stadium, Volos (GRE)",26 JUL 2026,1282,men_LJ,2026,https://worldathletics.org/athletes/athlete=14669734
2,8.51,+1.0,Simon EHAMMER,07 FEB 2000,SUI,1ce1,,"Mösle-Stadium, Götzis (AUT)",30 MAY 2026,1249,men_LJ,2026,https://worldathletics.org/athletes/athlete=14730721
3,8.49,+1.3,Bozhidar SARÂBOYUKOV,06 AUG 2004,BUL,1,,"Plovdiv Stadium, Plovdiv (BUL)",14 JUL 2026,1245,men_LJ,2026,https://worldathletics.org/athletes/athlete=14927349
4,8.46,,Gerson BALDÉ,28 JAN 2000,POR,1,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",22 MAR 2026,1238,men_LJ,2026,https://worldathletics.org/athletes/athlete=14849980
4,8.46,+1.9,Jorge A. HODELÍN,16 MAY 2007,CUB,1,,"Stade Christian Plaziat, Pierre-Bénite (FRA)",13 JUN 2026,1238,men_LJ,2026,https://worldathletics.org/athletes/cuba/jorge-a-hodelin-15111238
4,8.46,+1.4,Tajay GAYLE,02 AUG 1996,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2026,1238,men_LJ,2026,https://worldathletics.org/athletes/athlete=14631861
7,8.43,+0.4,Mattia FURLANI,07 FEB 2005,ITA,1,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1232,men_LJ,2026,https://worldathletics.org/athletes/athlete=14905216
8,8.39,+0.3,Wayne PINNOCK,24 OCT 2000,JAM,2,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1223,men_LJ,2026,https://worldathletics.org/athletes/athlete=14693852
9,8.38,-0.8,SREESHANKAR,27 MAR 1999,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",28 JUN 2026,1225,men_LJ,2026,https://worldathletics.org/athletes/athlete=14734673
10,8.37,-0.7,Tafadzwa CHIKOMBA,17 FEB 2001,ZIM,1f2,,"Hayward Field, Eugene, OR (USA)",10 JUN 2026,1223,men_LJ,2026,https://worldathletics.org/athletes/athlete=14890453
11,8.33,-1.3,Chenlong YUAN,04 JAN 2002,CHN,1,,Nanjing (CHN),09 MAY 2026,1217,men_LJ,2026,https://worldathletics.org/athletes/athlete=14884026
12,8.30,+1.4,Shahnavaz KHAN,02 FEB 2008,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",28 JUN 2026,1203,men_LJ,2026,https://worldathletics.org/athletes/india/shahnavaz-khan-15139285
13,8.29,,Kennedy STRINGFELLOW,17 JAN 2005,USA,1,,"Mosier Indoor Facility, Norman, OK (USA) (i)",16 JAN 2026,1201,men_LJ,2026,https://worldathletics.org/athletes/united-states/kennedy-stringfellow-15127683
