Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Miltiadis TENTOGLOU,18 MAR 1998,8.46,GRE,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Tajay GAYLE,02 AUG 1996,8.32,JAM,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Bozhidar SARÂBOYUKOV,06 AUG 2004,8.29,BUL,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Mattia FURLANI,07 FEB 2005,8.28,ITA,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Anvar ANVAROV,22 OCT 2000,8.01,UZB,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Wayne PINNOCK,24 OCT 2000,7.93,JAM,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
Heng SHU,22 MAY 2004,7.84,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Liam ADCOCK,21 JUN 1996,7.76,AUS,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Yuhao SHI,26 SEP 1998,7.70,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Mingkun ZHANG,20 OCT 2000,7.66,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,10.,dl_meeting
Bozhidar SARÂBOYUKOV,06 AUG 2004,8.26,BUL,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Miltiadis TENTOGLOU,18 MAR 1998,8.24,GRE,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Jorge A. HODELÍN,16 MAY 2007,8.18,CUB,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Tajay GAYLE,02 AUG 1996,8.04,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Gerson BALDÉ,28 JAN 2000,8.00,POR,Golden Gala Pietro Mennea,04 JUN 2026,2026,5.,dl_meeting
Thobias MONTLER,15 FEB 1996,7.79,SWE,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Wayne PINNOCK,24 OCT 2000,7.75,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
Liam ADCOCK,21 JUN 1996,7.70,AUS,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
Gabriele CHILA',17 SEP 1997,7.51,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,9.,dl_meeting
Miltiadis TENTOGLOU,18 MAR 1998,8.61,GRE,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,1.,dl_meeting
Wayne PINNOCK,24 OCT 2000,8.39,JAM,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,2.,dl_meeting
Jorge A. HODELÍN,16 MAY 2007,8.38,CUB,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,3.,dl_meeting
Bozhidar SARÂBOYUKOV,06 AUG 2004,8.36,BUL,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,4.,dl_meeting
Simon EHAMMER,07 FEB 2000,8.32,SUI,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,5.,dl_meeting
Gerson BALDÉ,28 JAN 2000,8.20,POR,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,6.,dl_meeting
Tajay GAYLE,02 AUG 1996,8.04,JAM,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,7.,dl_meeting
Mattia FURLANI,07 FEB 2005,8.01,ITA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,8.,dl_meeting
Miltiadis TENTOGLOU,18 MAR 1998,8.24,GRE,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Simon EHAMMER,07 FEB 2000,8.13,SUI,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Luka BOŠKOVIĆ,06 JUL 2006,8.07,SRB,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Jorge A. HODELÍN,16 MAY 2007,8.06,CUB,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Gerson BALDÉ,28 JAN 2000,8.02,POR,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Wayne PINNOCK,24 OCT 2000,8.01,JAM,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Anvar ANVAROV,22 OCT 2000,7.91,UZB,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Bozhidar SARÂBOYUKOV,06 AUG 2004,7.88,BUL,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Tajay GAYLE,02 AUG 1996,7.70,JAM,Athletissima Lausanne,21 AUG 2026,2026,9.,dl_meeting
Miltiadis TENTOGLOU,18 MAR 1998,8.17,GRE,Athletissima Lausanne,21 AUG 2026,2026,,dl_meeting
Miltiadis TENTOGLOU,18 MAR 1998,8.45,GRE,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Tajay GAYLE,02 AUG 1996,8.43,JAM,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
