Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,6.31,,Armand DUPLANTIS,10 NOV 1999,SWE,1,,"IFU Arena, Uppsala (SWE) (i)",12 MAR 2026,1353,men_PV,2026,https://worldathletics.org/athletes/athlete=14679502
2,6.20,,Emmanouil KARALIS,20 OCT 1999,GRE,2,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1322,men_PV,2026,https://worldathletics.org/athletes/athlete=14669731
3,6.06,,Sondre GUTTORMSEN,01 JUN 1999,NOR,2,,"Complexe Kindarena, Rouen (FRA) (i)",07 MAR 2026,1283,men_PV,2026,https://worldathletics.org/athletes/athlete=14681630
4,6.01,,Matvei VOLKOV,13 MAR 2004,BLR,1,,"Olimpiyets Arena, Mogilyov (BLR) (i)",20 FEB 2026,1270,men_PV,2026,https://worldathletics.org/athletes/athlete=14880490
4,6.01,,Zachery BRADFORD,29 NOV 1999,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",28 FEB 2026,1270,men_PV,2026,https://worldathletics.org/athletes/athlete=14717685
6,6.00,,Kurtis MARSCHALL,25 APR 1997,AUS,2,,"Maison des Sports, Clermont-Ferrand (FRA) (i)",22 FEB 2026,1267,men_PV,2026,https://worldathletics.org/athletes/athlete=14565327
7,5.95,,Sam KENDRICKS,07 SEP 1992,USA,1,,"Olympic Stadium, London (GBR)",18 JUL 2026,1253,men_PV,2026,https://worldathletics.org/athletes/athlete=14440868
8,5.93,,Baptiste THIERY,29 JUN 2001,FRA,2,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1247,men_PV,2026,https://worldathletics.org/athletes/athlete=14780520
9,5.92,,Christopher NILSEN,13 JAN 1998,USA,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1245,men_PV,2026,https://worldathletics.org/athletes/athlete=14709278
10,5.91,,KC LIGHTFOOT,11 NOV 1999,USA,1f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",07 FEB 2026,1242,men_PV,2026,https://worldathletics.org/athletes/athlete=14715264
10,5.91,,Thibaut COLLET,17 JUN 1999,FRA,2,,"Pl. Panathinaikou Stadiou, Athina (GRE)",05 JUL 2026,1242,men_PV,2026,https://worldathletics.org/athletes/athlete=14733137
10,5.91,,Ernest John OBIENA,17 NOV 1995,PHI,1,,"Promenada Gwiazd, Miedzyzdroje (POL)",17 AUG 2026,1242,men_PV,2026,https://worldathletics.org/athletes/athlete=14522941
13,5.90,,Bo Kanda LITA BAEHRE,29 APR 1999,GER,1,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1239,men_PV,2026,https://worldathletics.org/athletes/athlete=14649117
13,5.90,,Seifeldin ABDELSALAM,28 MAR 2005,QAT,1,,"Skwer Kuracyjny, Sopot (POL)",20 AUG 2026,1239,men_PV,2026,https://worldathletics.org/athletes/qatar/seifeldin-abdelsalam-15039267
15,5.86,,Mikhail SHMYKOV,15 FEB 2001,RUS,1,,"Spartak Stadium, Yuzhno-Sakhalinsk (RUS) (i)",01 MAR 2026,1228,men_PV,2026,https://worldathletics.org/athletes/athlete=14817499
15,5.86,,Chenyang LI,12 MAY 2003,CHN,1f1,,"Shanghai Sports University Indoor Athletics Stadium, Shanghai (CHN) (i)",25 MAR 2026,1228,men_PV,2026,https://worldathletics.org/athletes/pr-of-china/chenyang-li-14974804
17,5.85,,Menno VLOON,11 MAY 1994,NED,7,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",21 MAR 2026,1225,men_PV,2026,https://worldathletics.org/athletes/athlete=14482223
17,5.85,,Dyson WICKER,26 MAY 2006,USA,1,,"Hayward Field, Eugene, OR (USA)",10 JUN 2026,1225,men_PV,2026,https://worldathletics.org/athletes/united-states/dyson-wicker-15067921
17,5.85,,Pedro BUARÓ,14 JUN 2001,POR,3,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1225,men_PV,2026,https://worldathletics.org/athletes/athlete=14806825
20,5.84,,Matthew GRAY,13 OCT 2004,USA,1f1,,"Jaguar Track, Mobile, AL (USA)",15 MAY 2026,1223,men_PV,2026,https://worldathletics.org/athletes/united-states/matthew-gray-15040436
21,5.83,,Robin EMIG,06 JUN 2001,FRA,1f1,,"Stade de Vongy, Thonon-les-Bains (FRA)",04 JUL 2026,1220,men_PV,2026,https://worldathletics.org/athletes/athlete=14825226
22,5.82,,Jimmy RHOADS,13 JUL 2003,USA,1f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",16 JAN 2026,1217,men_PV,2026,https://worldathletics.org/athletes/athlete=14937988
22,5.82,,Ashton BARKDULL,22 NOV 2003,USA,1f1,,"Cessna Stadium, Wichita, KS (USA)",08 MAY 2026,1217,men_PV,2026,https://worldathletics.org/athletes/united-states/ashton-barkdull-15055703
22,5.82,,Anthony AMMIRATI,16 JUL 2003,FRA,2f1,,"Stade Christian Plaziat, Pierre-Bénite (FRA)",13 JUN 2026,1217,men_PV,2026,https://worldathletics.org/athletes/athlete=14862626
22,5.82,,Zackaria DIA,24 MAY 2008,FRA,3f1,,"Stade Christian Plaziat, Pierre-Bénite (FRA)",13 JUN 2026,1217,men_PV,2026,https://worldathletics.org/athletes/france/zackaria-dia-15133094
22,5.82,,Mathieu COLLET,15 MAR 1995,FRA,2,,"Stadium Municipal, Albi (FRA)",26 JUL 2026,1217,men_PV,2026,https://worldathletics.org/athletes/athlete=14565733
27,5.81,,Olen Tray OATES,14 MAR 1995,USA,1f1,,"Convention Center, Albuquerque, NM (USA) (i)",13 FEB 2026,1214,men_PV,2026,https://worldathletics.org/athletes/athlete=14519865
27,5.81,,Anthony MEACHAM,08 DEC 2003,USA,1f1,,"Rock Chalk Park, Lawrence, KS (USA)",02 MAY 2026,1214,men_PV,2026,https://worldathletics.org/athletes/athlete=14925804
27,5.81,,Austin MILLER,01 JUN 1994,USA,1,,"Alfonso Galvis Duque Stadium, Medellín (COL)",28 JUN 2026,1214,men_PV,2026,https://worldathletics.org/athletes/athlete=14554688
27,5.81,,Ersu ŞAŞMA,30 SEP 1999,TUR,6,,"Pl. Panathinaikou Stadiou, Athina (GRE)",05 JUL 2026,1214,men_PV,2026,https://worldathletics.org/athletes/athlete=14737427
31,5.80,,Simen GUTTORMSEN,19 JAN 2001,NOR,3,,"Arena Toruń, Toruń (POL) (i)",22 FEB 2026,1212,men_PV,2026,https://worldathletics.org/athletes/athlete=14779830
31,5.80,,Ethan CORMONT,29 SEP 2000,FRA,4,,"Maison des Sports, Clermont-Ferrand (FRA) (i)",22 FEB 2026,1212,men_PV,2026,https://worldathletics.org/athletes/athlete=14755665
31,5.80,,Aleksandr SOLOVYOV,18 FEB 2002,RUS,2f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 MAR 2026,1212,men_PV,2026,https://worldathletics.org/athletes/athlete=14875319
31,5.80,,Valters KREIŠS,19 SEP 2003,LAT,1,,"Jāņa Daliņa Stadium, Valmiera (LAT)",19 MAY 2026,1212,men_PV,2026,https://worldathletics.org/athletes/athlete=14935635
35,5.78,,Cole WALSH,14 JUN 1995,USA,2,,"Europahalle, Karlsruhe (GER) (i)",08 FEB 2026,1206,men_PV,2026,https://worldathletics.org/athletes/athlete=14512998
35,5.78,,Ismaila SAWANEH,04 MAR 2004,FRA,1f1,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",27 FEB 2026,1206,men_PV,2026,https://worldathletics.org/athletes/france/ismaila-sawaneh-14986433
37,5.77,,Dmitriy KACHANOV,08 JAN 2001,RUS,2,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",21 AUG 2026,1203,men_PV,2026,https://worldathletics.org/athletes/athlete=14817494
38,5.76,,David HOLÝ,04 MAR 1998,CZE,1,,"Atletická hala, Ostrava (CZE) (i)",28 FEB 2026,1201,men_PV,2026,https://worldathletics.org/athletes/athlete=14665548
39,5.75,,Nate RICHARTZ,02 NOV 1994,USA,1f1,,"Convention Center, Albuquerque, NM (USA) (i)",24 JAN 2026,1198,men_PV,2026,https://worldathletics.org/athletes/athlete=14539067
39,5.75,,Bradley JELMERT,27 DEC 2001,USA,2f1,,"Convention Center, Albuquerque, NM (USA) (i)",24 JAN 2026,1198,men_PV,2026,https://worldathletics.org/athletes/athlete=14874809
