Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Armand DUPLANTIS,10 NOV 1999,6.12,SWE,Wanda Diamond League,16 MAY 2026,2026,1.,dl_meeting
Kurtis MARSCHALL,25 APR 1997,5.80,AUS,Wanda Diamond League,16 MAY 2026,2026,2.,dl_meeting
Thibaut COLLET,17 JUN 1999,5.70,FRA,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Menno VLOON,11 MAY 1994,5.70,NED,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Sam KENDRICKS,07 SEP 1992,5.70,USA,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Bokai HUANG,26 SEP 1996,5.70,CHN,Wanda Diamond League,16 MAY 2026,2026,6.,dl_meeting
Emmanouil KARALIS,20 OCT 1999,5.70,GRE,Wanda Diamond League,16 MAY 2026,2026,7.,dl_meeting
Chenyang LI,12 MAY 2003,5.70,CHN,Wanda Diamond League,16 MAY 2026,2026,8.,dl_meeting
Zachery BRADFORD,29 NOV 1999,5.60,USA,Wanda Diamond League,16 MAY 2026,2026,9.,dl_meeting
Kurtis MARSCHALL,25 APR 1997,5.90,AUS,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Armand DUPLANTIS,10 NOV 1999,5.80,SWE,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Baptiste THIERY,29 JUN 2001,5.80,FRA,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Menno VLOON,11 MAY 1994,5.80,NED,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Zachery BRADFORD,29 NOV 1999,5.80,USA,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Sondre GUTTORMSEN,01 JUN 1999,5.70,NOR,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Renaud LAVILLENIE,18 SEP 1986,5.70,FRA,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Thibaut COLLET,17 JUN 1999,5.60,FRA,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Sam KENDRICKS,07 SEP 1992,5.60,USA,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Kurtis MARSCHALL,25 APR 1997,5.82,AUS,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Sondre GUTTORMSEN,01 JUN 1999,5.72,NOR,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Sam KENDRICKS,07 SEP 1992,5.72,USA,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Zachery BRADFORD,29 NOV 1999,5.72,USA,Oslo Bislett Games,10 JUN 2026,2026,4.,dl_meeting
Baptiste THIERY,29 JUN 2001,5.72,FRA,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Emmanouil KARALIS,20 OCT 1999,5.62,GRE,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Thibaut COLLET,17 JUN 1999,5.62,FRA,Oslo Bislett Games,10 JUN 2026,2026,7.,dl_meeting
Menno VLOON,11 MAY 1994,5.42,NED,Oslo Bislett Games,10 JUN 2026,2026,8.,dl_meeting
Renaud LAVILLENIE,18 SEP 1986,5.42,FRA,Oslo Bislett Games,10 JUN 2026,2026,9.,dl_meeting
Simen GUTTORMSEN,19 JAN 2001,NM,NOR,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Emmanouil KARALIS,20 OCT 1999,5.92,GRE,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Christopher NILSEN,13 JAN 1998,5.92,USA,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Sondre GUTTORMSEN,01 JUN 1999,5.92,NOR,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Sam KENDRICKS,07 SEP 1992,5.82,USA,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
KC LIGHTFOOT,11 NOV 1999,5.82,USA,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Seifeldin ABDELSALAM,28 MAR 2005,5.72,QAT,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Menno VLOON,11 MAY 1994,5.62,NED,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Zachery BRADFORD,29 NOV 1999,5.42,USA,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Ernest John OBIENA,17 NOV 1995,5.42,PHI,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Armand DUPLANTIS,10 NOV 1999,6.13,SWE,Meeting de Paris,28 JUN 2026,2026,1.,dl_meeting
Baptiste THIERY,29 JUN 2001,5.93,FRA,Meeting de Paris,28 JUN 2026,2026,2.,dl_meeting
Emmanouil KARALIS,20 OCT 1999,5.83,GRE,Meeting de Paris,28 JUN 2026,2026,3.,dl_meeting
Christopher NILSEN,13 JAN 1998,5.83,USA,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Sondre GUTTORMSEN,01 JUN 1999,5.83,NOR,Meeting de Paris,28 JUN 2026,2026,5.,dl_meeting
Zachery BRADFORD,29 NOV 1999,5.83,USA,Meeting de Paris,28 JUN 2026,2026,6.,dl_meeting
Kurtis MARSCHALL,25 APR 1997,5.83,AUS,Meeting de Paris,28 JUN 2026,2026,7.,dl_meeting
Sam KENDRICKS,07 SEP 1992,5.73,USA,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Thibaut COLLET,17 JUN 1999,5.73,FRA,Meeting de Paris,28 JUN 2026,2026,9.,dl_meeting
Zackaria DIA,24 MAY 2008,5.63,FRA,Meeting de Paris,28 JUN 2026,2026,10.,dl_meeting
KC LIGHTFOOT,11 NOV 1999,5.63,USA,Meeting de Paris,28 JUN 2026,2026,10.,dl_meeting
Renaud LAVILLENIE,18 SEP 1986,5.43,FRA,Meeting de Paris,28 JUN 2026,2026,12.,dl_meeting
Armand DUPLANTIS,10 NOV 1999,6.07,SWE,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,1.,dl_meeting
Baptiste THIERY,29 JUN 2001,5.85,FRA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,2.,dl_meeting
Kurtis MARSCHALL,25 APR 1997,5.85,AUS,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,3.,dl_meeting
Thibaut COLLET,17 JUN 1999,5.70,FRA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,4.,dl_meeting
Renaud LAVILLENIE,18 SEP 1986,5.70,FRA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,4.,dl_meeting
Ben BROEDERS,21 JUN 1995,5.50,BEL,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,6.,dl_meeting
Sam KENDRICKS,07 SEP 1992,5.95,USA,Novuna London Athletics Meet,18 JUL 2026,2026,1.,dl_meeting
Armand DUPLANTIS,10 NOV 1999,5.95,SWE,Novuna London Athletics Meet,18 JUL 2026,2026,2.,dl_meeting
Kurtis MARSCHALL,25 APR 1997,5.95,AUS,Novuna London Athletics Meet,18 JUL 2026,2026,3.,dl_meeting
Emmanouil KARALIS,20 OCT 1999,5.95,GRE,Novuna London Athletics Meet,18 JUL 2026,2026,4.,dl_meeting
Sondre GUTTORMSEN,01 JUN 1999,5.85,NOR,Novuna London Athletics Meet,18 JUL 2026,2026,5.,dl_meeting
Renaud LAVILLENIE,18 SEP 1986,5.60,FRA,Novuna London Athletics Meet,18 JUL 2026,2026,6.,dl_meeting
Menno VLOON,11 MAY 1994,5.60,NED,Novuna London Athletics Meet,18 JUL 2026,2026,6.,dl_meeting
Owen HEARD,29 DEC 2001,5.60,GBR,Novuna London Athletics Meet,18 JUL 2026,2026,8.,dl_meeting
Christopher NILSEN,13 JAN 1998,5.60,USA,Novuna London Athletics Meet,18 JUL 2026,2026,9.,dl_meeting
Armand DUPLANTIS,10 NOV 1999,6.21,SWE,Athletissima Lausanne,20 AUG 2026,2026,1.,dl_meeting
Emmanouil KARALIS,20 OCT 1999,6.16,GRE,Athletissima Lausanne,20 AUG 2026,2026,2.,dl_meeting
Kurtis MARSCHALL,25 APR 1997,5.91,AUS,Athletissima Lausanne,20 AUG 2026,2026,3.,dl_meeting
Sondre GUTTORMSEN,01 JUN 1999,5.91,NOR,Athletissima Lausanne,20 AUG 2026,2026,4.,dl_meeting
Christopher NILSEN,13 JAN 1998,5.91,USA,Athletissima Lausanne,20 AUG 2026,2026,5.,dl_meeting
Ernest John OBIENA,17 NOV 1995,5.81,PHI,Athletissima Lausanne,20 AUG 2026,2026,6.,dl_meeting
Zachery BRADFORD,29 NOV 1999,5.81,USA,Athletissima Lausanne,20 AUG 2026,2026,7.,dl_meeting
Sam KENDRICKS,07 SEP 1992,5.81,USA,Athletissima Lausanne,20 AUG 2026,2026,7.,dl_meeting
KC LIGHTFOOT,11 NOV 1999,5.81,USA,Athletissima Lausanne,20 AUG 2026,2026,9.,dl_meeting
Baptiste THIERY,29 JUN 2001,5.51,FRA,Athletissima Lausanne,20 AUG 2026,2026,10.,dl_meeting
Renaud LAVILLENIE,18 SEP 1986,5.51,FRA,Athletissima Lausanne,20 AUG 2026,2026,11.,dl_meeting
Armand DUPLANTIS,10 NOV 1999,6.20,SWE,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,1.,dl_meeting
Sondre GUTTORMSEN,01 JUN 1999,6.00,NOR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,2.,dl_meeting
Emmanouil KARALIS,20 OCT 1999,6.00,GRE,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,2.,dl_meeting
