Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,22.74,,Leonardo FABBRI,15 APR 1997,ITA,1,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1285,men_SP,2026,https://worldathletics.org/athletes/athlete=14567432
2,22.59,,Rajindra CAMPBELL,29 FEB 1996,JAM,1,,"Centro Gabre Gabric, Brescia (ITA)",30 AUG 2026,1276,men_SP,2026,https://worldathletics.org/athletes/athlete=14687604
3,22.58,,Joe KOVACS,28 JUN 1989,USA,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1275,men_SP,2026,https://worldathletics.org/athletes/athlete=14243308
4,22.53,,Jordan GEIST,21 JUL 1998,USA,1,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1272,men_SP,2026,https://worldathletics.org/athletes/athlete=14713125
5,22.07,,Roger STEEN,17 MAY 1992,USA,1,,"Atletska dvorana, Beograd (SRB) (i)",11 FEB 2026,1245,men_SP,2026,https://worldathletics.org/athletes/athlete=14515622
6,21.91,,Adrian PIPERI,20 JAN 1999,USA,2,,"Icahn Stadium, New York, NY (USA)",26 JUL 2026,1235,men_SP,2026,https://worldathletics.org/athletes/athlete=14713124
7,21.82,,Tom WALSH,01 MAR 1992,NZL,1,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",22 MAR 2026,1230,men_SP,2026,https://worldathletics.org/athletes/athlete=14413007
8,21.80,,Payton OTTERDAHL,02 APR 1996,USA,4,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1228,men_SP,2026,https://worldathletics.org/athletes/athlete=14674710
9,21.74,,Chukwuebuka ENEKWECHI,28 JAN 1993,NGR,2f1,,"Drake Stadium, Des Moines, IA (USA)",24 APR 2026,1225,men_SP,2026,https://worldathletics.org/athletes/athlete=14463876
10,21.59,,Ryan CROUSER,18 DEC 1992,USA,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1216,men_SP,2026,https://worldathletics.org/athletes/athlete=14369211
11,21.46,,Uziel MUÑOZ,08 SEP 1995,MEX,5f1,,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",10 JUL 2026,1208,men_SP,2026,https://worldathletics.org/athletes/athlete=14593049
12,21.42,,Zane WEIR,07 SEP 1995,ITA,2,,"Stadio Luigi Ridolfi, Firenze (ITA)",25 JUL 2026,1206,men_SP,2026,https://worldathletics.org/athletes/athlete=14544053
13,21.38,,Wictor PETERSSON,01 MAY 1998,SWE,1f1,,"Friidrottens Hus, Göteborg (SWE) (i)",15 FEB 2026,1203,men_SP,2026,https://worldathletics.org/athletes/athlete=14481190
14,21.34,,Konrad BUKOWIECKI,17 MAR 1997,POL,2,,"Market square, Białystok (POL)",31 MAY 2026,1201,men_SP,2026,https://worldathletics.org/athletes/athlete=14500229
15,21.23,,Nick PONZIO,04 JAN 1995,ITA,3f1,,"Městský stadion, Ústí nad Labem (CZE)",18 JUN 2026,1194,men_SP,2026,https://worldathletics.org/athletes/athlete=14521979
16,21.19,,Nick PALMER,12 JUN 2000,NZL,1,,"Marktplatz, Stuttgart (GER)",21 JUN 2026,1192,men_SP,2026,https://worldathletics.org/athletes/athlete=14690109
17,21.18,,Tarik O'HAGAN,25 NOV 2003,USA,1f1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",30 JAN 2026,1191,men_SP,2026,https://worldathletics.org/athletes/athlete=14994630
17,21.18,,Welington MORAIS,06 SEP 1996,BRA,1,,"CeNARD, Buenos Aires (ARG)",18 APR 2026,1191,men_SP,2026,https://worldathletics.org/athletes/athlete=14543298
19,21.16,,Scott LINCOLN,07 MAY 1993,GBR,1f1,,"Stadion Erzgebirgsblick, Gelenau (GER)",07 JUN 2026,1190,men_SP,2026,https://worldathletics.org/athletes/athlete=14443881
20,21.08,,Andrei Rares TOADER,26 MAY 1997,ROU,1,,"Sala de Atletism Ioan Soter, Bucureşti (ROU) (i)",01 MAR 2026,1185,men_SP,2026,https://worldathletics.org/athletes/athlete=14516137
21,21.06,,Josh AWOTUNDE,12 JUN 1995,USA,3,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",01 MAR 2026,1184,men_SP,2026,https://worldathletics.org/athletes/athlete=14522818
22,21.04,,Benjamin SMITH,25 APR 2006,USA,1f2,,"Hayward Field, Eugene, OR (USA)",10 JUN 2026,1183,men_SP,2026,https://worldathletics.org/athletes/united-states/benjamin-smith-15037379
23,21.03,,Tajinderpal Singh TOOR,13 NOV 1994,IND,1,,"Jawaharlal Nehru Stadium, New Delhi (IND)",11 APR 2026,1182,men_SP,2026,https://worldathletics.org/athletes/athlete=14624702
