Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Rajindra CAMPBELL,29 FEB 1996,22.34,JAM,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Jordan GEIST,21 JUL 1998,21.52,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Ryan CROUSER,18 DEC 1992,21.41,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Roger STEEN,17 MAY 1992,21.25,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Chukwuebuka ENEKWECHI,28 JAN 1993,21.14,NGR,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Tom WALSH,01 MAR 1992,21.13,NZL,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
Adrian PIPERI,20 JAN 1999,20.57,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Uziel MUÑOZ,08 SEP 1995,20.28,MEX,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Jialiang XING,26 MAY 2001,19.75,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Leonardo FABBRI,15 APR 1997,NM,ITA,Wanda Diamond League Xiamen,23 MAY 2026,2026,,dl_meeting
Joe KOVACS,28 JUN 1989,22.58,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Ryan CROUSER,18 DEC 1992,21.59,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Jordan GEIST,21 JUL 1998,21.56,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Roger STEEN,17 MAY 1992,21.52,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Leonardo FABBRI,15 APR 1997,21.42,ITA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Tom WALSH,01 MAR 1992,21.24,NZL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Rajindra CAMPBELL,29 FEB 1996,21.04,JAM,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Adrian PIPERI,20 JAN 1999,20.98,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Wictor PETERSSON,01 MAY 1998,20.39,SWE,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Leonardo FABBRI,15 APR 1997,22.14,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Joe KOVACS,28 JUN 1989,21.87,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Ryan CROUSER,18 DEC 1992,21.50,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Tom WALSH,01 MAR 1992,21.49,NZL,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Rajindra CAMPBELL,29 FEB 1996,21.39,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,5.,dl_meeting
Jordan GEIST,21 JUL 1998,21.30,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Zane WEIR,07 SEP 1995,21.13,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
