Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,17.95,0.6,Pedro PICHARDO,30 JUN 1993,POR,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1266.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14412588,toplist
2.0,17.81,0.6,Christian TAYLOR,18 JUN 1990,USA,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1251.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14252807,toplist
3.0,17.53,0.3,Almir DOS SANTOS,04 SEP 1993,BRA,1,,Baie Mahault (FRA),12 MAY 2018,1221.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14429487,toplist
4.0,17.44,1.1,Will CLAYE,13 JUN 1991,USA,,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1212.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14234882,toplist
5.0,17.41,1.0,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,La Habana (CUB),08 JUN 2018,1208.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14709120,toplist
6.0,17.4,,Nelson ÉVORA,20 APR 1984,POR,3,,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1207.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14218188,toplist
6.0,17.4,0.8,Omar CRADDOCK,26 APR 1991,USA,1,,"Chula Vista, CA (USA)",09 JUN 2018,1207.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14235504,toplist
6.0,17.4,0.6,Chris BENARD,09 APR 1990,USA,2,,"Chula Vista, CA (USA)",09 JUN 2018,1207.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14410419,toplist
9.0,17.37,0.9,Donald SCOTT,23 FEB 1992,USA,1,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1204.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14438760,toplist
10.0,17.34,1.7,Cristian NÁPOLES,27 NOV 1998,CUB,1,,Barranquilla (COL),02 AUG 2018,1201.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14630191,toplist
11.0,17.28,0.0,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,,Camagüey (CUB),04 FEB 2018,1194.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14571850,toplist
12.0,17.24,1.6,Alexis COPELLO,12 AUG 1985,AZE,4,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1190.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14169626,toplist
13.0,17.23,,Hugues Fabrice ZANGO,25 JUN 1993,BUR,1,,Val-de-Reuil (FRA) (i),27 JAN 2018,1189.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14523962,toplist
14.0,17.22,1.8,Bin DONG,22 NOV 1988,CHN,5,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1188.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14172734,toplist
15.0,17.2,,Chris CARTER,11 MAR 1989,USA,2,,"Albuquerque, NM (USA) (i)",18 FEB 2018,1186.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14328130,toplist
16.0,17.16,1.0,KeAndre BATES,24 MAY 1996,USA,3,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1182.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14487295,toplist
17.0,17.15,-0.7,Aleksandr YURCHENKO,30 JUL 1992,RUS,1,,Zhukovskiy (RUS),12 JUL 2018,1185.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14375954,toplist
18.0,17.11,-0.5,Yaming ZHU,04 MAY 1994,CHN,1,,Guiyang (CHN),17 JUN 2018,1179.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14691893,toplist
19.0,17.09,0.0,Arpinder SINGH,30 DEC 1992,IND,1,,Guwahati (IND),29 JUN 2018,1174.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14375962,toplist
20.0,17.05,1.2,Harold CORREA,26 JUN 1988,FRA,1,,Albi (FRA),07 JUL 2018,1170.0,men_TJ,2018,https://worldathletics.org/athletes/athlete=14184029,toplist
