Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,17.87,+0.7,Andy DÍAZ HERNÁNDEZ,25 DEC 1995,ITA,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",25 JUL 2026,1258,men_TJ,2026
2,17.71,+0.4,Pedro PICHARDO,30 JUN 1993,POR,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1240,men_TJ,2026
3,17.69,+1.7,Jordan SCOTT,29 JUN 1997,JAM,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1238,men_TJ,2026
4,17.67,+0.4,Yasser Mohammed TRIKI,24 MAR 1997,ALG,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1236,men_TJ,2026
5,17.54,+1.6,Russell ROBINSON,27 JUN 2001,USA,1f1,,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",10 JUL 2026,1222,men_TJ,2026
6,17.42,+1.7,Andrea DALLAVALLE,31 OCT 1999,ITA,,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1209,men_TJ,2026
7,17.40,+0.3,Wen SU,10 FEB 1999,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1207,men_TJ,2026
8,17.34,+0.1,Andy HECHAVARRÍA,14 SEP 2000,CUB,1,,"Estadio Panamericano, La Habana (CUB)",13 MAR 2026,1201,men_TJ,2026
9,17.33,+0.5,Lázaro MARTÍNEZ,03 NOV 1997,CUB,4,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1200,men_TJ,2026
10,17.32,+0.5,Simone BIASUTTI,01 OCT 1999,ITA,2,,"Stadio Luigi Ridolfi, Firenze (ITA)",25 JUL 2026,1199,men_TJ,2026
11,17.29,+1.0,Melvin RAFFIN,09 AUG 1998,FRA,1,,"Stade Omnisports Schlossberg, Forbach (FRA)",31 MAY 2026,1196,men_TJ,2026
12,17.25,,Jonathan SEREMES,03 SEP 2000,FRA,1f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 MAR 2026,1191,men_TJ,2026
13,17.24,-1.0,Almir DOS SANTOS,04 SEP 1993,BRA,1,,"Alfonso Galvis Duque Stadium, Medellín (COL)",28 JUN 2026,1196,men_TJ,2026
14,17.22,+1.6,Jaydon HIBBERT,17 JAN 2005,JAM,,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1188,men_TJ,2026
15,17.11,0.0,Yinglong MA,11 MAY 2005,CHN,1,,"Sport Development Center Stadium, Ordos (CHN)",09 JUL 2026,1176,men_TJ,2026
16,17.08,-0.9,Praveen CHITHRAVEL,05 JUN 2001,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",25 MAY 2026,1178,men_TJ,2026
16,17.08,+1.1,Michael-Andre Matthew EDWARDS,18 NOV 2007,JAM,1,,"Hayward Field, Eugene, OR (USA)",07 AUG 2026,1173,men_TJ,2026
18,17.05,,Elton PETRONILHO,27 DEC 2001,BRA,1,,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL) (i)",01 MAR 2026,1170,men_TJ,2026
18,17.05,,Selva Prabhu THIRUMARAN,28 DEC 2004,IND,2f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 MAR 2026,1170,men_TJ,2026
20,17.02,+1.9,Thomas GOGOIS,24 JUN 2000,FRA,1,,"Stadium Municipal, Albi (FRA)",26 JUL 2026,1167,men_TJ,2026
21,17.00,,Ilya TELKUNOV,04 AUG 2003,RUS,1,,"Spartak Stadium, Yuzhno-Sakhalinsk (RUS) (i)",02 MAR 2026,1165,men_TJ,2026
21,17.00,-0.6,Kevin KEMBOI,19 JAN 2006,KEN,1f1,,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2026,1168,men_TJ,2026
23,16.96,+0.2,Brandon GREEN,19 DEC 2003,USA,1f2,,"Hutsell-Rosen Track, Auburn, AL (USA)",16 MAY 2026,1160,men_TJ,2026
24,16.94,+1.8,Antone SMITH,24 OCT 2005,BAH,3f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1158,men_TJ,2026
25,16.90,-0.2,Rongjia ZHOU,12 FEB 2006,CHN,1,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1155,men_TJ,2026
26,16.85,,Chengetayi David MAPAYA,19 DEC 1998,ZIM,1f1,,"Mosier Indoor Facility, Norman, OK (USA) (i)",06 FEB 2026,1149,men_TJ,2026
27,16.83,-0.6,Abdulla Aboobacker NARANGOLINTEVIDA,17 JAN 1996,IND,1,,"Anju Bobby High Performance Centre, Bengaluru (IND)",14 MAR 2026,1149,men_TJ,2026
27,16.83,+1.6,Theophilus MUDZENGERERE,05 MAR 2003,ZIM,1f1,,"Percy Beard Track, Gainesville, FL (USA)",18 APR 2026,1146,men_TJ,2026
29,16.81,,Dmitriy CHIZHIKOV,06 DEC 1993,RUS,2,,"Spartak Stadium, Yuzhno-Sakhalinsk (RUS) (i)",02 MAR 2026,1144,men_TJ,2026
29,16.81,+0.3,Maksim NIASTSIARENKA,01 SEP 1992,BLR,,,"Stadium Luch, Gomel (BLR)",21 JUN 2026,1144,men_TJ,2026
31,16.80,+0.5,Giann C. BAXTER,19 AUG 2007,CUB,1,,"Estadio Panamericano, La Habana (CUB)",05 JUN 2026,1143,men_TJ,2026
31,16.80,+0.6,Karthik UNNIKRISHNAN,03 JUN 1993,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",26 JUN 2026,1143,men_TJ,2026
33,16.79,,Amath FAYE,03 FEB 1996,SEN,1,,"Stadium Miramas Métropole, Miramas (FRA) (i)",30 JAN 2026,1142,men_TJ,2026
33,16.79,+1.0,Miles NESMITH,21 FEB 2008,USA,2,,"Hayward Field, Eugene, OR (USA)",07 AUG 2026,1142,men_TJ,2026
35,16.78,+1.4,James CARTER,24 JUN 2000,USA,2,,"Paseo de los Artistas, Caguas (PUR)",17 MAY 2026,1141,men_TJ,2026
35,16.78,+1.1,Cristian NÁPOLES,27 NOV 1998,CUB,1,,"Stade Pierre de Coubertin, Montgeron (FRA)",19 JUN 2026,1141,men_TJ,2026
37,16.76,+1.2,Salif MANE,12 DEC 2001,USA,1,,"Stade Christian Plaziat, Pierre-Bénite (FRA)",13 JUN 2026,1139,men_TJ,2026
38,16.71,,Andreas PANTAZIS,04 JUN 2000,GRE,1,,"Olympic Sports Complex of Paiania, Athina (GRE) (i)",08 FEB 2026,1134,men_TJ,2026
39,16.68,,Kelsey DANIEL,17 APR 2001,TTO,3f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 MAR 2026,1130,men_TJ,2026
40,16.67,+1.0,Dawoud JOK,11 JUL 2007,SSD,6,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1129,men_TJ,2026
41,16.66,,Necati ER,24 FEB 1997,TUR,1,,"Ataköy Arena, Istanbul (TUR) (i)",01 FEB 2026,1128,men_TJ,2026
41,16.66,,Gor HOVAKIMYAN,03 NOV 2004,ARM,1,,"Atletska dvorana, Beograd (SRB) (i)",21 FEB 2026,1128,men_TJ,2026
41,16.66,+1.5,Federico Lorenzo BRUNO,22 MAR 2003,ITA,4,,"Stadio Luigi Ridolfi, Firenze (ITA)",25 JUL 2026,1128,men_TJ,2026
41,16.66,+2.0,Enzo HODEBAR,17 MAY 1999,FRA,2,,"Stadium Municipal, Albi (FRA)",26 JUL 2026,1128,men_TJ,2026
45,16.65,+0.2,Apalos EDWARDS,18 OCT 2001,JAM,3q4,,"John McDonnell Field, Fayetteville, AR (USA)",29 MAY 2026,1127,men_TJ,2026
46,16.64,-1.7,Manato MIYAO,16 JUL 2004,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1136,men_TJ,2026
47,16.63,+1.8,Sami BAKHEET,06 DEC 2005,KSA,1,,"McArthur Stadium, Potchefstroom (RSA)",17 MAR 2026,1125,men_TJ,2026
47,16.63,+0.1,Jangwoo KIM,20 AUG 1999,KOR,1,,"Jeongseon Sports Complex, Jeongseon (KOR)",13 MAY 2026,1125,men_TJ,2026
49,16.61,,Bozhidar SARÂBOYUKOV,06 AUG 2004,BUL,1,,"Festivalna, Sofia (BUL) (i)",28 FEB 2026,1123,men_TJ,2026
49,16.61,+1.8,Adel CUPIDON,20 DEC 1997,MRI,2,,"University of Ghana Sports Stadium, Accra (GHA)",16 MAY 2026,1123,men_TJ,2026
51,16.60,,Aaron ANTOINE,16 JUL 2004,TTO,5f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 MAR 2026,1122,men_TJ,2026
52,16.59,,Jiajun LUO,28 NOV 2002,CHN,2f1,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",07 MAR 2026,1121,men_TJ,2026
52,16.59,0.0,Albert Kwaku GYABAAH KONTOR,,GHA,1,,"Stade Senghor, Dakar (SEN)",05 JUL 2026,1121,men_TJ,2026
52,16.59,+2.0,Dimitrios TSIAMIS,12 JAN 1982,GRE,1,,"Municipal Sports Center, Alexandria (GRE)",16 JUL 2026,1121,men_TJ,2026
55,16.58,,Vitaliy PAVLOV,12 JAN 1997,RUS,3,,"Spartak Stadium, Yuzhno-Sakhalinsk (RUS) (i)",02 MAR 2026,1120,men_TJ,2026
55,16.58,+0.7,Can ÖZÜPEK,02 FEB 1996,TUR,1,,"Atatürk Stadyumu, Izmir (TUR)",07 JUN 2026,1120,men_TJ,2026
57,16.56,-0.1,Nikolaos ANDRIKOPOULOS,17 APR 1997,GRE,2,,"Municipal Sports Center, Alexandria (GRE)",24 MAY 2026,1118,men_TJ,2026
58,16.54,,Yaming ZHU,04 MAY 1994,CHN,1,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",12 MAR 2026,1116,men_TJ,2026
58,16.54,+1.9,Ethan OLIVIER,07 AUG 2005,NZL,5,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1116,men_TJ,2026
60,16.53,+0.4,J. MOHANRAJ,26 JUN 2001,IND,5,,"Kalinga Stadium, Bhubaneshwar (IND)",26 JUN 2026,1115,men_TJ,2026
60,16.53,+0.3,Felipe IZIDORO,01 OCT 2003,BRA,3,,"Estádio Olímpico do Ibirapuera - Ícaro de Castro Melo, São Paulo (BRA)",26 JUL 2026,1115,men_TJ,2026
62,16.52,+0.5,Oleg BRAYKO,20 SEP 2000,RUS,2,,"Olympic Stadium, Cheboksary (RUS)",19 JUN 2026,1113,men_TJ,2026
63,16.50,+1.5,Mohamed ALY NOUFAL,14 AUG 2005,QAT,1,,"Aspire Academy Warm Up Track, Doha (QAT)",02 JUN 2026,1111,men_TJ,2026
