Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Andy DÍAZ HERNÁNDEZ,25 DEC 1995,17.59,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Jordan SCOTT,29 JUN 1997,17.33,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Jaydon HIBBERT,17 JAN 2005,17.02,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Lázaro MARTÍNEZ,03 NOV 1997,16.83,CUB,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Yasser Mohammed TRIKI,24 MAR 1997,16.71,ALG,Golden Gala Pietro Mennea,04 JUN 2026,2026,5.,dl_meeting
Russell ROBINSON,27 JUN 2001,16.40,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Almir DOS SANTOS,04 SEP 1993,16.22,BRA,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
Endiorass KINGLEY,12 JUN 2002,16.08,AUT,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
Thomas GOGOIS,24 JUN 2000,NM,FRA,Golden Gala Pietro Mennea,04 JUN 2026,2026,,dl_meeting
Jordan SCOTT,29 JUN 1997,17.66,JAM,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Andy DÍAZ HERNÁNDEZ,25 DEC 1995,17.59,ITA,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Yasser Mohammed TRIKI,24 MAR 1997,17.43,ALG,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Lázaro MARTÍNEZ,03 NOV 1997,17.33,CUB,Oslo Bislett Games,10 JUN 2026,2026,4.,dl_meeting
Jaydon HIBBERT,17 JAN 2005,17.17,JAM,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Melvin RAFFIN,09 AUG 1998,16.37,FRA,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Almir DOS SANTOS,04 SEP 1993,15.85,BRA,Oslo Bislett Games,10 JUN 2026,2026,7.,dl_meeting
Yasser Mohammed TRIKI,24 MAR 1997,17.32,ALG,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Jordan SCOTT,29 JUN 1997,16.96,JAM,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Pedro PICHARDO,30 JUN 1993,17.71,POR,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Jordan SCOTT,29 JUN 1997,17.69,JAM,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Yasser Mohammed TRIKI,24 MAR 1997,17.67,ALG,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Andrea DALLAVALLE,31 OCT 1999,17.19,ITA,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
Almir DOS SANTOS,04 SEP 1993,17.01,BRA,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Dawoud JOK,11 JUL 2007,16.67,SSD,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Nikolaos ANDRIKOPOULOS,17 APR 1997,16.02,GRE,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Lázaro MARTÍNEZ,03 NOV 1997,15.42,CUB,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Pedro PICHARDO,30 JUN 1993,17.44,POR,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Yasser Mohammed TRIKI,24 MAR 1997,17.43,ALG,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Andy DÍAZ HERNÁNDEZ,25 DEC 1995,17.20,ITA,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Russell ROBINSON,27 JUN 2001,16.93,USA,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Jordan SCOTT,29 JUN 1997,16.86,JAM,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Lázaro MARTÍNEZ,03 NOV 1997,16.69,CUB,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Andrea DALLAVALLE,31 OCT 1999,16.27,ITA,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Almir DOS SANTOS,04 SEP 1993,16.20,BRA,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Yasser Mohammed TRIKI,24 MAR 1997,17.21,ALG,Athletissima Lausanne,21 AUG 2026,2026,,dl_meeting
