Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat,Venue,Date,Results Score,discipline,year,ProfileURL,source
1,29:54.66,,Tirunesh DIBABA,01 JUN 1985,ETH,1,,"National Stadium, Beijing (CHN)",15 AUG 2008,1252,women_10000m,2008,https://worldathletics.org/athletes/athlete=14259871,toplist
2,30:22.22,,Shalane FLANAGAN,08 JUL 1981,USA,2,,"National Stadium, Beijing (CHN)",15 AUG 2008,1227,women_10000m,2008,https://worldathletics.org/athletes/athlete=14310164,toplist
3,30:26.50,,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,3,,"National Stadium, Beijing (CHN)",15 AUG 2008,1223,women_10000m,2008,https://worldathletics.org/athletes/athlete=14289264,toplist
4,30:35.54,,Kimberley SMITH,19 NOV 1981,NZL,2f1,,"Palo Alto, CA (USA)",04 MAY 2008,1215,women_10000m,2008,https://worldathletics.org/athletes/athlete=14293171,toplist
5,30:35.84,,Mariya KONOVALOVA,14 AUG 1974,RUS,4,,"National Stadium, Beijing (CHN)",15 AUG 2008,1215,women_10000m,2008,https://worldathletics.org/athletes/athlete=14298199,toplist
6,30:38.33,,Mestawat TUFA,14 SEP 1983,ETH,1,,Nijmegen (NED),25 JUN 2008,1212,women_10000m,2008,https://worldathletics.org/athletes/athlete=14259712,toplist
7,30:39.96,,Lucy Kabuu WANGUI,24 MAR 1984,KEN,5,,"National Stadium, Beijing (CHN)",15 AUG 2008,1211,women_10000m,2008,https://worldathletics.org/athletes/athlete=14289505,toplist
8,30:40.27,,Lornah KIPLAGAT,01 MAY 1974,NED,6,,"National Stadium, Beijing (CHN)",15 AUG 2008,1211,women_10000m,2008,https://worldathletics.org/athletes/athlete=14291787,toplist
9,30:46.70,,Inga ABITOVA,06 MAR 1982,RUS,1,,Kazan (RUS),17 JUL 2008,1205,women_10000m,2008,https://worldathletics.org/athletes/athlete=14297186,toplist
10,30:55.16,,Kara GOUCHER,09 JUL 1978,USA,8,,"National Stadium, Beijing (CHN)",15 AUG 2008,1197,women_10000m,2008,https://worldathletics.org/athletes/athlete=14311212,toplist
