Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,12.36,0.6,Kendra HARRISON,18 SEP 1992,USA,1,,"Olympic Stadium, London (GBR)",22 JUL 2018,1238.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14425415,toplist
2.0,12.38,1.3,Brianna ROLLINS-MCNEAL,18 AUG 1991,USA,1,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1235.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14320208,toplist
3.0,12.4,1.2,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,,"Knoxville, TN (USA)",13 MAY 2018,1232.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14494234,toplist
4.0,12.41,0.5,Alina TALAY,14 MAY 1989,BLR,1f1,,St. Pölten (AUT),31 MAY 2018,1231.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14269587,toplist
5.0,12.48,1.3,Danielle WILLIAMS,14 SEP 1992,JAM,2,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1221.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14450995,toplist
6.0,12.51,0.6,Sharika NELVIS,10 MAY 1990,USA,3,,"Olympic Stadium, London (GBR)",22 JUL 2018,1217.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14376876,toplist
7.0,12.56,0.2,Christina MANNING,29 MAY 1990,USA,2h2,,"Olympic Stadium, London (GBR)",22 JUL 2018,1210.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14363368,toplist
8.0,12.63,0.6,Queen HARRISON,10 SEP 1988,USA,6,,"Olympic Stadium, London (GBR)",22 JUL 2018,1200.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14312088,toplist
9.0,12.64,1.4,Elvira HERMAN,09 JAN 1997,BLR,1,,"x-bionic sphere, Šamorín (SVK)",29 JUN 2018,1199.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14579406,toplist
10.0,12.65,0.2,Rushelle BURTON,04 DEC 1997,JAM,1,,"Waco, TX (USA)",13 MAY 2018,1198.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14540080,toplist
11.0,12.67,0.9,Pamela DUTKIEWICZ,28 SEP 1991,GER,2f1,,Luzern (SUI),09 JUL 2018,1195.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14940414,toplist
12.0,12.68,-1.3,Sally PEARSON,19 SEP 1986,AUS,1h1,,Brisbane (AUS),04 FEB 2018,1200.0,women_100h,2018,https://worldathletics.org/athletes/athlete=14271668,toplist
