Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,12.09,0.0,Masai RUSSELL,17 JUN 2000,USA,1,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1276,women_100h,2026,https://worldathletics.org/athletes/athlete=14659011
2,12.23,0.0,Tobi AMUSAN,23 APR 1997,NGR,2,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1256,women_100h,2026,https://worldathletics.org/athletes/athlete=14579526
3,12.34,0.0,Nadine VISSER,09 FEB 1995,NED,3,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1241,women_100h,2026,https://worldathletics.org/athletes/athlete=14451249
4,12.37,+0.5,Devynne CHARLTON,26 NOV 1995,BAH,3,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1237,women_100h,2026,https://worldathletics.org/athletes/athlete=14414505
5,12.38,+0.7,Grace STARK,06 MAY 2001,USA,2,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1235,women_100h,2026,https://worldathletics.org/athletes/athlete=14716925
5,12.38,-0.4,Alaysha JOHNSON,20 JUL 1996,USA,2,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1237,women_100h,2026,https://worldathletics.org/athletes/athlete=14486620
5,12.38,0.0,Alia ARMSTRONG,28 DEC 2000,USA,1,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1235,women_100h,2026,https://worldathletics.org/athletes/athlete=14824306
8,12.40,+0.7,Demisha ROSWELL,19 JUN 1998,JAM,1,,"National Stadium, Kingston (JAM)",21 JUN 2026,1232,women_100h,2026,https://worldathletics.org/athletes/athlete=14631833
9,12.43,-0.2,Rayniah JONES,28 SEP 2001,USA,2,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1229,women_100h,2026,https://worldathletics.org/athletes/athlete=14794344
10,12.44,+2.0,Aaliyah MCCORMICK,17 SEP 2004,USA,1h2,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1227,women_100h,2026,https://worldathletics.org/athletes/athlete=14858877
10,12.44,+1.7,Pia SKRZYSZOWSKA,20 APR 2001,POL,1,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1227,women_100h,2026,https://worldathletics.org/athletes/athlete=14736349
12,12.47,+1.5,Tara DAVIS-WOODHALL,20 MAY 1999,USA,2,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",14 JUN 2026,1223,women_100h,2026,https://worldathletics.org/athletes/athlete=14596561
12,12.47,+0.7,Megan SIMMONDS,18 MAR 1994,JAM,2,,"National Stadium, Kingston (JAM)",21 JUN 2026,1223,women_100h,2026,https://worldathletics.org/athletes/athlete=14413569
14,12.50,+1.5,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,1,,"Southwestern University Track Stadium, Georgetown, TX (USA)",20 JUN 2026,1218,women_100h,2026,https://worldathletics.org/athletes/athlete=14735030
14,12.50,-0.4,Kerrica HILL,06 MAR 2005,JAM,4,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1220,women_100h,2026,https://worldathletics.org/athletes/athlete=14824259
16,12.51,+0.8,Danielle WILLIAMS,14 SEP 1992,JAM,5,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1217,women_100h,2026,https://worldathletics.org/athletes/athlete=14450995
17,12.52,+1.4,Amber HUGHES,23 SEP 1994,USA,1,,"Pista de Atletismo Felix Sanchez, Santo Domingo (DOM)",22 AUG 2026,1216,women_100h,2026,https://worldathletics.org/athletes/athlete=14618390
18,12.53,-1.8,Kendra HARRISON,18 SEP 1992,USA,1,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1224,women_100h,2026,https://worldathletics.org/athletes/athlete=14425415
18,12.53,+1.5,Sacha ALESSANDRINI,07 JUN 1999,FRA,1,,"Stade Pierre de Coubertin, Montgeron (FRA)",19 JUN 2026,1214,women_100h,2026,https://worldathletics.org/athletes/athlete=14576456
20,12.57,+1.5,Vitoria ALVES,11 MAR 1998,BRA,2,,"Stade Pierre de Coubertin, Montgeron (FRA)",19 JUN 2026,1209,women_100h,2026,https://worldathletics.org/athletes/athlete=14583981
21,12.59,+0.8,Marione FOURIE,30 APR 2002,RSA,4,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1206,women_100h,2026,https://worldathletics.org/athletes/athlete=14838617
21,12.59,-0.4,Luca KOZÁK,01 JUN 1996,HUN,6,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1208,women_100h,2026,https://worldathletics.org/athletes/athlete=14397893
23,12.60,+0.4,Annik KÄLIN,27 APR 2000,SUI,1ce3,,"Stadionring, Ratingen (GER)",27 JUN 2026,1204,women_100h,2026,https://worldathletics.org/athletes/athlete=14680605
23,12.60,+1.7,Laeticia BAPTÉ,08 FEB 1999,FRA,2,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1204,women_100h,2026,https://worldathletics.org/athletes/athlete=14639107
