Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Masai RUSSELL,17 JUN 2000,12.25,USA,Wanda Diamond League,16 MAY 2026,2026,1.,dl_meeting
Devynne CHARLTON,26 NOV 1995,12.38,BAH,Wanda Diamond League,16 MAY 2026,2026,2.,dl_meeting
Tobi AMUSAN,23 APR 1997,12.41,NGR,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Megan SIMMONDS,18 MAR 1994,12.73,JAM,Wanda Diamond League,16 MAY 2026,2026,4.,dl_meeting
Ditaji KAMBUNDJI,20 MAY 2002,12.82,SUI,Wanda Diamond League,16 MAY 2026,2026,5.,dl_meeting
Ackera NUGENT,29 APR 2002,12.98,JAM,Wanda Diamond League,16 MAY 2026,2026,6.,dl_meeting
Yanni WU,28 JUL 1997,13.16,CHN,Wanda Diamond League,16 MAY 2026,2026,7.,dl_meeting
Danielle WILLIAMS,14 SEP 1992,DNF,JAM,Wanda Diamond League,16 MAY 2026,2026,,dl_meeting
Tonea MARSHALL,17 OCT 1998,DNF,USA,Wanda Diamond League,16 MAY 2026,2026,,dl_meeting
Masai RUSSELL,17 JUN 2000,12.14,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Tobi AMUSAN,23 APR 1997,12.28,NGR,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Devynne CHARLTON,26 NOV 1995,12.37,BAH,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Megan SIMMONDS,18 MAR 1994,12.52,JAM,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Ditaji KAMBUNDJI,20 MAY 2002,12.62,SUI,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Ackera NUGENT,29 APR 2002,12.64,JAM,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
Danielle WILLIAMS,14 SEP 1992,12.90,JAM,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Yanni WU,28 JUL 1997,13.06,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Tonea MARSHALL,17 OCT 1998,13.13,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Jingyang LIU,12 AUG 1997,13.26,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,10.,dl_meeting
Megan SIMMONDS,18 MAR 1994,12.50,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Kendra HARRISON,18 SEP 1992,12.54,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Nadine VISSER,09 FEB 1995,12.58,NED,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Marione FOURIE,30 APR 2002,12.59,RSA,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Danielle WILLIAMS,14 SEP 1992,12.69,JAM,Golden Gala Pietro Mennea,04 JUN 2026,2026,5.,dl_meeting
Pia SKRZYSZOWSKA,20 APR 2001,12.69,POL,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Tonea MARSHALL,17 OCT 1998,12.76,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
Giada CARMASSI,15 MAY 1994,12.90,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
Tobi AMUSAN,23 APR 1997,12.28,NGR,Meeting de Paris,28 JUN 2026,2026,1.,dl_meeting
Grace STARK,06 MAY 2001,12.38,USA,Meeting de Paris,28 JUN 2026,2026,2.,dl_meeting
Alaysha JOHNSON,20 JUL 1996,12.39,USA,Meeting de Paris,28 JUN 2026,2026,3.,dl_meeting
Nadine VISSER,09 FEB 1995,12.41,NED,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Pia SKRZYSZOWSKA,20 APR 2001,12.46,POL,Meeting de Paris,28 JUN 2026,2026,5.,dl_meeting
Rayniah JONES,28 SEP 2001,12.60,USA,Meeting de Paris,28 JUN 2026,2026,6.,dl_meeting
Demisha ROSWELL,19 JUN 1998,12.78,JAM,Meeting de Paris,28 JUN 2026,2026,7.,dl_meeting
Megan SIMMONDS,18 MAR 1994,12.92,JAM,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Masai RUSSELL,17 JUN 2000,12.24,USA,Prefontaine Classic,04 JUL 2026,2026,1.,dl_meeting
Tobi AMUSAN,23 APR 1997,12.34,NGR,Prefontaine Classic,04 JUL 2026,2026,2.,dl_meeting
Devynne CHARLTON,26 NOV 1995,12.41,BAH,Prefontaine Classic,04 JUL 2026,2026,3.,dl_meeting
Grace STARK,06 MAY 2001,12.41,USA,Prefontaine Classic,04 JUL 2026,2026,3.,dl_meeting
Danielle WILLIAMS,14 SEP 1992,12.51,JAM,Prefontaine Classic,04 JUL 2026,2026,5.,dl_meeting
Ackera NUGENT,29 APR 2002,12.63,JAM,Prefontaine Classic,04 JUL 2026,2026,6.,dl_meeting
Tonea MARSHALL,17 OCT 1998,12.65,USA,Prefontaine Classic,04 JUL 2026,2026,7.,dl_meeting
Kendra HARRISON,18 SEP 1992,12.66,USA,Prefontaine Classic,04 JUL 2026,2026,8.,dl_meeting
Alaysha JOHNSON,20 JUL 1996,12.86,USA,Prefontaine Classic,04 JUL 2026,2026,9.,dl_meeting
Masai RUSSELL,17 JUN 2000,12.20,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,1.,dl_meeting
Alaysha JOHNSON,20 JUL 1996,12.38,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,2.,dl_meeting
Nadine VISSER,09 FEB 1995,12.49,NED,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,3.,dl_meeting
Pia SKRZYSZOWSKA,20 APR 2001,12.54,POL,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,4.,dl_meeting
Rayniah JONES,28 SEP 2001,12.54,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,5.,dl_meeting
Demisha ROSWELL,19 JUN 1998,12.56,JAM,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,6.,dl_meeting
Sacha ALESSANDRINI,07 JUN 1999,12.78,FRA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,7.,dl_meeting
Aaliyah MCCORMICK,17 SEP 2004,13.13,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,8.,dl_meeting
Masai RUSSELL,17 JUN 2000,12.27,USA,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Nadine VISSER,09 FEB 1995,12.42,NED,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Alaysha JOHNSON,20 JUL 1996,12.49,USA,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Rayniah JONES,28 SEP 2001,12.57,USA,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Pia SKRZYSZOWSKA,20 APR 2001,12.61,POL,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Ditaji KAMBUNDJI,20 MAY 2002,12.71,SUI,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Demisha ROSWELL,19 JUN 1998,13.03,JAM,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Masai RUSSELL,17 JUN 2000,12.09,USA,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Tobi AMUSAN,23 APR 1997,12.23,NGR,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
Nadine VISSER,09 FEB 1995,12.34,NED,Weltklasse Zürich,27 AUG 2026,2026,3.,dl_meeting
Danielle WILLIAMS,14 SEP 1992,12.56,JAM,Weltklasse Zürich,27 AUG 2026,2026,4.,dl_meeting
Ackera NUGENT,29 APR 2002,12.69,JAM,Weltklasse Zürich,27 AUG 2026,2026,5.,dl_meeting
Pia SKRZYSZOWSKA,20 APR 2001,12.70,POL,Weltklasse Zürich,27 AUG 2026,2026,6.,dl_meeting
Ditaji KAMBUNDJI,20 MAY 2002,12.82,SUI,Weltklasse Zürich,27 AUG 2026,2026,7.,dl_meeting
Annik KÄLIN,27 APR 2000,12.87,SUI,Weltklasse Zürich,27 AUG 2026,2026,8.,dl_meeting
Alaysha JOHNSON,20 JUL 1996,DQ,USA,Weltklasse Zürich,27 AUG 2026,2026,,dl_meeting
