Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,10.63,+1.9,Adaejah HODGE,21 MAR 2006,IVB,1sf1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1282,women_100m,2026,https://worldathletics.org/athletes/athlete=14845422
2,10.70,-0.7,Julien ALFRED,10 JUN 2001,LCA,1,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1270,women_100m,2026,https://worldathletics.org/athletes/athlete=14646562
2,10.70,-0.7,Melissa JEFFERSON-WOODEN,21 FEB 2001,USA,2,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1270,women_100m,2026,https://worldathletics.org/athletes/athlete=14756997
4,10.77,+0.3,Sha'Carri RICHARDSON,25 MAR 2000,USA,1f1,,"Horizon HS, Winter Garden, FL (USA)",20 JUN 2026,1251,women_100m,2026,https://worldathletics.org/athletes/athlete=14717691
5,10.80,+1.7,Shenese WALKER,23 JAN 2003,JAM,2f1,,"Percy Beard Track, Gainesville, FL (USA)",18 APR 2026,1244,women_100m,2026,https://worldathletics.org/athletes/athlete=14777658
6,10.81,-0.3,Shericka JACKSON,16 JUL 1994,JAM,1,,"National Stadium, Kingston (JAM)",19 JUN 2026,1243,women_100m,2026,https://worldathletics.org/athletes/athlete=14325599
7,10.83,+1.5,Brianna SELBY,03 JAN 2006,USA,1h3,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1237,women_100m,2026,https://worldathletics.org/athletes/athlete=14913814
8,10.85,+0.3,Tina CLAYTON,17 AUG 2004,JAM,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1233,women_100m,2026,https://worldathletics.org/athletes/athlete=14776879
9,10.86,+1.7,Sade MCCREATH,25 JUN 1996,CAN,1h2,,"Foote Field, Edmonton (CAN)",12 JUL 2026,1231,women_100m,2026,https://worldathletics.org/athletes/athlete=14464951
10,10.88,+1.3,Jassani CARTER,04 NOV 2003,USA,1h3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1226,women_100m,2026,https://worldathletics.org/athletes/athlete=14808086
10,10.88,+1.9,Shawnti JACKSON,02 MAY 2005,USA,2sf1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1226,women_100m,2026,https://worldathletics.org/athletes/athlete=14761302
12,10.89,0.0,Jonielle SMITH,30 JAN 1996,JAM,4,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1224,women_100m,2026,https://worldathletics.org/athletes/athlete=14413641
13,10.90,+0.9,Kayla WHITE,14 SEP 1996,USA,2,,"Icahn Stadium, New York, NY (USA)",24 JUL 2026,1222,women_100m,2026,https://worldathletics.org/athletes/athlete=14642681
13,10.90,+0.7,Lavanya WILLIAMS,08 DEC 2005,JAM,1,,"Pista de Atletismo Felix Sanchez, Santo Domingo (DOM)",22 AUG 2026,1222,women_100m,2026,https://worldathletics.org/athletes/athlete=14973703
15,10.91,+0.3,Tia CLAYTON,17 AUG 2004,JAM,1f7,,"National Stadium, Kingston (JAM)",09 MAY 2026,1220,women_100m,2026,https://worldathletics.org/athletes/athlete=14787678
15,10.91,+0.9,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1220,women_100m,2026,https://worldathletics.org/athletes/athlete=14285956
17,10.92,-0.5,Cambrea STURGIS,27 MAR 1999,USA,1,,"Pilditch Stadium, Pretoria (RSA)",28 APR 2026,1220,women_100m,2026,https://worldathletics.org/athletes/athlete=14674111
17,10.92,+1.6,Sabrina DOCKERY,17 SEP 2006,JAM,1,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1217,women_100m,2026,https://worldathletics.org/athletes/athlete=14929107
19,10.93,+1.3,Kaila JACKSON,30 JUN 2004,USA,2h3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1215,women_100m,2026,https://worldathletics.org/athletes/athlete=14906985
19,10.93,+1.0,Zoe HOBBS,11 SEP 1997,NZL,1f1,,"Scotstoun Stadium, Glasgow (GBR)",28 JUL 2026,1215,women_100m,2026,https://worldathletics.org/athletes/athlete=14499691
21,10.94,+1.5,Brianna LYSTON,24 MAY 2004,JAM,1h1,,"National Training Center, Clermont, FL (USA)",25 APR 2026,1213,women_100m,2026,https://worldathletics.org/athletes/athlete=14776881
22,10.95,+1.1,Rosemary CHUKWUMA,05 DEC 2001,NGR,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",25 APR 2026,1211,women_100m,2026,https://worldathletics.org/athletes/athlete=14800571
22,10.95,-0.4,Gabrielle THOMAS,07 DEC 1996,USA,1f1,,"National Stadium, Gaborone (BOT)",26 APR 2026,1213,women_100m,2026,https://worldathletics.org/athletes/athlete=14733520
24,10.96,+0.5,Géraldine DI TIZIO-FREY,19 JUN 1997,SUI,1,,"Letzigrund, Zürich (SUI)",25 JUL 2026,1209,women_100m,2026,https://worldathletics.org/athletes/athlete=14510629
25,10.97,+0.4,Jenna PRANDINI,20 NOV 1992,USA,1f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",02 MAY 2026,1206,women_100m,2026,https://worldathletics.org/athletes/athlete=14329068
25,10.97,+0.5,Gabrielle MATTHEWS,14 OCT 2002,JAM,1f1,,"Hutsell-Rosen Track, Auburn, AL (USA)",16 MAY 2026,1206,women_100m,2026,https://worldathletics.org/athletes/athlete=14693873
25,10.97,+1.6,Audrey LEDUC,09 MAR 1999,CAN,2,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1206,women_100m,2026,https://worldathletics.org/athletes/athlete=14579721
25,10.97,+1.6,Jodean WILLIAMS,11 NOV 1993,JAM,3,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1206,women_100m,2026,https://worldathletics.org/athletes/athlete=14435095
25,10.97,+0.8,Amy HUNT,15 MAY 2002,GBR,2,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1206,women_100m,2026,https://worldathletics.org/athletes/athlete=14685108
25,10.97,+0.7,Ashanti MOORE,07 NOV 2000,JAM,2,,"Pista de Atletismo Felix Sanchez, Santo Domingo (DOM)",22 AUG 2026,1206,women_100m,2026,https://worldathletics.org/athletes/athlete=14630579
31,10.98,+0.7,Shanoya Mikalia DOUGLAS,11 SEP 2007,JAM,1,,"National Stadium, Kingston (JAM)",25 MAR 2026,1204,women_100m,2026,https://worldathletics.org/athletes/jamaica/shanoya-mikalia-douglas-15063835
31,10.98,+0.6,Blessing OGUNDIRAN,11 NOV 1999,NGR,1f1,,"University of South Florida Track & Field Stadium, Tampa, FL (USA)",11 APR 2026,1204,women_100m,2026,https://worldathletics.org/athletes/athlete=14714092
31,10.98,+1.5,Dajaz DEFRAND,16 OCT 2003,USA,2h3,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1204,women_100m,2026,https://worldathletics.org/athletes/athlete=14761327
31,10.98,+0.3,Alicia BURNETT,2002,USA,2h2,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1204,women_100m,2026,https://worldathletics.org/athletes/athlete=14716762
31,10.98,+0.9,Ewa SWOBODA,26 JUL 1997,POL,3,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1204,women_100m,2026,https://worldathletics.org/athletes/athlete=14451085
36,10.99,+1.6,Tamari DAVIS,15 FEB 2003,USA,4,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1202,women_100m,2026,https://worldathletics.org/athletes/athlete=14716794
36,10.99,+1.9,Anavia BATTLE,28 MAR 1999,USA,1sf2,,"Icahn Stadium, New York, NY (USA)",24 JUL 2026,1202,women_100m,2026,https://worldathletics.org/athletes/athlete=14715397
36,10.99,+1.0,Torrie LEWIS,08 JAN 2005,AUS,3f1,,"Scotstoun Stadium, Glasgow (GBR)",28 JUL 2026,1202,women_100m,2026,https://worldathletics.org/athletes/athlete=14778459
39,11.01,+1.2,Victoria CAMERON,29 APR 2005,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",04 APR 2026,1198,women_100m,2026,https://worldathletics.org/athletes/united-states/victoria-cameron-15093951
39,11.01,+0.1,Jaslyn GARDNER,01 JUN 2000,USA,1pr1,,"Clarence F. Robison Track, Provo, UT (USA)",29 APR 2026,1198,women_100m,2026,https://worldathletics.org/athletes/athlete=14596387
39,11.01,+0.9,Karolína MAŇASOVÁ,26 NOV 2003,CZE,1f1,,"Sportzentrum Niederösterreich, St. Pölten (AUT)",04 JUN 2026,1198,women_100m,2026,https://worldathletics.org/athletes/athlete=14857218
39,11.01,+1.9,Dana WILSON,22 SEP 2006,USA,4sf1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1198,women_100m,2026,https://worldathletics.org/athletes/united-states/dana-wilson-14970212
43,11.02,+1.9,JaMeesia FORD,26 JAN 2005,USA,5sf1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1195,women_100m,2026,https://worldathletics.org/athletes/athlete=14761304
43,11.02,+1.8,Tatjana PINTO,02 JUL 1992,POR,1,,"Estadio Universitario, Lisboa (POR)",25 JUL 2026,1195,women_100m,2026,https://worldathletics.org/athletes/athlete=14279214
43,11.02,+1.0,Imani LANSIQUOT,17 DEC 1997,GBR,4f1,,"Scotstoun Stadium, Glasgow (GBR)",28 JUL 2026,1195,women_100m,2026,https://worldathletics.org/athletes/athlete=14506362
46,11.04,+1.7,Alexis BROWN,16 JUL 2004,USA,3f1,,"Percy Beard Track, Gainesville, FL (USA)",18 APR 2026,1191,women_100m,2026,https://worldathletics.org/athletes/united-states/alexis-brown-15056206
46,11.04,+0.3,Cynteria JAMES,07 SEP 2005,USA,1f2,,"Percy Beard Track, Gainesville, FL (USA)",18 APR 2026,1191,women_100m,2026,https://worldathletics.org/athletes/athlete=14806745
46,11.04,+0.8,Camryn DICKSON,19 JUN 2004,USA,1f4,,"Cushing Stadium, College Station, TX (USA)",02 MAY 2026,1191,women_100m,2026,https://worldathletics.org/athletes/athlete=14808020
46,11.04,-0.1,Jacious SEARS,14 AUG 2001,USA,1h1,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1191,women_100m,2026,https://worldathletics.org/athletes/athlete=14757192
46,11.04,+0.9,Rebekka HAASE,02 JAN 1993,GER,2f1,,"Sportzentrum Niederösterreich, St. Pölten (AUT)",04 JUN 2026,1191,women_100m,2026,https://worldathletics.org/athletes/athlete=14360165
46,11.04,+0.3,Nayla HARRIS,,USA,3sf1,,"Icahn Stadium, New York, NY (USA)",24 JUL 2026,1191,women_100m,2026,https://worldathletics.org/athletes/united-states/nayla-harris-14982420
52,11.05,-2.1,Liranyi ALONSO,28 DEC 2005,DOM,1f2,,"Estadio Luguelín Santos, Bayaguana (DOM)",28 MAR 2026,1201,women_100m,2026,https://worldathletics.org/athletes/dominican-republic/liranyi-alonso-15040816
52,11.05,+0.8,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,3,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1189,women_100m,2026,https://worldathletics.org/athletes/athlete=14621598
52,11.05,+0.3,Shaunae MILLER-UIBO,15 APR 1994,BAH,2f1,,"Horizon HS, Winter Garden, FL (USA)",20 JUN 2026,1189,women_100m,2026,https://worldathletics.org/athletes/athlete=14368116
55,11.06,+1.9,Paje RASMUSSEN,,USA,1h4,,"Mike A. Myers Stadium, Austin, TX (USA)",03 APR 2026,1187,women_100m,2026,https://worldathletics.org/athletes/athlete=14937264
55,11.06,+1.2,Carleta BERNARD,08 NOV 2004,JAM,2,,"Mike A. Myers Stadium, Austin, TX (USA)",04 APR 2026,1187,women_100m,2026,https://worldathletics.org/athletes/athlete=14836149
55,11.06,+0.3,Lauren JARRETT,01 SEP 2004,USA,2f2,,"Percy Beard Track, Gainesville, FL (USA)",18 APR 2026,1187,women_100m,2026,https://worldathletics.org/athletes/united-states/lauren-jarrett-15037335
55,11.06,+1.5,Tiriah KELLEY,16 JUN 2004,USA,3h3,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1187,women_100m,2026,https://worldathletics.org/athletes/athlete=14873744
55,11.06,+1.5,Herverge KOLE ETAME,22 JUN 2002,CMR,1,,"Stade Pierre de Coubertin, Montgeron (FRA)",19 JUN 2026,1187,women_100m,2026,https://worldathletics.org/athletes/cameroon/herverge-kole-etame-14974735
55,11.06,+1.8,Christania WILLIAMS,17 OCT 1994,AUT,3,,"Štadión SNP, Banská Bystrica (SVK)",21 JUL 2026,1187,women_100m,2026,https://worldathletics.org/athletes/athlete=14413656
55,11.06,+1.0,Delphine NKANSA,21 SEP 2001,BEL,3,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1187,women_100m,2026,https://worldathletics.org/athletes/athlete=14779993
62,11.07,+2.0,Zaynab DOSSO,12 SEP 1999,ITA,1,,"Centro Sportivo Fontanassa, Savona (ITA)",20 MAY 2026,1185,women_100m,2026,https://worldathletics.org/athletes/athlete=14622202
62,11.07,+1.3,Taniya LOONEY,,USA,1pr4,,"John McDonnell Field, Fayetteville, AR (USA)",28 MAY 2026,1185,women_100m,2026,https://worldathletics.org/athletes/united-states/taniya-looney-15001567
62,11.07,+1.5,Alyssa COLBERT,28 FEB 2003,USA,4h3,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1185,women_100m,2026,https://worldathletics.org/athletes/athlete=14851780
62,11.07,0.0,Favour OFILI,31 DEC 2002,NGR,8,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1185,women_100m,2026,https://worldathletics.org/athletes/athlete=14756075
62,11.07,+0.7,Jasmine MONTGOMERY,2002,USA,4,,"Pista de Atletismo Felix Sanchez, Santo Domingo (DOM)",22 AUG 2026,1185,women_100m,2026,https://worldathletics.org/athletes/athlete=14781666
67,11.08,+0.8,Shaniqua BASCOMBE,08 NOV 2003,TTO,3h1,,"National Stadium, Kingston (JAM)",19 APR 2026,1182,women_100m,2026,https://worldathletics.org/athletes/athlete=14692654
67,11.08,+0.8,Kemba NELSON,23 FEB 2000,JAM,2f1,,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",25 APR 2026,1182,women_100m,2026,https://worldathletics.org/athletes/athlete=14576790
67,11.08,+0.7,Ana AZEVEDO,19 MAY 1998,BRA,1,,"Estadio Atlético de la VIDENA, Lima (PER)",29 MAY 2026,1182,women_100m,2026,https://worldathletics.org/athletes/athlete=14579558
