Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,3:55.56,,Birke HAYLOM,06 JAN 2006,ETH,1,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1241,women_1500m,2026
2,3:55.63,,Georgia HUNTER BELL,17 OCT 1993,GBR,1,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1241,women_1500m,2026
3,3:55.71,,Tsige DUGUMA,23 FEB 2001,ETH,2,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1240,women_1500m,2026
4,3:55.92,,Freweyni HAILU,12 FEB 2001,ETH,2,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1239,women_1500m,2026
5,3:56.12,,Abbey CALDWELL,03 JUL 2001,AUS,3,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1237,women_1500m,2026
6,3:56.24,,Agathe GUILLEMOT,11 JUL 1999,FRA,3,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1236,women_1500m,2026
7,3:57.22,,Jessica HULL,22 OCT 1996,AUS,4,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1228,women_1500m,2026
8,3:57.56,,Worknesh MESELE,11 JUN 2001,ETH,4,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1225,women_1500m,2026
9,3:57.61,,Nelly JEPKOSGEI,14 JUL 1991,BRN,6,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1225,women_1500m,2026
10,3:57.74,,Dorcus EWOI,02 OCT 1996,KEN,5,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1224,women_1500m,2026
11,3:58.09,,Claudia HOLLINGSWORTH,12 APR 2005,AUS,1f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",05 MAR 2026,1221,women_1500m,2026
12,3:58.13,,Emily MACKAY,30 APR 1998,USA,3,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1221,women_1500m,2026
13,3:58.74,,Patricia SILVA,09 DEC 1999,POR,7,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1216,women_1500m,2026
14,3:58.81,,Sarah BILLINGS,07 MAR 1998,AUS,8,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1215,women_1500m,2026
15,3:58.96,,Linden HALL,20 JUN 1991,AUS,10,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1214,women_1500m,2026
16,3:59.24,,Klaudia KAZIMIERSKA,03 SEP 2001,POL,2,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1212,women_1500m,2026
17,3:59.26,,Nikki HILTZ,23 OCT 1994,USA,3,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1211,women_1500m,2026
18,3:59.28,,Haregeweyni KALAYU,29 MAY 2009,ETH,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1211,women_1500m,2026
19,3:59.33,,Elle ST. PIERRE,20 FEB 1995,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2026,1233,women_1500m,2026
20,3:59.74,,Gabija GALVYDYTĖ,17 JAN 2000,LTU,11,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1208,women_1500m,2026
21,4:00.29,,Gracie MORRIS,17 DEC 2001,USA,12,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1203,women_1500m,2026
22,4:00.32,,Saron BERHE,22 AUG 2007,ETH,6,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1203,women_1500m,2026
23,4:00.62,,Soukaina HAJJI,04 FEB 1997,MAR,9,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1201,women_1500m,2026
24,4:00.77,,Laura MUIR,09 MAY 1993,GBR,5,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1199,women_1500m,2026
25,4:00.78,,Revee WALCOTT-NOLAN,06 MAR 1995,GBR,9,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1199,women_1500m,2026
26,4:00.83,,Lucia STAFFORD,17 AUG 1998,CAN,6,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1199,women_1500m,2026
27,4:00.91,,Katie SNOWDEN,09 MAR 1994,GBR,10,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1198,women_1500m,2026
28,4:01.21,,Adèle GAY,16 OCT 2004,FRA,1,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1196,women_1500m,2026
29,4:01.30,,Sinclaire JOHNSON,13 APR 1998,USA,2,,"The Track at New Balance, Boston, MA (USA) (i)",24 JAN 2026,1217,women_1500m,2026
30,4:01.32,,Elsabet AMARE,23 FEB 2009,ETH,1,,"Stade Jean Delbert, Montreuil (FRA)",17 JUN 2026,1195,women_1500m,2026
31,4:01.41,,Joceline WIND,12 SEP 2000,SUI,10,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1194,women_1500m,2026
32,4:01.50,,Sarah HEALY,13 FEB 2001,IRL,11,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1193,women_1500m,2026
33,4:01.56,,Likina AMEBAW,30 NOV 1997,ETH,7,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1193,women_1500m,2026
