Unnamed: 0,Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
0,1,21.34,1.3,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1308,1988,women_200m
1,2,21.45,0.6,Shericka JACKSON,16 JUL 1994,JAM,1,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1296,2022,women_200m
2,3,21.53,0.8,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"National Stadium, Tokyo (JPN)",03 AUG 2021,1288,2021,women_200m
3,4,21.55,0.0,Shericka JACKSON,16 JUL 1994,JAM,1,"National Stadium, Kingston (JAM)",26 JUN 2022,1286,2022,women_200m
4,5,21.56,1.7,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1sf1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1284,1988,women_200m
5,6,21.61,1.3,Gabrielle THOMAS,07 DEC 1996,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1279,2021,women_200m
6,7,21.62,-0.6,Marion JONES,12 OCT 1975,USA,1,"SGJ, Johannesburg (RSA)",11 SEP 1998,1281,1998,women_200m
7,8,21.63,0.2,Dafne SCHIPPERS,15 JUN 1992,NED,1,"National Stadium, Beijing (CHN)",28 AUG 2015,1277,2015,women_200m
8,9,21.64,0.8,Merlene OTTEY,10 MAY 1960,JAM,1,Bruxelles (BEL),13 SEP 1991,1276,1991,women_200m
9,10,21.66,-1.0,Merlene OTTEY,10 MAY 1960,JAM,1f1,Zürich (SUI),15 AUG 1990,1280,1990,women_200m
10,10,21.66,0.2,Elaine THOMPSON,28 JUN 1992,JAM,2,"National Stadium, Beijing (CHN)",28 AUG 2015,1274,2015,women_200m
11,10,21.66,0.3,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1sf2,"National Stadium, Tokyo (JPN)",02 AUG 2021,1274,2021,women_200m
12,13,21.67,2.0,Shericka JACKSON,16 JUL 1994,JAM,1sf1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1273,2022,women_200m
13,14,21.69,1.0,Allyson FELIX,18 NOV 1985,USA,1,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1271,2012,women_200m
14,15,21.71,0.7,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),10 JUN 1979,1268,1979,women_200m
15,15,21.71,0.3,Marita KOCH,18 FEB 1957,GDR,1,Potsdam (GDR),21 JUL 1984,1268,1984,women_200m
16,15,21.71,1.2,Heike DRECHSLER,16 DEC 1964,GDR,1,Jena (GDR),29 JUN 1986,1268,1986,women_200m
17,15,21.71,-0.8,Heike DRECHSLER,16 DEC 1964,GDR,1,"Neckarstadion, Stuttgart (GER)",29 AUG 1986,1272,1986,women_200m
18,19,21.72,1.3,Grace JACKSON,14 JUN 1961,JAM,2,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1267,1988,women_200m
19,19,21.72,-0.1,Gwen TORRENCE,12 JUN 1965,USA,1sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1267,1992,women_200m
20,21,21.74,0.4,Marlies GÖHR,21 MAR 1958,GDR,1,Erfurt (GER),03 JUN 1984,1265,1984,women_200m
21,21,21.74,1.2,Silke MÖLLER,20 JUN 1964,GDR,1,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1265,1987,women_200m
22,21,21.74,0.6,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,"National Stadium, Beijing (CHN)",21 AUG 2008,1265,2008,women_200m
23,21,21.74,-0.4,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"Letzigrund, Zürich (SUI)",29 AUG 2019,1267,2019,women_200m
24,25,21.75,-0.1,Juliet CUTHBERT,09 APR 1964,JAM,2sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1264,1992,women_200m
25,26,21.76,0.3,Marita KOCH,18 FEB 1957,GDR,1,Dresden (GER),03 JUL 1982,1263,1982,women_200m
26,26,21.76,0.7,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf1,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1263,1988,women_200m
27,26,21.76,-0.8,Marion JONES,12 OCT 1975,USA,1,Zürich (SUI),13 AUG 1997,1267,1997,women_200m
28,29,21.77,-0.1,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf2,"Indianapolis, IN (USA)",22 JUL 1988,1262,1988,women_200m
29,29,21.77,1.0,Merlene OTTEY,10 MAY 1960,JAM,1,"Stade Louis II, Monaco (MON)",07 AUG 1993,1262,1993,women_200m
30,29,21.77,-0.3,Gwen TORRENCE,12 JUN 1965,USA,1,Köln (GER),18 AUG 1995,1263,1995,women_200m
31,29,21.77,0.6,Inger MILLER,12 JUN 1972,USA,1,"La Cartuja, Sevilla (ESP)",27 AUG 1999,1262,1999,women_200m
32,29,21.77,1.5,Tori BOWIE,27 AUG 1990,USA,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1262,2017,women_200m
33,29,21.77,-0.3,Abby STEINER,24 NOV 1999,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1263,2022,women_200m
34,35,21.78,-1.3,Marita KOCH,18 FEB 1957,GDR,1,Leipzig (GER),11 AUG 1985,1268,1985,women_200m
35,35,21.78,-0.1,Elaine THOMPSON,28 JUN 1992,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1261,2016,women_200m
36,35,21.78,0.6,Christine MBOMA,22 MAY 2003,NAM,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1261,2021,women_200m
37,38,21.79,1.7,Silke MÖLLER,20 JUN 1964,GDR,1,Potsdam (GDR),22 AUG 1987,1260,1987,women_200m
38,38,21.79,0.8,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"National Stadium, Kingston (JAM)",27 JUN 2021,1260,2021,women_200m
39,40,21.8,-1.1,Merlene OTTEY,10 MAY 1960,JAM,1,Nice (FRA),10 JUL 1990,1265,1990,women_200m
40,40,21.8,0.4,Marion JONES,12 OCT 1975,USA,1,"New York, NY (USA)",20 JUL 1998,1259,1998,women_200m
41,40,21.8,1.3,Abby STEINER,24 NOV 1999,USA,1,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1259,2022,women_200m
42,40,21.8,0.9,Abby STEINER,24 NOV 1999,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1259,2022,women_200m
43,40,21.8,-0.9,Shericka JACKSON,16 JUL 1994,JAM,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1264,2022,women_200m
44,45,21.81,-0.1,Valerie BRISCO-HOOKS,06 JUL 1960,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",09 AUG 1984,1258,1984,women_200m
45,45,21.81,0.4,Merlene OTTEY,10 MAY 1960,JAM,1,Köln (GER),19 AUG 1990,1258,1990,women_200m
46,45,21.81,-0.6,Gwen TORRENCE,12 JUN 1965,USA,1,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1261,1992,women_200m
47,45,21.81,0.0,Gwen TORRENCE,12 JUN 1965,USA,1,"Stade Louis II, Monaco (MON)",25 JUL 1995,1258,1995,women_200m
48,45,21.81,1.6,Marion JONES,12 OCT 1975,USA,1,"Eugene, OR (USA)",30 MAY 1999,1258,1999,women_200m
49,45,21.81,1.7,Allyson FELIX,18 NOV 1985,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1258,2007,women_200m
50,45,21.81,0.8,Christine MBOMA,22 MAY 2003,NAM,2,"National Stadium, Tokyo (JPN)",03 AUG 2021,1258,2021,women_200m
51,45,21.81,0.6,Shericka JACKSON,16 JUL 1994,JAM,2,"Letzigrund, Zürich (SUI)",09 SEP 2021,1258,2021,women_200m
52,45,21.81,0.6,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1258,2022,women_200m
53,54,21.82,1.3,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),18 JUN 1983,1257,1983,women_200m
54,54,21.82,0.8,Shericka JACKSON,16 JUL 1994,JAM,2,"National Stadium, Kingston (JAM)",27 JUN 2021,1257,2021,women_200m
55,54,21.82,-0.1,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1sf3,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1257,2022,women_200m
56,57,21.83,-0.2,Evelyn ASHFORD,15 APR 1957,USA,1,"Olympic Stadium, Montréal (CAN)",24 AUG 1979,1257,1979,women_200m
57,57,21.83,0.5,Merlene OTTEY,10 MAY 1960,JAM,1,Köln (GER),08 SEP 1991,1256,1991,women_200m
58,59,21.84,-1.1,Evelyn ASHFORD,15 APR 1957,USA,1,Bruxelles (BEL),28 AUG 1981,1261,1981,women_200m
59,59,21.84,1.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Rostock (GER),26 JUN 1988,1255,1988,women_200m
60,59,21.84,-1.1,Marion JONES,12 OCT 1975,USA,1,Roodeport (RSA),19 MAR 1999,1261,1999,women_200m
61,59,21.84,1.1,Christine MBOMA,22 MAY 2003,NAM,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1255,2021,women_200m
62,59,21.84,0.4,Christine MBOMA,22 MAY 2003,NAM,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1255,2021,women_200m
63,59,21.84,0.2,Shericka JACKSON,16 JUL 1994,JAM,1,"Stadion Śląski, Chorzów (POL)",06 AUG 2022,1255,2022,women_200m
64,65,21.85,0.3,Bärbel WÖCKEL,21 MAR 1955,GDR,2,Potsdam (GDR),21 JUL 1984,1254,1984,women_200m
65,65,21.85,1.3,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1,"Indianapolis, IN (USA)",23 JUL 1988,1254,1988,women_200m
66,65,21.85,-0.8,Gwen TORRENCE,12 JUN 1965,USA,1,"Durham, NC (USA)",12 AUG 1994,1258,1994,women_200m
67,65,21.85,0.2,Elaine THOMPSON,28 JUN 1992,JAM,1,"Letzigrund, Zürich (SUI)",01 SEP 2016,1254,2016,women_200m
68,69,21.86,1.0,Gwen TORRENCE,12 JUN 1965,USA,1,Bruxelles (BEL),25 AUG 1995,1252,1995,women_200m
69,69,21.86,0.2,Dafne SCHIPPERS,15 JUN 1992,NED,2,"Letzigrund, Zürich (SUI)",01 SEP 2016,1252,2016,women_200m
70,71,21.87,0.0,Marita KOCH,18 FEB 1957,GDR,1,Zürich (SUI),22 AUG 1984,1251,1984,women_200m
71,71,21.87,0.0,Irina PRIVALOVA,22 NOV 1968,RUS,2,"Stade Louis II, Monaco (MON)",25 JUL 1995,1251,1995,women_200m
72,71,21.87,0.8,Gabrielle THOMAS,07 DEC 1996,USA,3,"National Stadium, Tokyo (JPN)",03 AUG 2021,1251,2021,women_200m
73,71,21.87,0.6,Christine MBOMA,22 MAY 2003,NAM,1,"National Stadium, Gaborone (BOT)",30 APR 2022,1251,2022,women_200m
74,75,21.88,0.9,Evelyn ASHFORD,15 APR 1957,USA,1,"Indianapolis, IN (USA)",19 JUN 1983,1250,1983,women_200m
75,75,21.88,1.6,Merlene OTTEY,10 MAY 1960,JAM,1,Sestriere (ITA),08 AUG 1990,1250,1990,women_200m
76,75,21.88,1.0,Merlene OTTEY,10 MAY 1960,JAM,1,Athina (GRE),07 SEP 1990,1250,1990,women_200m
77,75,21.88,2.0,Irina PRIVALOVA,22 NOV 1968,RUS,1,Rieti (ITA),05 SEP 1993,1250,1993,women_200m
78,75,21.88,1.3,Allyson FELIX,18 NOV 1985,USA,1,Stockholm (SWE),31 JUL 2009,1250,2009,women_200m
79,75,21.88,-0.2,Allyson FELIX,18 NOV 1985,USA,1,"Olympic Stadium, London (GBR)",08 AUG 2012,1251,2012,women_200m
80,75,21.88,-0.1,Dafne SCHIPPERS,15 JUN 1992,NED,2,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1250,2016,women_200m
81,75,21.88,0.1,Shaunae MILLER,15 APR 1994,BAH,1,"Letzigrund, Zürich (SUI)",24 AUG 2017,1250,2017,women_200m
82,75,21.88,0.9,Dina ASHER-SMITH,04 DEC 1995,GBR,1,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1250,2019,women_200m
83,84,21.89,0.2,Dina ASHER-SMITH,04 DEC 1995,GBR,1,"Olympiastadion, Berlin (GER)",11 AUG 2018,1249,2018,women_200m
