Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,8:44.32,,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1285.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14383286,toplist
2.0,8:59.62,,Norah JERUTO,02 OCT 1995,KEN,2,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1245.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14479154,toplist
3.0,9:00.85,,Courtney FRERICHS,18 JAN 1993,USA,2,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1242.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14507523,toplist
4.0,9:01.60,,Hyvin KIYENG,13 JAN 1992,KEN,3,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1240.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14472841,toplist
5.0,9:01.82,,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,2,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1240.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14714407,toplist
6.0,9:05.06,,Emma COBURN,19 OCT 1990,USA,4,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1231.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14307810,toplist
7.0,9:07.94,,Peruth CHEMUTAI,10 JUL 1999,UGA,6,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1224.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14707661,toplist
8.0,9:08.23,,Rosefline CHEPNGETICH,17 JUN 1997,KEN,7,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1223.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14530630,toplist
9.0,9:10.27,,Colleen QUIGLEY,20 NOV 1992,USA,1,,"Olympiastadion, Berlin (GER)",02 SEP 2018,1218.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14437440,toplist
10.0,9:10.71,,Daisy JEPKEMEI,13 FEB 1996,KEN,8,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1217.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14530633,toplist
11.0,9:10.74,,Winfred YAVI,31 DEC 1999,BRN,9,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1217.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14695622,toplist
12.0,9:14.09,,Aisha PRAUGHT LEER,14 DEC 1989,JAM,8,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1208.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14361190,toplist
13.0,9:16.68,,Yekaterina IVONINA,14 JUN 1994,RUS,1,,Kazan (RUS),20 JUL 2018,1202.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14513849,toplist
14.0,9:18.36,,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,11,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1198.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14292573,toplist
15.0,9:19.80,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1194.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14329341,toplist
16.0,9:21.34,,Purity KIRUI,13 AUG 1991,KEN,5,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1190.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14334458,toplist
17.0,9:22.00,,Luiza GEGA,05 NOV 1988,ALB,9,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1188.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14272917,toplist
18.0,9:22.29,,Fabienne SCHLUMPF,17 NOV 1990,SUI,2,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1188.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14940420,toplist
19.0,9:22.85,,Joanne KIPKEMOI,27 NOV 1993,KEN,6,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1186.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14425795,toplist
20.0,9:23.4h,,Mary WANJIRU,,KEN,1,,Nairobi (KEN),06 JUN 2018,1185.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14512032,toplist
21.0,9:23.69,,Genevieve LACAZE,04 AUG 1989,AUS,3,,"Olympiastadion, Berlin (GER)",02 SEP 2018,1184.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14271807,toplist
22.0,9:28.61,,Maruša MIŠMAŠ,24 OCT 1994,SLO,4,,"Olympiastadion, Berlin (GER)",02 SEP 2018,1172.0,women_3000sc,2018,https://worldathletics.org/athletes/athlete=14375060,toplist
