Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,8:51.06,,Peruth CHEMUTAI,10 JUL 1999,UGA,1,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1267,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14707661
2,8:51.48,,Faith CHEROTICH,13 JUL 2004,KEN,2,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1266,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14989893
3,8:51.54,,Winfred YAVI,31 DEC 1999,BRN,2,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1266,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14695622
4,8:54.32,,Marwa BOUZAYANI,26 MAR 1997,TUN,3,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1259,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14595096
5,8:55.94,,Doris LEMNGOLE,05 FEB 2002,KEN,2,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1255,women_3000sc,2026,https://worldathletics.org/athletes/athlete=15128594
6,8:59.66,,Kena TUFA,27 DEC 2005,ETH,4,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1245,women_3000sc,2026,https://worldathletics.org/athletes/ethiopia/kena-tufa-15024115
7,9:05.45,,Elise THORNER,16 MAR 2001,GBR,2f1,,"Scotstoun Stadium, Glasgow (GBR)",29 JUL 2026,1230,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14648621
8,9:07.50,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,6,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1225,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14329341
9,9:08.35,,Lexy HALLADAY,23 JUL 2001,USA,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",21 AUG 2026,1223,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14741102
10,9:09.13,,Lea MEYER,16 SEP 1997,GER,7,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1221,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14509240
11,9:10.05,,Alemnat WALLE,29 JAN 2006,ETH,5,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1219,women_3000sc,2026,https://worldathletics.org/athletes/ethiopia/alemnat-walle-15024112
12,9:10.90,,Norah JERUTO,02 OCT 1995,KAZ,6,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1216,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14479154
13,9:11.72,,Gabrielle JENNINGS,15 SEP 1998,USA,1,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",14 JUN 2026,1214,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14490787
14,9:12.84,,Parul CHAUDHARY,15 APR 1995,IND,7,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1212,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14497992
15,9:14.24,,Alice FINOT,09 FEB 1991,FRA,2,,"Alexander Stadium, Birmingham (GBR)",13 AUG 2026,1208,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14758606
16,9:15.07,,Olivia GÜRTH,31 MAY 2002,GER,8,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1206,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14804796
17,9:15.18,,Ilona MONONEN,18 DEC 2003,FIN,6,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1206,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14914640
18,9:15.81,,Almaz YOHANNIS,11 DEC 2007,ETH,1,,"Hayward Field, Eugene, OR (USA)",07 AUG 2026,1204,women_3000sc,2026,https://worldathletics.org/athletes/ethiopia/almaz-yohannis-15143214
19,9:15.97,,Emma COBURN,19 OCT 1990,USA,9,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1204,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14307810
20,9:16.61,,Gracie HYDE,12 DEC 1999,USA,2,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1202,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14743329
21,9:16.83,,Firehiwot GESESE,01 JAN 2006,ETH,9,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1201,women_3000sc,2026,https://worldathletics.org/athletes/ethiopia/firehiwot-gesese-15009736
22,9:17.68,,Madie BOREMAN,10 JUL 1998,USA,3,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1199,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14585742
23,9:17.88,,Clara ENTRESANGLE,23 NOV 2004,FRA,1,,"Stade Raymond Troussier, Decines (FRA)",04 JUL 2026,1199,women_3000sc,2026,https://worldathletics.org/athletes/france/clara-entresangle-14986707
24,9:18.84,,Angelina ELLIS,09 AUG 1998,USA,4,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1196,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14820700
25,9:19.41,,Angelina NAPOLEON,03 MAR 2005,USA,11,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1195,women_3000sc,2026,https://worldathletics.org/athletes/united-states/angelina-napoleon-14988984
26,9:19.90,,Courtney WAYMENT,04 AUG 1998,USA,5,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1194,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14617090
27,9:21.03,,Taylor LOVELL,09 OCT 2003,USA,1f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1191,women_3000sc,2026,https://worldathletics.org/athletes/united-states/taylor-lovell-15064362
28,9:21.35,,Cara FEAIN-RYAN,05 FEB 1999,AUS,10,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1190,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14608674
29,9:21.79,,Flavie RENOUARD,10 SEP 2000,FRA,3,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1189,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14753918
30,9:21.87,,Rihab DHAHRI,09 SEP 2003,TUN,2,,"Stadio Giuseppe Valente, Taranto (ITA)",01 SEP 2026,1189,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14911026
31,9:22.15,,Olivia MARKEZICH,10 AUG 2000,USA,11,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1188,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14846039
32,9:23.12,,Juliane HVID,08 APR 1998,DEN,5,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1186,women_3000sc,2026,https://worldathletics.org/athletes/denmark/juliane-hvid-15023295
33,9:24.22,,Yekaterina IVONINA,14 JUN 1994,RUS,1,,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2026,1183,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14513849
34,9:24.26,,Kaylee MITCHELL,22 OCT 1999,USA,12,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1183,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14874875
35,9:24.95,,Sophie NOVAK,22 FEB 2003,USA,1f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",16 APR 2026,1181,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14834678
36,9:26.12,,Celestine Jepkosgei BIWOT,24 DEC 2003,KEN,1f1,,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2026,1178,women_3000sc,2026,https://worldathletics.org/athletes/kenya/celestine-jepkosgei-biwot-14989898
37,9:26.53,,Adia BUDDE,29 JUL 2005,GER,4,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1177,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14926483
38,9:27.49,,Grace FETHERSTONHAUGH,13 OCT 2000,CAN,6f1,,"Scotstoun Stadium, Glasgow (GBR)",29 JUL 2026,1175,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14659768
39,9:27.91,,ANKITA,05 FEB 2002,IND,3f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",16 APR 2026,1174,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14818406
40,9:28.72,,Rachel ANDERSON,16 MAY 2001,USA,2f1,,"Drake Stadium, Des Moines, IA (USA)",24 APR 2026,1172,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14926164
41,9:28.81,,Adva COHEN,24 MAR 1996,ISR,11,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1171,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14699069
42,9:29.19,,Diana CHEPKEMOI,25 JAN 2005,KEN,1,,"University of Ghana Sports Stadium, Accra (GHA)",17 MAY 2026,1171,women_3000sc,2026,https://worldathletics.org/athletes/kenya/diana-chepkemoi-14989668
43,9:29.44,,Marta SERRANO,05 APR 2003,ESP,2f1,,"Østerbro Stadium, Copenhagen (DEN)",22 JUN 2026,1170,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14812711
44,9:30.30,,Miu SAITO,22 JUN 2002,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1168,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14931241
45,9:30.47,,Mercy Chepngeno KOSKEY,16 SEP 2007,KEN,2,,"University of Ghana Sports Stadium, Accra (GHA)",17 MAY 2026,1167,women_3000sc,2026,https://worldathletics.org/athletes/kenya/mercy-chepngeno-koskey-15169289
46,9:30.50,,Wosane ASEFA,03 JAN 2007,ETH,2,,"Hayward Field, Eugene, OR (USA)",07 AUG 2026,1167,women_3000sc,2026,https://worldathletics.org/athletes/ethiopia/wosane-asefa-15148796
47,9:31.12,,Ikram OUAAZIZ,06 JUL 1999,MAR,3,,"Stade Raymond Troussier, Decines (FRA)",04 JUL 2026,1166,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14793931
48,9:31.42,,Tuğba YENIGÜN,09 JUL 1994,TUR,4,,"Stadio Giuseppe Valente, Taranto (ITA)",01 SEP 2026,1165,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14421056
49,9:31.51,,Kinga KRÓLIK,26 SEP 1999,POL,1,,"Stadion BOSiR, Białystok (POL)",24 JUL 2026,1165,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14701702
50,9:31.74,,Emma GEE,17 AUG 1997,USA,6,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1164,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14736216
51,9:32.03,,Stevie LAWRENCE-WRIST,18 FEB 1997,GBR,2f1,,"Alexander Stadium, Birmingham (GBR)",20 JUN 2026,1163,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14524899
52,9:33.03,,Agnieszka CHORZĘPA,14 JAN 2001,POL,2,,"Stadion BOSiR, Białystok (POL)",24 JUL 2026,1161,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14829123
53,9:33.06,,Logan JOLLY,07 JUL 1998,USA,2,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",11 JUL 2026,1161,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14571222
54,9:33.19,,Andrea NYGÅRD VIE,04 JUL 2006,NOR,5,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1161,women_3000sc,2026,https://worldathletics.org/athletes/norway/andrea-nygard-vie-15035215
55,9:33.22,,Alicja KONIECZEK,02 NOV 1994,POL,6h2,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1161,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14424786
56,9:33.36,,Cynthia JEMUTAI,22 APR 2002,KEN,3f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1160,women_3000sc,2026,https://worldathletics.org/athletes/kenya/cynthia-jemutai-15280716
57,9:33.77,,Joyce Jepkogei BIWOT,17 AUG 1999,KEN,2f1,,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2026,1159,women_3000sc,2026,https://worldathletics.org/athletes/kenya/joyce-jepkogei-biwot-15199058
58,9:33.80,,Anatasha CHEPTOO,17 DEC 2007,KEN,3f1,,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2026,1159,women_3000sc,2026,https://worldathletics.org/athletes/kenya/anatasha-cheptoo-15228290
59,9:34.16,,Derya KUNUR,01 SEP 1999,TUR,7,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1158,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14671694
60,9:34.40,,Andreea STAVILA-GROSU,13 DEC 2000,MDA,5h1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1158,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14910357
61,9:35.13,,Melak MULETA,2006,ETH,1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1156,women_3000sc,2026,https://worldathletics.org/athletes/ethiopia/melak-muleta-15309272
62,9:35.57,,Zita URBÁN,22 APR 2002,HUN,7h1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1155,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14685030
63,9:36.20,,Birtukan GEDAMU,,ETH,2,,"Luzhniki Stadion, Moskva (RUS)",05 JUN 2026,1153,women_3000sc,2026,https://worldathletics.org/athletes/ethiopia/birtukan-gedamu-15315172
64,9:36.69,,Katelyn STEWART-BARNETT,12 MAY 2003,CAN,5f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1152,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14818116
65,9:37.96,,Laura TABORDA,01 JAN 1999,POR,9h2,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1149,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14741797
66,9:38.15,,Xia LUO,10 MAY 2000,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1148,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14892675
67,9:38.20,,Marisa HOWARD,10 AUG 1992,USA,1f1,,"Griswold Stadium, Portland, OR (USA)",21 JUN 2026,1148,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14458077
68,9:38.53,,Colett RAMPF,23 JUL 1991,USA,6f1,,"Drake Stadium, Des Moines, IA (USA)",24 APR 2026,1147,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14687698
69,9:39.03,,Tatsiana SHABANAVA,20 MAR 1998,BLR,4,,"Luzhniki Stadion, Moskva (RUS)",05 JUN 2026,1146,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14635707
70,9:39.33,,Pelinsu ŞAHIN,24 MAR 2003,TUR,2,,"LAZ Wien, Wien (AUT)",20 JUN 2026,1145,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14843900
71,9:39.51,,Sydney MASCIARELLI,18 JUN 2003,USA,1h2,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1145,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14895530
72,9:39.75,,Belén CASETTA,26 SEP 1994,ARG,1,,"Estadio Atlético de la VIDENA, Lima (PER)",30 MAY 2026,1144,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14381671
73,9:39.85,,Ava O'CONNOR,19 SEP 2003,IRL,7f1,,"Drake Stadium, Des Moines, IA (USA)",24 APR 2026,1144,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14760585
74,9:40.58,,Vilde Våge HENRIKSEN,16 SEP 2000,NOR,3,,"LAZ Wien, Wien (AUT)",20 JUN 2026,1142,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14707392
75,9:40.63,,Sümeyye EROL,15 JUN 1997,TUR,1f2,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",30 MAY 2026,1142,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14590146
76,9:40.71,,Cari HUGHES,15 MAR 1999,GBR,8f1,,"Scotstoun Stadium, Glasgow (GBR)",29 JUL 2026,1142,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14478030
77,9:40.92,,Sarah TAIT,26 MAR 2001,GBR,9,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1141,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14655139
78,9:40.95,,Courtney FRERICHS,18 JAN 1993,USA,5,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",11 JUL 2026,1141,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14507523
79,9:41.84,,Manami NISHIYAMA,09 DEC 1999,JPN,2,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1139,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14733877
80,9:43.10,,Mercy Wanjiru KINYANJUI,,KEN,5sf2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1136,women_3000sc,2026,https://worldathletics.org/athletes/kenya/mercy-wanjiru-kinyanjui-15102085
81,9:43.12,,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,2,,"Estadio Atlético de la VIDENA, Lima (PER)",30 MAY 2026,1136,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14269289
82,9:43.69,,Abbie SHERIDAN,20 MAR 2002,IRL,6f1,,"Østerbro Stadium, Copenhagen (DEN)",22 JUN 2026,1135,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14912275
83,9:44.16,,Maria Mihaela BLAGA,04 MAR 2004,ROU,4f1,,"Boudewijnstadion, Bruxelles (BEL)",24 MAY 2026,1134,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14875916
84,9:44.24,,Emily PAUPORE,28 MAR 2002,USA,8,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1133,women_3000sc,2026,https://worldathletics.org/athletes/united-states/emily-paupore-14968140
85,9:44.25,,Pamela KOSGEI,05 JUL 2004,KEN,1f1,,"Veterans Memorial Stadium, Clovis, CA (USA)",15 MAY 2026,1133,women_3000sc,2026,https://worldathletics.org/athletes/athlete=15041996
86,9:44.42,,Kate PUTMAN,,USA,6sf2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1133,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14938459
87,9:44.43,,Jule Jutta LINDNER,15 MAY 2006,GER,1sf1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1133,women_3000sc,2026,https://worldathletics.org/athletes/germany/jule-jutta-lindner-14981849
88,9:44.85,,Constanze PAOLI,03 MAR 2003,GER,4sf1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1132,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14876884
89,9:45.01,,Shirley LANG,29 JUN 2002,SUI,10h1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1131,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14753184
90,9:45.11,,Yiting YANG,15 MAR 2004,CHN,2,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1131,women_3000sc,2026,https://worldathletics.org/athletes/pr-of-china/yiting-yang-14983614
