Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Peruth CHEMUTAI,10 JUL 1999,8:51.47,UGA,Wanda Diamond League,16 MAY 2026,2026,1.,dl_meeting
Faith CHEROTICH,13 JUL 2004,8:51.48,KEN,Wanda Diamond League,16 MAY 2026,2026,2.,dl_meeting
Marwa BOUZAYANI,26 MAR 1997,8:58.09,TUN,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Kena TUFA,27 DEC 2005,8:59.66,ETH,Wanda Diamond League,16 MAY 2026,2026,4.,dl_meeting
Alemnat WALLE,29 JAN 2006,9:10.05,ETH,Wanda Diamond League,16 MAY 2026,2026,5.,dl_meeting
Norah JERUTO,02 OCT 1995,9:10.90,KAZ,Wanda Diamond League,16 MAY 2026,2026,6.,dl_meeting
Parul CHAUDHARY,15 APR 1995,9:12.84,IND,Wanda Diamond League,16 MAY 2026,2026,7.,dl_meeting
Lexy HALLADAY,23 JUL 2001,9:13.99,USA,Wanda Diamond League,16 MAY 2026,2026,8.,dl_meeting
Angelina ELLIS,09 AUG 1998,9:20.53,USA,Wanda Diamond League,16 MAY 2026,2026,9.,dl_meeting
Cara FEAIN-RYAN,05 FEB 1999,9:21.35,AUS,Wanda Diamond League,16 MAY 2026,2026,10.,dl_meeting
Olivia MARKEZICH,10 AUG 2000,9:22.15,USA,Wanda Diamond League,16 MAY 2026,2026,11.,dl_meeting
Kaylee MITCHELL,22 OCT 1999,9:24.26,USA,Wanda Diamond League,16 MAY 2026,2026,12.,dl_meeting
Firehiwot GESESE,01 JAN 2006,9:25.13,ETH,Wanda Diamond League,16 MAY 2026,2026,13.,dl_meeting
Courtney WAYMENT,04 AUG 1998,9:27.96,USA,Wanda Diamond League,16 MAY 2026,2026,14.,dl_meeting
Adva COHEN,24 MAR 1996,9:29.94,ISR,Wanda Diamond League,16 MAY 2026,2026,15.,dl_meeting
Xia LUO,10 MAY 2000,9:47.04,CHN,Wanda Diamond League,16 MAY 2026,2026,16.,dl_meeting
Veerle BAKKER,29 SEP 1997,10:05.26,NED,Wanda Diamond League,16 MAY 2026,2026,17.,dl_meeting
Olivia GÜRTH,31 MAY 2002,DNF,GER,Wanda Diamond League,16 MAY 2026,2026,,dl_meeting
Peruth CHEMUTAI,10 JUL 1999,8:51.06,UGA,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Winfred YAVI,31 DEC 1999,8:51.54,BRN,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Faith CHEROTICH,13 JUL 2004,8:52.53,KEN,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Marwa BOUZAYANI,26 MAR 1997,8:59.25,TUN,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Kena TUFA,27 DEC 2005,9:11.36,ETH,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Norah JERUTO,02 OCT 1995,9:13.86,KAZ,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
Lexy HALLADAY,23 JUL 2001,9:14.96,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Alemnat WALLE,29 JAN 2006,9:15.79,ETH,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Firehiwot GESESE,01 JAN 2006,9:16.83,ETH,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Kaylee MITCHELL,22 OCT 1999,9:24.54,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,10.,dl_meeting
Adva COHEN,24 MAR 1996,9:28.81,ISR,Wanda Diamond League Xiamen,23 MAY 2026,2026,11.,dl_meeting
Cara FEAIN-RYAN,05 FEB 1999,9:29.10,AUS,Wanda Diamond League Xiamen,23 MAY 2026,2026,12.,dl_meeting
Courtney WAYMENT,04 AUG 1998,9:29.51,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,13.,dl_meeting
Angelina ELLIS,09 AUG 1998,9:29.97,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,14.,dl_meeting
Olivia GÜRTH,31 MAY 2002,9:35.82,GER,Wanda Diamond League Xiamen,23 MAY 2026,2026,15.,dl_meeting
Olivia MARKEZICH,10 AUG 2000,9:38.79,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,16.,dl_meeting
Xia LUO,10 MAY 2000,9:49.83,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,17.,dl_meeting
Veerle BAKKER,29 SEP 1997,DNF,NED,Wanda Diamond League Xiamen,23 MAY 2026,2026,,dl_meeting
Marwa BOUZAYANI,26 MAR 1997,8:59.28,TUN,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Elise THORNER,16 MAR 2001,9:11.01,GBR,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Gabrielle JENNINGS,15 SEP 1998,9:12.02,USA,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Kena TUFA,27 DEC 2005,9:12.42,ETH,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Lea MEYER,16 SEP 1997,9:13.67,GER,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Ilona MONONEN,18 DEC 2003,9:15.18,FIN,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Alemnat WALLE,29 JAN 2006,9:15.33,ETH,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Lexy HALLADAY,23 JUL 2001,9:19.02,USA,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Gracie HYDE,12 DEC 1999,9:24.19,USA,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Juliane HVID,08 APR 1998,9:25.46,DEN,BAUHAUS-Galan,07 JUN 2026,2026,10.,dl_meeting
Olivia MARKEZICH,10 AUG 2000,9:25.79,USA,BAUHAUS-Galan,07 JUN 2026,2026,11.,dl_meeting
Courtney WAYMENT,04 AUG 1998,9:29.05,USA,BAUHAUS-Galan,07 JUN 2026,2026,12.,dl_meeting
Alice FINOT,09 FEB 1991,9:34.30,FRA,BAUHAUS-Galan,07 JUN 2026,2026,13.,dl_meeting
Kinga KRÓLIK,26 SEP 1999,9:35.47,POL,BAUHAUS-Galan,07 JUN 2026,2026,14.,dl_meeting
Olivia GÜRTH,31 MAY 2002,9:42.35,GER,BAUHAUS-Galan,07 JUN 2026,2026,15.,dl_meeting
Meseret YESHANEH,12 MAY 2005,10:12.27,ETH,BAUHAUS-Galan,07 JUN 2026,2026,16.,dl_meeting
Agnieszka CHORZĘPA,14 JAN 2001,DNF,POL,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Faith CHEROTICH,13 JUL 2004,8:51.74,KEN,Prefontaine Classic,04 JUL 2026,2026,1.,dl_meeting
Winfred YAVI,31 DEC 1999,8:52.84,BRN,Prefontaine Classic,04 JUL 2026,2026,2.,dl_meeting
Marwa BOUZAYANI,26 MAR 1997,8:54.32,TUN,Prefontaine Classic,04 JUL 2026,2026,3.,dl_meeting
Doris LEMNGOLE,05 FEB 2002,8:57.89,KEN,Prefontaine Classic,04 JUL 2026,2026,4.,dl_meeting
Peruth CHEMUTAI,10 JUL 1999,9:05.39,UGA,Prefontaine Classic,04 JUL 2026,2026,5.,dl_meeting
Gesa Felicitas KRAUSE,03 AUG 1992,9:07.50,GER,Prefontaine Classic,04 JUL 2026,2026,6.,dl_meeting
Lea MEYER,16 SEP 1997,9:09.13,GER,Prefontaine Classic,04 JUL 2026,2026,7.,dl_meeting
Lexy HALLADAY,23 JUL 2001,9:13.33,USA,Prefontaine Classic,04 JUL 2026,2026,8.,dl_meeting
Emma COBURN,19 OCT 1990,9:15.97,USA,Prefontaine Classic,04 JUL 2026,2026,9.,dl_meeting
Gabrielle JENNINGS,15 SEP 1998,9:18.12,USA,Prefontaine Classic,04 JUL 2026,2026,10.,dl_meeting
Angelina NAPOLEON,03 MAR 2005,9:19.41,USA,Prefontaine Classic,04 JUL 2026,2026,11.,dl_meeting
Angelina ELLIS,09 AUG 1998,9:20.30,USA,Prefontaine Classic,04 JUL 2026,2026,12.,dl_meeting
Courtney WAYMENT,04 AUG 1998,9:20.90,USA,Prefontaine Classic,04 JUL 2026,2026,13.,dl_meeting
Gracie HYDE,12 DEC 1999,9:25.19,USA,Prefontaine Classic,04 JUL 2026,2026,14.,dl_meeting
Olivia MARKEZICH,10 AUG 2000,9:32.13,USA,Prefontaine Classic,04 JUL 2026,2026,15.,dl_meeting
Norah JERUTO,02 OCT 1995,DNF,KAZ,Prefontaine Classic,04 JUL 2026,2026,,dl_meeting
Taylor LOVELL,09 OCT 2003,DNF,USA,Prefontaine Classic,04 JUL 2026,2026,,dl_meeting
Winfred YAVI,31 DEC 1999,9:00.04,BRN,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Faith CHEROTICH,13 JUL 2004,9:01.90,KEN,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Marwa BOUZAYANI,26 MAR 1997,9:05.55,TUN,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Doris LEMNGOLE,05 FEB 2002,9:07.09,KEN,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Lexy HALLADAY,23 JUL 2001,9:08.35,USA,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Kena TUFA,27 DEC 2005,9:12.69,ETH,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Gabrielle JENNINGS,15 SEP 1998,9:15.29,USA,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Elise THORNER,16 MAR 2001,9:18.29,GBR,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Olivia GÜRTH,31 MAY 2002,9:22.47,GER,Athletissima Lausanne,21 AUG 2026,2026,9.,dl_meeting
Lea MEYER,16 SEP 1997,9:22.48,GER,Athletissima Lausanne,21 AUG 2026,2026,10.,dl_meeting
Courtney WAYMENT,04 AUG 1998,9:32.03,USA,Athletissima Lausanne,21 AUG 2026,2026,11.,dl_meeting
Alemnat WALLE,29 JAN 2006,9:32.95,ETH,Athletissima Lausanne,21 AUG 2026,2026,12.,dl_meeting
Rihab DHAHRI,09 SEP 2003,9:35.70,TUN,Athletissima Lausanne,21 AUG 2026,2026,13.,dl_meeting
Angelina ELLIS,09 AUG 1998,9:36.60,USA,Athletissima Lausanne,21 AUG 2026,2026,14.,dl_meeting
Agnieszka CHORZĘPA,14 JAN 2001,DNF,POL,Athletissima Lausanne,21 AUG 2026,2026,,dl_meeting
Gesa Felicitas KRAUSE,03 AUG 1992,DNF,GER,Athletissima Lausanne,21 AUG 2026,2026,,dl_meeting
Meseret YESHANEH,12 MAY 2005,DNF,ETH,Athletissima Lausanne,21 AUG 2026,2026,,dl_meeting
Faith CHEROTICH,13 JUL 2004,8:55.82,KEN,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Doris LEMNGOLE,05 FEB 2002,8:55.94,KEN,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
Peruth CHEMUTAI,10 JUL 1999,8:58.28,UGA,Weltklasse Zürich,27 AUG 2026,2026,3.,dl_meeting
Lexy HALLADAY,23 JUL 2001,9:11.10,USA,Weltklasse Zürich,27 AUG 2026,2026,4.,dl_meeting
Elise THORNER,16 MAR 2001,9:11.41,GBR,Weltklasse Zürich,27 AUG 2026,2026,5.,dl_meeting
Gesa Felicitas KRAUSE,03 AUG 1992,9:12.27,GER,Weltklasse Zürich,27 AUG 2026,2026,6.,dl_meeting
Lea MEYER,16 SEP 1997,9:13.50,GER,Weltklasse Zürich,27 AUG 2026,2026,7.,dl_meeting
Olivia GÜRTH,31 MAY 2002,9:15.07,GER,Weltklasse Zürich,27 AUG 2026,2026,8.,dl_meeting
Gabrielle JENNINGS,15 SEP 1998,9:16.54,USA,Weltklasse Zürich,27 AUG 2026,2026,9.,dl_meeting
Ilona MONONEN,18 DEC 2003,9:17.50,FIN,Weltklasse Zürich,27 AUG 2026,2026,10.,dl_meeting
Alemnat WALLE,29 JAN 2006,9:20.14,ETH,Weltklasse Zürich,27 AUG 2026,2026,11.,dl_meeting
Gracie HYDE,12 DEC 1999,9:20.75,USA,Weltklasse Zürich,27 AUG 2026,2026,12.,dl_meeting
Alice FINOT,09 FEB 1991,9:27.07,FRA,Weltklasse Zürich,27 AUG 2026,2026,13.,dl_meeting
Emma COBURN,19 OCT 1990,9:36.83,USA,Weltklasse Zürich,27 AUG 2026,2026,14.,dl_meeting
Cara FEAIN-RYAN,05 FEB 1999,DNF,AUS,Weltklasse Zürich,27 AUG 2026,2026,,dl_meeting
