Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,52.75,,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,,"Knoxville, TN (USA)",13 MAY 2018,1244.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14624749,toplist
2.0,53.32,,Shamier LITTLE,20 MAR 1995,USA,1,,Toronto (CAN),12 AUG 2018,1226.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14443767,toplist
3.0,53.46,,Janieve RUSSELL,14 NOV 1993,JAM,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1221.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14334022,toplist
4.0,53.65,,Dalilah MUHAMMAD,07 FEB 1990,USA,1,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1215.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14317560,toplist
5.0,53.9,,Georganne MOLINE,06 MAR 1990,USA,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1207.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14362616,toplist
6.0,54.33,,Lea SPRUNGER,05 MAR 1990,SUI,1,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1194.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14301240,toplist
7.0,54.47,,Anna RYZHYKOVA,24 NOV 1989,UKR,3,,Ostrava (CZE),09 SEP 2018,1189.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14304336,toplist
8.0,54.55,,Sage WATSON,20 JUN 1994,CAN,3,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1187.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14373955,toplist
9.0,54.61,,Wenda NEL,30 JUL 1988,RSA,2h2,,Gold Coast (AUS),10 APR 2018,1185.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14296960,toplist
10.0,54.66,,Ashley SPENCER,08 JUN 1993,USA,3,,Luzern (SUI),09 JUL 2018,1183.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14476234,toplist
11.0,54.67,,Leah NUGENT,23 NOV 1992,JAM,1,,Kingston (JAM),09 JUN 2018,1183.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14334916,toplist
12.0,54.8,,Eilidh DOYLE,20 FEB 1987,GBR,1h1,,Gold Coast (AUS),10 APR 2018,1179.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14274691,toplist
13.0,54.9,,Ronda WHYTE,06 NOV 1990,JAM,3,,Kingston (JAM),22 JUN 2018,1176.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14515305,toplist
14.0,54.94,,Cassandra TATE,11 SEP 1990,USA,2,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1175.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14322468,toplist
15.0,54.98,,Yadisleidis PEDROSO,28 JAN 1987,ITA,1f1,,Genève (SUI),09 JUN 2018,1173.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14263443,toplist
16.0,55.01,,Glory Onome NATHANIEL,23 JAN 1996,NGR,3h2,,Gold Coast (AUS),10 APR 2018,1172.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14579523,toplist
17.0,55.05,,Zenéy VAN DER WALT,22 MAY 2000,RSA,2,,Pretoria (RSA),17 MAR 2018,1171.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14639191,toplist
18.0,55.08,,Rushell CLAYTON,18 OCT 1992,JAM,4,,Kingston (JAM),22 JUN 2018,1170.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14425208,toplist
19.0,55.11,,Zundike RODRIGUEZ,14 MAR 1987,MEX,2,,Barranquilla (COL),31 JUL 2018,1169.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14291227,toplist
20.0,55.13,,Zurian HECHAVARRÍA,10 AUG 1995,CUB,3,,Barranquilla (COL),31 JUL 2018,1169.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14465501,toplist
21.0,55.15,,Sparkle MC KNIGHT,21 DEC 1991,TTO,2h1,,Gold Coast (AUS),10 APR 2018,1168.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14303028,toplist
22.0,55.16,,Ayomide FOLORUNSO,17 OCT 1996,ITA,4,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1168.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14484475,toplist
