Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,52.30,,Emma ZAPLETALOVÁ,24 MAR 2000,SVK,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1259,women_400h,2026
2,52.77,,Anna COCKRELL,28 AUG 1997,USA,2,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1243,women_400h,2026
3,52.91,,Jasmine JONES,30 NOV 2001,USA,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1239,women_400h,2026
4,53.05,,Rushell CLAYTON,18 OCT 1992,JAM,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1234,women_400h,2026
5,53.32,,Akala GARRETT,10 MAY 2005,USA,1f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1226,women_400h,2026
6,53.39,,Dalilah MUHAMMAD,07 FEB 1990,USA,4,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1224,women_400h,2026
7,53.58,,Gianna WOODRUFF,18 NOV 1993,PAN,5,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1218,women_400h,2026
8,53.60,,Amelliah BIRDOW,2004,USA,2f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1217,women_400h,2026
9,53.67,,Kemi ADEKOYA,16 JAN 1993,BRN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1215,women_400h,2026
10,53.87,,Paulien COUCKUYT,19 MAY 1997,BEL,1sf3,,"Alexander Stadium, Birmingham (GBR)",11 AUG 2026,1208,women_400h,2026
11,53.92,,Emily NEWNHAM,19 MAY 2004,GBR,1,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1207,women_400h,2026
12,53.93,,Ayomide FOLORUNSO,17 OCT 1996,ITA,1sf1,,"Alexander Stadium, Birmingham (GBR)",11 AUG 2026,1206,women_400h,2026
13,53.95,,Deonca BOOKMAN,29 OCT 1995,USA,2,,"Icahn Stadium, New York, NY (USA)",26 JUL 2026,1206,women_400h,2026
14,54.00,,Sanique WALKER,08 APR 2000,JAM,1f1,,"Scotstoun Stadium, Glasgow (GBR)",31 JUL 2026,1204,women_400h,2026
15,54.04,,Lina NIELSEN,13 MAR 1996,GBR,2sf3,,"Alexander Stadium, Birmingham (GBR)",11 AUG 2026,1203,women_400h,2026
16,54.05,,Amalie IUEL,17 APR 1994,NOR,7,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1203,women_400h,2026
16,54.05,,Louise MARAVAL,31 JUL 2001,FRA,2,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1203,women_400h,2026
18,54.08,,Ashley MILLER,17 FEB 1998,ZIM,2,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1202,women_400h,2026
19,54.15,,Shamier LITTLE,20 MAR 1995,USA,3,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1199,women_400h,2026
20,54.16,,Savannah SUTHERLAND,07 AUG 2003,CAN,3f1,,"Scotstoun Stadium, Glasgow (GBR)",31 JUL 2026,1199,women_400h,2026
21,54.28,,Hilla UUSIMÄKI,12 JUN 1996,FIN,3f1,,"Ratinan Stadion, Tampere (FIN)",12 JUL 2026,1195,women_400h,2026
22,54.31,,Fatoumata Binta DIALLO,06 APR 2000,POR,1,,"Stadion Podskarbińska, Warszawa (POL)",07 JUN 2026,1194,women_400h,2026
22,54.31,,Sofia LAVRESHINA,14 JUN 2003,POR,1f1,,"Estádio 1o de Maio, Braga (POR)",11 JUL 2026,1194,women_400h,2026
