Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,1:54.25,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1267.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14330057,toplist
2.0,1:55.86,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1237.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14532686,toplist
3.0,1:56.15,,Natoya GOULE,30 MAR 1991,JAM,3,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1232.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14285696,toplist
4.0,1:56.45,,Ajee' WILSON,08 MAY 1994,USA,4,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1227.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14411176,toplist
5.0,1:56.71,,Habitam ALEMU,09 JUL 1997,ETH,5,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1222.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14730994,toplist
6.0,1:57.47,,Rababe ARAFI,12 JAN 1991,MAR,6,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1208.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14290578,toplist
7.0,1:57.69,,Raevyn ROGERS,07 SEP 1996,USA,7,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1204.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14378260,toplist
8.0,1:58.01,,Ce'Aira BROWN,04 NOV 1993,USA,1f1,,Karlstad (SWE),25 JUL 2018,1198.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14463544,toplist
9.0,1:58.04,,Emily Cherotich TUEI,13 MAY 1986,KEN,1,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2018,1198.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14289041,toplist
10.0,1:58.05,,Charlene LIPSEY,16 JUL 1991,USA,6,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1197.0,women_800m,2018,https://worldathletics.org/athletes/athlete=14326493,toplist
