Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Audrey WERRO,27 MAR 2004,1:56.56,SUI,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Tsige DUGUMA,23 FEB 2001,1:57.24,ETH,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Lilian ODIRA,18 APR 1999,1:57.27,KEN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Oratile NOWE,20 MAY 2000,1:57.32,BOT,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Anaïs BOURGOIN,03 OCT 1996,1:57.39,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Prudence SEKGODISO,05 JAN 2002,1:57.41,RSA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Sarah BILLINGS,07 MAR 1998,1:57.61,AUS,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Sage HURTA-KLECKER,23 JUN 1998,1:58.18,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Eloisa COIRO,01 DEC 2000,1:58.42,ITA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Souad ELHADDAD,10 MAR 2001,1:58.51,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,10.,dl_meeting
Nigist GETACHEW,28 FEB 2002,1:58.58,ETH,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,11.,dl_meeting
Addison WILEY,24 OCT 2003,2:00.19,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,12.,dl_meeting
Audrey WERRO,27 MAR 2004,1:53.98,SUI,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Keely HODGKINSON,03 MAR 2002,1:54.33,GBR,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Roisin WILLIS,06 AUG 2004,1:57.56,USA,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Anaïs BOURGOIN,03 OCT 1996,1:57.68,FRA,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Prudence SEKGODISO,05 JAN 2002,1:57.70,RSA,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Anna WIELGOSZ,09 NOV 1993,1:57.92,POL,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Raevyn ROGERS,07 SEP 1996,1:57.94,USA,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Sage HURTA-KLECKER,23 JUN 1998,1:58.26,USA,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Nigist GETACHEW,28 FEB 2002,1:58.59,ETH,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Pernille Karlsen ANTONSEN,13 DEC 2002,1:58.82,NOR,BAUHAUS-Galan,07 JUN 2026,2026,10.,dl_meeting
Gabriela GAJANOVÁ,12 OCT 1999,2:02.88,SVK,BAUHAUS-Galan,07 JUN 2026,2026,11.,dl_meeting
