Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,73.10,,Valarie SION,23 FEB 1995,USA,1f1,,"Millican Field at Throw Town, Ramona, OK (USA)",11 APR 2026,1313,women_DT,2026,https://worldathletics.org/athletes/athlete=14479216
2,71.72,,Cierra JACKSON,28 AUG 2002,USA,1,,"Olympic Stadium, London (GBR)",18 JUL 2026,1288,women_DT,2026,https://worldathletics.org/athletes/athlete=14839155
3,70.99,,Jorinde VAN KLINKEN,02 FEB 2000,NED,2f1,,"Millican Field at Throw Town, Ramona, OK (USA)",11 APR 2026,1274,women_DT,2026,https://worldathletics.org/athletes/athlete=14676577
4,69.31,,Alida VAN DAALEN,12 APR 2002,NED,1q4,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1243,women_DT,2026,https://worldathletics.org/athletes/athlete=14735462
5,67.46,,Bin FENG,03 APR 1994,CHN,1,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2026,1209,women_DT,2026,https://worldathletics.org/athletes/athlete=14430151
6,67.01,,Veronica FRALEY,27 MAY 2000,USA,5f1,,"Millican Field at Throw Town, Ramona, OK (USA)",11 APR 2026,1201,women_DT,2026,https://worldathletics.org/athletes/athlete=14748979
7,66.72,,Erika BEISTLE,08 MAY 2003,USA,1f1,,"GVSU Track/Lacrosse Stadium, Allendale, MI (USA)",10 MAY 2026,1195,women_DT,2026,https://worldathletics.org/athletes/athlete=14937691
8,66.55,,Marike STEINACKER,03 APR 1992,GER,3f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1192,women_DT,2026,https://worldathletics.org/athletes/athlete=14373479
9,66.39,,Samantha HALL,19 APR 1993,JAM,6f1,,"Millican Field at Throw Town, Ramona, OK (USA)",11 APR 2026,1189,women_DT,2026,https://worldathletics.org/athletes/athlete=14445000
10,66.18,,Shanice CRAFT,15 MAY 1993,GER,1,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",25 JUL 2026,1185,women_DT,2026,https://worldathletics.org/athletes/athlete=14361931
11,65.96,,Melina ROBERT-MICHON,18 JUL 1979,FRA,4f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1181,women_DT,2026,https://worldathletics.org/athletes/athlete=14273725
12,65.94,,Laulauga TAUSAGA,22 MAY 1998,USA,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1181,women_DT,2026,https://worldathletics.org/athletes/athlete=14647494
13,65.49,,Jayden ULRICH,15 SEP 2002,USA,5f1,,"Millican Field at Throw Town, Ramona, OK (USA)",09 APR 2026,1173,women_DT,2026,https://worldathletics.org/athletes/athlete=14907500
14,65.30,,Vanessa KAMGA,19 NOV 1998,SWE,4,,"Olympic Stadium, London (GBR)",18 JUL 2026,1169,women_DT,2026,https://worldathletics.org/athletes/athlete=14718533
15,64.96,,Leia BRAUNAGEL,05 OCT 2000,GER,3,,"Sportplatz des OSP Magdeburg, Magdeburg (GER)",14 MAY 2026,1163,women_DT,2026,https://worldathletics.org/athletes/athlete=14684815
16,64.77,,Silinda MORÁLES,30 AUG 2000,CUB,1,,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",01 JUL 2026,1159,women_DT,2026,https://worldathletics.org/athletes/athlete=14709137
17,64.68,,Daisy OSAKUE,16 JAN 1996,ITA,1,,"Stade Municipal Du Travet, Castres (FRA)",14 JUN 2026,1158,women_DT,2026,https://worldathletics.org/athletes/athlete=14514026
18,64.29,,Amanda NGANDU-NTUMBA,24 JUN 2000,FRA,3f2,,"Millican Field at Throw Town, Ramona, OK (USA)",11 APR 2026,1151,women_DT,2026,https://worldathletics.org/athletes/athlete=14734248
19,64.28,,Kristin PUDENZ,09 FEB 1993,GER,1,,"UNION-Stadion, Schönebeck (GER)",20 JUN 2026,1150,women_DT,2026,https://worldathletics.org/athletes/athlete=14361447
20,64.08,,Liliana CÁ,05 NOV 1986,POR,1,,"Estadio Universitario, Lisboa (POR)",25 JUL 2026,1147,women_DT,2026,https://worldathletics.org/athletes/athlete=14294819
21,63.58,,Julia TUNKS,20 JUL 2006,CAN,1f1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",18 APR 2026,1137,women_DT,2026,https://worldathletics.org/athletes/athlete=14914127
22,63.55,,Marija TOLJ,29 NOV 1999,CRO,2f1,,"Stadion Erzgebirgsblick, Gelenau (GER)",07 JUN 2026,1137,women_DT,2026,https://worldathletics.org/athletes/athlete=14682378
23,63.22,,Irina RODRIGUES,05 FEB 1991,POR,1,,"Centro Nacional de Lançamentos, Leiria (POR)",01 AUG 2026,1131,women_DT,2026,https://worldathletics.org/athletes/athlete=14295066
