Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Valarie SION,23 FEB 1995,68.45,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Bin FENG,03 APR 1994,65.03,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Jorinde VAN KLINKEN,02 FEB 2000,64.27,NED,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Erika BEISTLE,08 MAY 2003,64.07,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Vanessa KAMGA,19 NOV 1998,64.02,SWE,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Shanice CRAFT,15 MAY 1993,63.96,GER,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
Cierra JACKSON,28 AUG 2002,62.66,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Laulauga TAUSAGA,22 MAY 1998,61.51,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Veronica FRALEY,27 MAY 2000,61.27,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Silinda MORÁLES,30 AUG 2000,59.07,CUB,Wanda Diamond League Xiamen,23 MAY 2026,2026,10.,dl_meeting
Valarie SION,23 FEB 1995,68.75,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Jorinde VAN KLINKEN,02 FEB 2000,66.72,NED,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Laulauga TAUSAGA,22 MAY 1998,65.94,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Cierra JACKSON,28 AUG 2002,65.79,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Bin FENG,03 APR 1994,64.51,CHN,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Jayden ULRICH,15 SEP 2002,63.48,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Shanice CRAFT,15 MAY 1993,62.59,GER,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Liliana CÁ,05 NOV 1986,61.86,POR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Marike STEINACKER,03 APR 1992,61.84,GER,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Erika BEISTLE,08 MAY 2003,61.59,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,10.,dl_meeting
Vanessa KAMGA,19 NOV 1998,59.78,SWE,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,11.,dl_meeting
Valarie SION,23 FEB 1995,68.60,USA,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Jorinde VAN KLINKEN,02 FEB 2000,66.57,NED,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Laulauga TAUSAGA,22 MAY 1998,65.89,USA,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Bin FENG,03 APR 1994,64.15,CHN,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Marike STEINACKER,03 APR 1992,62.13,GER,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Vanessa KAMGA,19 NOV 1998,61.93,SWE,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Shanice CRAFT,15 MAY 1993,61.88,GER,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Silinda MORÁLES,30 AUG 2000,58.81,CUB,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Cierra JACKSON,28 AUG 2002,52.90,USA,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Cierra JACKSON,28 AUG 2002,71.72,USA,Novuna London Athletics Meet,18 JUL 2026,2026,1.,dl_meeting
Valarie SION,23 FEB 1995,68.39,USA,Novuna London Athletics Meet,18 JUL 2026,2026,2.,dl_meeting
Jorinde VAN KLINKEN,02 FEB 2000,67.99,NED,Novuna London Athletics Meet,18 JUL 2026,2026,3.,dl_meeting
Vanessa KAMGA,19 NOV 1998,65.30,SWE,Novuna London Athletics Meet,18 JUL 2026,2026,4.,dl_meeting
Alida VAN DAALEN,12 APR 2002,64.22,NED,Novuna London Athletics Meet,18 JUL 2026,2026,5.,dl_meeting
Laulauga TAUSAGA,22 MAY 1998,63.15,USA,Novuna London Athletics Meet,18 JUL 2026,2026,6.,dl_meeting
Shanice CRAFT,15 MAY 1993,60.37,GER,Novuna London Athletics Meet,18 JUL 2026,2026,7.,dl_meeting
Zara OBAMAKINWA,30 MAR 2004,59.42,GBR,Novuna London Athletics Meet,18 JUL 2026,2026,8.,dl_meeting
