Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,2.04,,Mariya LASITSKENE,14 JAN 1993,ANA,1,,Volgograd (RUS) (i),27 JAN 2018,1259.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14298324,toplist
2.0,2.02,,Elena VALLORTIGARA,21 SEP 1991,ITA,2,,"Olympic Stadium, London (GBR)",22 JUL 2018,1239.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14285415,toplist
3.0,2.01,,Nafissatou THIAM,19 AUG 1994,BEL,1ce1,,"Mösle-Stadium, Götzis (AUT)",26 MAY 2018,1229.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14428253,toplist
4.0,2.0,,Mirela DEMIREVA,28 SEP 1989,BUL,2,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1219.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14268737,toplist
5.0,1.98,,Anna CHICHEROVA,22 JUL 1982,RUS,1,,Moskva (RUS),30 JUL 2018,1200.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14297542,toplist
5.0,1.98,,Kateryna TABASHNYK,15 JUN 1994,UKR,2,,Minsk (BLR) (i),22 DEC 2018,1200.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14426901,toplist
5.0,1.98,,Yuliia LEVCHENKO,28 NOV 1997,UKR,3,,Minsk (BLR) (i),22 DEC 2018,1200.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14594836,toplist
8.0,1.97,,Vashti CUNNINGHAM,18 JAN 1998,USA,1,,"Albuquerque, NM (USA) (i)",18 FEB 2018,1190.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14486785,toplist
8.0,1.97,,Morgan LAKE,12 MAY 1997,GBR,1,,Birmingham (GBR),30 JUN 2018,1190.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14409457,toplist
10.0,1.96,,Levern SPENCER,23 JUN 1984,LCA,1,,"Filothei Stadium, Athina (GRE)",13 JUN 2018,1180.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14290136,toplist
10.0,1.96,,Marie-Laurence JUNGFLEISCH,07 OCT 1990,GER,1,,Bühl (GER),22 JUN 2018,1180.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14278223,toplist
10.0,1.96,,Airinė PALŠYTĖ,13 JUL 1992,LTU,4,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1180.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14290340,toplist
10.0,1.96,,Svetlana RADZIVIL,17 JAN 1987,UZB,1,,Jakarta (INA),29 AUG 2018,1180.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14325056,toplist
10.0,1.96,,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,4,,Minsk (BLR) (i),22 DEC 2018,1180.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14739628,toplist
15.0,1.94,,Yuliia CHUMACHENKO,02 OCT 1994,UKR,1,,Mykolaiv (UKR),18 MAY 2018,1160.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14401981,toplist
15.0,1.94,,Erika KINSEY,10 MAR 1988,SWE,2,,Zoetermeer (NED),06 JUN 2018,1160.0,women_HJ,2018,https://worldathletics.org/athletes/athlete=14302558,toplist
