Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,2.03,,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1,,"Arena SKIF, Lviv (UKR) (i)",17 JAN 2026,1249,women_HJ,2026,https://worldathletics.org/athletes/athlete=14739628
2,2.02,,Nicola OLYSLAGERS,28 DEC 1996,AUS,1,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1239,women_HJ,2026,https://worldathletics.org/athletes/athlete=14455361
2,2.02,,Eleanor PATTERSON,22 MAY 1996,AUS,1,,"Marktplatz, Heilbronn (GER)",30 AUG 2026,1239,women_HJ,2026,https://worldathletics.org/athletes/athlete=14411267
4,2.00,,Angelina TOPIĆ,26 JUL 2005,SRB,1,,"Športová hala Dukla, Banská Bystrica (SVK) (i)",24 FEB 2026,1219,women_HJ,2026,https://worldathletics.org/athletes/athlete=14841858
4,2.00,,Iryna GERASHCHENKO,10 MAR 1995,UKR,2,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1219,women_HJ,2026,https://worldathletics.org/athletes/athlete=14423612
6,1.99,,Yuliia LEVCHENKO,28 NOV 1997,UKR,2,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",20 MAR 2026,1209,women_HJ,2026,https://worldathletics.org/athletes/athlete=14594836
7,1.98,,Maria ŻODZIK,19 JAN 1997,POL,1,,"Arena Toruń, Toruń (POL) (i)",22 FEB 2026,1200,women_HJ,2026,https://worldathletics.org/athletes/athlete=14620985
7,1.98,,Marija VUKOVIĆ,21 JAN 1992,MNE,1,,"Filothei Stadium, Athina (GRE)",03 JUN 2026,1200,women_HJ,2026,https://worldathletics.org/athletes/athlete=14300447
7,1.98,,Lamara DISTIN,03 MAR 2000,JAM,3,,"Marktplatz, Heilbronn (GER)",30 AUG 2026,1200,women_HJ,2026,https://worldathletics.org/athletes/athlete=14630614
10,1.97,,Temitope Simbiat ADESHINA,11 NOV 1998,NGR,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",30 JAN 2026,1190,women_HJ,2026,https://worldathletics.org/athletes/athlete=14828037
11,1.96,,Charity HUFNAGEL,18 JUN 2001,USA,1,,"Gallur, Madrid (ESP) (i)",06 FEB 2026,1180,women_HJ,2026,https://worldathletics.org/athletes/athlete=14888087
11,1.96,,Louise EKMAN,10 APR 1997,SWE,3,,"Športová hala Dukla, Banská Bystrica (SVK) (i)",24 FEB 2026,1180,women_HJ,2026,https://worldathletics.org/athletes/athlete=14487342
11,1.96,,Rose YEBOAH,23 DEC 2001,GHA,2,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1180,women_HJ,2026,https://worldathletics.org/athletes/athlete=14893979
11,1.96,,Nadezhda ANDRYUKHINA,03 JUL 2001,RUS,1,,"Kalininets Stadium, Yekaterinburg (RUS)",25 JUL 2026,1180,women_HJ,2026,https://worldathletics.org/athletes/athlete=14819217
15,1.95,,Izobelle LOUISON-ROE,14 MAY 2007,AUS,1,,"AIS Athletics Track, Canberra (AUS)",25 JAN 2026,1170,women_HJ,2026,https://worldathletics.org/athletes/australia/izobelle-louison-roe-14963976
16,1.94,,Yelizaveta VALUYEVA,26 JUL 2005,BLR,1,,"Olimpiyets Arena, Mogilyov (BLR) (i)",31 JAN 2026,1160,women_HJ,2026,https://worldathletics.org/athletes/athlete=14919724
16,1.94,,Christina HONSEL,07 JUL 1997,GER,1f1,,"Stade Christian Plaziat, Pierre-Bénite (FRA)",13 JUN 2026,1160,women_HJ,2026,https://worldathletics.org/athletes/athlete=14497298
18,1.93,,Imke ONNEN,17 AUG 1994,GER,3,,"Městská sportovní hala, Hustopeče (CZE) (i)",07 FEB 2026,1150,women_HJ,2026,https://worldathletics.org/athletes/athlete=14401199
18,1.93,,Ahshareah ENOE,10 JUN 2003,GRN,2f1,,"Sports Performance Center, Lubbock, TX (USA) (i)",27 FEB 2026,1150,women_HJ,2026,https://worldathletics.org/athletes/athlete=14907564
18,1.93,,Vashti CUNNINGHAM,18 JAN 1998,USA,2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",28 FEB 2026,1150,women_HJ,2026,https://worldathletics.org/athletes/athlete=14486785
18,1.93,,POOJA,21 FEB 2007,IND,1,,"Kai Tak Youth Sports Ground, Hong Kong (HKG)",29 MAY 2026,1150,women_HJ,2026,https://worldathletics.org/athletes/india/pooja-15053572
18,1.93,,Fatoumata BALLEY,09 APR 1997,GUI,4,,"Sports Park Mladost, Zagreb (CRO)",24 JUN 2026,1150,women_HJ,2026,https://worldathletics.org/athletes/athlete=14623929
18,1.93,,Dacsy Adelina BRISÓN,26 OCT 2002,CUB,1,,"Estádio 1o de Maio, Braga (POR)",11 JUL 2026,1150,women_HJ,2026,https://worldathletics.org/athletes/athlete=14828680
18,1.93,,Marysabel SENYU,31 AUG 1999,DOM,1,,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",07 AUG 2026,1150,women_HJ,2026,https://worldathletics.org/athletes/athlete=14749622
25,1.92,,Lilianna BÁTORI,14 MAR 2007,HUN,2,,"Palaindoor O. Bernes, Udine (ITA) (i)",04 FEB 2026,1140,women_HJ,2026,https://worldathletics.org/athletes/athlete=14935219
25,1.92,,Kristina KOROLYOVA,06 NOV 1990,RUS,1,,"LFK CSKA, Moskva (RUS) (i)",07 FEB 2026,1140,women_HJ,2026,https://worldathletics.org/athletes/athlete=14419023
25,1.92,,Solène GICQUEL,01 DEC 1994,FRA,1,,"Stadium Jean-Pellez, Aubière (FRA) (i)",28 FEB 2026,1140,women_HJ,2026,https://worldathletics.org/athletes/athlete=14387199
25,1.92,,Jiawen LU,19 AUG 2002,CHN,1,,"Sports Center, Jiaxing (CHN)",10 MAY 2026,1140,women_HJ,2026,https://worldathletics.org/athletes/athlete=14805472
25,1.92,,Karyna DEMIDIK,10 FEB 1999,BLR,,,"Stadium Luch, Gomel (BLR)",20 JUN 2026,1140,women_HJ,2026,https://worldathletics.org/athletes/athlete=14684968
25,1.92,,Mariya KOCHANOVA,30 MAY 2002,RUS,2,,"Kalininets Stadium, Yekaterinburg (RUS)",25 JUL 2026,1140,women_HJ,2026,https://worldathletics.org/athletes/athlete=14817634
31,1.91,,Natalya SPIRIDONOVA,31 JUL 2002,RUS,1,,"Ural GUFK, Chelyabinsk (RUS) (i)",16 JAN 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14822557
31,1.91,,Tatyana YERMACHENKOVA,09 SEP 1998,RUS,2,,"Ural GUFK, Chelyabinsk (RUS) (i)",16 JAN 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14598009
31,1.91,,Alyssa JONES,06 FEB 2004,USA,1f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",16 JAN 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14812264
31,1.91,,Elena KULICHENKO,28 JUL 2002,CYP,4,,"Werk Arena, Třinec (CZE) (i)",10 FEB 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14807288
31,1.91,,Ella MIKKOLA,10 NOV 2007,FIN,3,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/finland/ella-mikkola-14993675
31,1.91,,Ella JUNNILA,06 DEC 1998,FIN,6,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14503964
31,1.91,,Lia APOSTOLOVSKI,23 JUN 2000,SLO,5,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14740139
31,1.91,,Asia TAVERNINI,18 SEP 2001,ITA,4q1,,"Alexander Stadium, Birmingham (GBR)",13 AUG 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14799801
31,1.91,,Karmen BRUUS,24 JAN 2005,EST,4q1,,"Alexander Stadium, Birmingham (GBR)",13 AUG 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14883144
31,1.91,,Morgan LAKE,12 MAY 1997,GBR,7q1,,"Alexander Stadium, Birmingham (GBR)",13 AUG 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14409457
31,1.91,,Merel MAES,22 JAN 2005,BEL,6q2,,"Alexander Stadium, Birmingham (GBR)",13 AUG 2026,1131,women_HJ,2026,https://worldathletics.org/athletes/athlete=14869228
