Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Yuliia LEVCHENKO,28 NOV 1997,1.99,UKR,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Iryna GERASHCHENKO,10 MAR 1995,1.97,UKR,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Lamara DISTIN,03 MAR 2000,1.94,JAM,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Maria ŻODZIK,19 JAN 1997,1.94,POL,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Eleanor PATTERSON,22 MAY 1996,1.94,AUS,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Charity HUFNAGEL,18 JUN 2001,1.91,USA,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
Jiawen LU,19 AUG 2002,1.88,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Morgan LAKE,12 MAY 1997,1.88,GBR,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Imke ONNEN,17 AUG 1994,1.88,GER,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Yuqi SHAO,13 MAY 2002,1.84,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,10.,dl_meeting
Yaroslava MAHUCHIKH,19 SEP 2001,1.97,UKR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Eleanor PATTERSON,22 MAY 1996,1.94,AUS,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Angelina TOPIĆ,26 JUL 2005,1.94,SRB,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Yuliia LEVCHENKO,28 NOV 1997,1.91,UKR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,4.,dl_meeting
Lamara DISTIN,03 MAR 2000,1.91,JAM,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Charity HUFNAGEL,18 JUN 2001,1.91,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,6.,dl_meeting
Elena KULICHENKO,28 JUL 2002,1.87,CYP,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Maria ŻODZIK,19 JAN 1997,1.83,POL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Vashti CUNNINGHAM,18 JAN 1998,1.83,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Imke ONNEN,17 AUG 1994,1.78,GER,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,10.,dl_meeting
Nicola OLYSLAGERS,28 DEC 1996,2.01,AUS,Novuna London Athletics Meet,18 JUL 2026,2026,1.,dl_meeting
Yaroslava MAHUCHIKH,19 SEP 2001,2.01,UKR,Novuna London Athletics Meet,18 JUL 2026,2026,2.,dl_meeting
Eleanor PATTERSON,22 MAY 1996,1.96,AUS,Novuna London Athletics Meet,18 JUL 2026,2026,3.,dl_meeting
Maria ŻODZIK,19 JAN 1997,1.96,POL,Novuna London Athletics Meet,18 JUL 2026,2026,4.,dl_meeting
Angelina TOPIĆ,26 JUL 2005,1.96,SRB,Novuna London Athletics Meet,18 JUL 2026,2026,5.,dl_meeting
Lamara DISTIN,03 MAR 2000,1.93,JAM,Novuna London Athletics Meet,18 JUL 2026,2026,6.,dl_meeting
Marija VUKOVIĆ,21 JAN 1992,1.85,MNE,Novuna London Athletics Meet,18 JUL 2026,2026,7.,dl_meeting
Morgan LAKE,12 MAY 1997,1.85,GBR,Novuna London Athletics Meet,18 JUL 2026,2026,8.,dl_meeting
Yaroslava MAHUCHIKH,19 SEP 2001,2.00,UKR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,1.,dl_meeting
Iryna GERASHCHENKO,10 MAR 1995,1.98,UKR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,2.,dl_meeting
Eleanor PATTERSON,22 MAY 1996,1.98,AUS,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,3.,dl_meeting
Nicola OLYSLAGERS,28 DEC 1996,1.96,AUS,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,4.,dl_meeting
