Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat,Venue,Date,Results Score,discipline,year,ProfileURL,source
1,77.32,,Oksana MIANKOVA,10 MAY 1982,BLR,1,,Minsk (BLR),29 JUN 2008,1212,women_HT,2008,https://worldathletics.org/athletes/athlete=14269736,toplist
2,76.82,,Martina HRAŠNOVÁ,21 MAR 1983,SVK,1,,Reims (FRA),08 JUL 2008,1204,women_HT,2008,https://worldathletics.org/athletes/athlete=14301404,toplist
3,76.62,,Yipsi MORENO,19 NOV 1980,CUB,1,,Zagreb (CRO),09 SEP 2008,1200,women_HT,2008,https://worldathletics.org/athletes/athlete=14263462,toplist
4,76.33,,Darya PCHELNIK,20 DEC 1981,BLR,2,,Minsk (BLR),29 JUN 2008,1196,women_HT,2008,https://worldathletics.org/athletes/athlete=14269699,toplist
5,74.89,,Ivana BRKLJAČIĆ,25 JAN 1983,CRO,1,,Villeneuve d'Ascq (FRA),27 JUN 2008,1172,women_HT,2008,https://worldathletics.org/athletes/athlete=14263852,toplist
6,74.81,,Yelena KONYEVTSOVA,11 MAR 1981,RUS,1,,Kazan (RUS),19 JUL 2008,1171,women_HT,2008,https://worldathletics.org/athletes/athlete=14299535,toplist
7,74.75,,Olga TSANDER,18 MAY 1976,BLR,1,,Minsk (BLR),19 JUL 2008,1170,women_HT,2008,https://worldathletics.org/athletes/athlete=14269574,toplist
8,74.65,,Marina SMOLYACHKOVA,10 FEB 1985,BLR,2,,Minsk (BLR),19 JUL 2008,1168,women_HT,2008,https://worldathletics.org/athletes/athlete=14269608,toplist
9,74.52,,Iryna SEKACHOVA,21 JUL 1976,UKR,1,,Kyiv (UKR),02 JUL 2008,1166,women_HT,2008,https://worldathletics.org/athletes/athlete=14304134,toplist
10,74.40,,Manuela MONTEBRUN,13 NOV 1979,FRA,1,,Castres (FRA),15 JUL 2008,1164,women_HT,2008,https://worldathletics.org/athletes/athlete=14273210,toplist
11,74.32,,Wenxiu ZHANG,22 MAR 1986,CHN,2,,"National Stadium, Beijing (CHN)",20 AUG 2008,1163,women_HT,2008,https://worldathletics.org/athletes/athlete=14264385,toplist
12,74.11,,Betty HEIDLER,14 OCT 1983,GER,1,,Wiesbaden (GER),31 MAY 2008,1160,women_HT,2008,https://worldathletics.org/athletes/athlete=14277951,toplist
13,73.83,,Yelena MATOSHKO,23 JUN 1982,BLR,3,,Minsk (BLR),19 JUL 2008,1155,women_HT,2008,https://worldathletics.org/athletes/athlete=14269744,toplist
14,73.79,,Anna BULGAKOVA,17 JAN 1988,RUS,1,,Krasnodar (RUS),04 JUN 2008,1154,women_HT,2008,https://worldathletics.org/athletes/athlete=14297465,toplist
15,73.50,,Kamila SKOLIMOWSKA,04 NOV 1982,POL,1,,Warszawa (POL),15 JUN 2008,1150,women_HT,2008,https://worldathletics.org/athletes/athlete=14294418,toplist
16,73.40,,Stéphanie FALZON,07 JAN 1983,FRA,1,,Albi (FRA),26 JUL 2008,1148,women_HT,2008,https://worldathletics.org/athletes/athlete=14257573,toplist
17,72.80,,Anita WŁODARCZYK,08 AUG 1985,POL,1,,Biberach (GER),28 JUN 2008,1138,women_HT,2008,https://worldathletics.org/athletes/athlete=14294652,toplist
18,72.75,,Eileen O'KEEFFE,31 MAY 1981,IRL,1,,Dublin (IRL),19 JUL 2008,1138,women_HT,2008,https://worldathletics.org/athletes/athlete=14283338,toplist
19,72.46,,Clarissa CLARETTI,07 OCT 1980,ITA,1,,Cagliari (ITA),19 JUL 2008,1133,women_HT,2008,https://worldathletics.org/athletes/athlete=14284078,toplist
20,72.10,,Styliani PAPADOPOULOU,15 MAR 1982,GRE,1,,Nikiti (GRE),20 JUL 2008,1127,women_HT,2008,https://worldathletics.org/athletes/athlete=14280838,toplist
21,71.92,,Yelena RIGERT,02 DEC 1983,RUS,2,,Tula (RUS),05 JUL 2008,1124,women_HT,2008,https://worldathletics.org/athletes/athlete=14299014,toplist
22,71.82,,Iryna NOVOZHYLOVA,07 JAN 1986,UKR,2,,Kyiv (UKR),02 JUL 2008,1123,women_HT,2008,https://worldathletics.org/athletes/athlete=14303970,toplist
