Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,71.74,,Ziyi YAN,22 MAY 2008,CHN,1,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1296,women_JT,2026,https://worldathletics.org/athletes/pr-of-china/ziyi-yan-15144603
2,67.34,,Flor Denis RUIZ HURTADO,29 JAN 1991,COL,1,,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",04 AUG 2026,1214,women_JT,2026,https://worldathletics.org/athletes/athlete=14369335
3,65.00,,Sigrid BORGE,03 DEC 1995,NOR,2,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1171,women_JT,2026,https://worldathletics.org/athletes/athlete=14481209
4,64.90,,Haruka KITAGUCHI,16 MAR 1998,JPN,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",21 AUG 2026,1169,women_JT,2026,https://worldathletics.org/athletes/athlete=14649131
5,63.88,,Madison WILTROUT,04 JUN 1999,USA,1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",23 MAY 2026,1150,women_JT,2026,https://worldathletics.org/athletes/athlete=14647649
6,63.83,,Adriana VILAGOŠ,02 JAN 2004,SRB,2,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1149,women_JT,2026,https://worldathletics.org/athletes/athlete=14791117
7,63.50,,Momone UEDA,27 JUN 1999,JPN,1,,"Uniwersytetu Warmińsko-Mazurskiego, Olsztyn (POL)",30 AUG 2026,1143,women_JT,2026,https://worldathletics.org/athletes/athlete=14766656
8,62.78,,Maria ANDREJCZYK,09 MAR 1996,POL,1,,"Stadion Podskarbińska, Warszawa (POL)",07 JUN 2026,1130,women_JT,2026,https://worldathletics.org/athletes/athlete=14500245
9,62.61,,Sara KOLAK,22 JUN 1995,CRO,2,,"Mestský Stadion, Ostrava (CZE)",16 JUN 2026,1126,women_JT,2026,https://worldathletics.org/athletes/athlete=14380461
10,62.54,,Lianna DAVIDSON,08 NOV 2002,AUS,1f1,,"Spec Towns Track, Athens, GA (USA)",02 MAY 2026,1125,women_JT,2026,https://worldathletics.org/athletes/athlete=14787531
11,62.42,,Qianqian DAI,23 AUG 2000,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1123,women_JT,2026,https://worldathletics.org/athletes/athlete=14748837
12,62.33,,Leonie HÜGLI,11 APR 2005,SUI,1q1,,"Alexander Stadium, Birmingham (GBR)",14 AUG 2026,1121,women_JT,2026,https://worldathletics.org/athletes/switzerland/leonie-hugli-14945013
