Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Ziyi YAN,22 MAY 2008,71.74,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,1.,dl_meeting
Sigrid BORGE,03 DEC 1995,65.00,NOR,Wanda Diamond League Xiamen,23 MAY 2026,2026,2.,dl_meeting
Adriana VILAGOŠ,02 JAN 2004,63.64,SRB,Wanda Diamond League Xiamen,23 MAY 2026,2026,3.,dl_meeting
Maria ANDREJCZYK,09 MAR 1996,62.51,POL,Wanda Diamond League Xiamen,23 MAY 2026,2026,4.,dl_meeting
Flor Denis RUIZ HURTADO,29 JAN 1991,60.84,COL,Wanda Diamond League Xiamen,23 MAY 2026,2026,5.,dl_meeting
Tori MOORBY,17 MAY 1994,60.37,NZL,Wanda Diamond League Xiamen,23 MAY 2026,2026,6.,dl_meeting
Haruka KITAGUCHI,16 MAR 1998,60.08,JPN,Wanda Diamond League Xiamen,23 MAY 2026,2026,7.,dl_meeting
Qianqian DAI,23 AUG 2000,59.20,CHN,Wanda Diamond League Xiamen,23 MAY 2026,2026,8.,dl_meeting
Małgorzata MAŚLAK-GLUGLA,24 JAN 2001,58.59,POL,Wanda Diamond League Xiamen,23 MAY 2026,2026,9.,dl_meeting
Elina TZENGKO,02 SEP 2002,55.96,GRE,Wanda Diamond League Xiamen,23 MAY 2026,2026,10.,dl_meeting
Ziyi YAN,22 MAY 2008,67.11,CHN,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Sigrid BORGE,03 DEC 1995,61.92,NOR,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Adriana VILAGOŠ,02 JAN 2004,61.33,SRB,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Flor Denis RUIZ HURTADO,29 JAN 1991,61.11,COL,Oslo Bislett Games,10 JUN 2026,2026,4.,dl_meeting
Anete SIETIŅA,05 FEB 1996,59.72,LAT,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Juleisy ANGULO,02 JAN 2001,57.58,ECU,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Marie-Therese OBST,07 JAN 1996,56.37,NOR,Oslo Bislett Games,10 JUN 2026,2026,7.,dl_meeting
Nikola OGRODNÍKOVÁ,18 AUG 1990,55.94,CZE,Oslo Bislett Games,10 JUN 2026,2026,8.,dl_meeting
Elina TZENGKO,02 SEP 2002,53.75,GRE,Oslo Bislett Games,10 JUN 2026,2026,9.,dl_meeting
Ziyi YAN,22 MAY 2008,67.44,CHN,Meeting de Paris,28 JUN 2026,2026,1.,dl_meeting
Adriana VILAGOŠ,02 JAN 2004,63.83,SRB,Meeting de Paris,28 JUN 2026,2026,2.,dl_meeting
Haruka KITAGUCHI,16 MAR 1998,63.01,JPN,Meeting de Paris,28 JUN 2026,2026,3.,dl_meeting
Alizée MINARD,06 MAY 1997,61.51,FRA,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Flor Denis RUIZ HURTADO,29 JAN 1991,61.23,COL,Meeting de Paris,28 JUN 2026,2026,5.,dl_meeting
Jade MARAVAL,06 JUN 2002,59.97,FRA,Meeting de Paris,28 JUN 2026,2026,6.,dl_meeting
Maria ANDREJCZYK,09 MAR 1996,59.58,POL,Meeting de Paris,28 JUN 2026,2026,7.,dl_meeting
Sara KOLAK,22 JUN 1995,58.35,CRO,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Sigrid BORGE,03 DEC 1995,56.92,NOR,Meeting de Paris,28 JUN 2026,2026,9.,dl_meeting
Tori MOORBY,17 MAY 1994,55.89,NZL,Meeting de Paris,28 JUN 2026,2026,10.,dl_meeting
Elina TZENGKO,02 SEP 2002,54.35,GRE,Meeting de Paris,28 JUN 2026,2026,11.,dl_meeting
Juleisy ANGULO,02 JAN 2001,52.91,ECU,Meeting de Paris,28 JUN 2026,2026,12.,dl_meeting
Anete SIETIŅA,05 FEB 1996,NM,LAT,Meeting de Paris,28 JUN 2026,2026,,dl_meeting
Ziyi YAN,22 MAY 2008,68.75,CHN,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,1.,dl_meeting
Adriana VILAGOŠ,02 JAN 2004,63.18,SRB,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,2.,dl_meeting
Elina TZENGKO,02 SEP 2002,58.20,GRE,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,3.,dl_meeting
Anete SIETIŅA,05 FEB 1996,57.67,LAT,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,4.,dl_meeting
Mackenzie LITTLE,22 DEC 1996,57.62,AUS,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,5.,dl_meeting
Alizée MINARD,06 MAY 1997,57.06,FRA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,6.,dl_meeting
Jo-Ane DU PLESSIS,03 OCT 1997,56.64,RSA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,7.,dl_meeting
Sigrid BORGE,03 DEC 1995,56.57,NOR,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,8.,dl_meeting
Haruka KITAGUCHI,16 MAR 1998,56.24,JPN,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,9.,dl_meeting
Flor Denis RUIZ HURTADO,29 JAN 1991,NM,COL,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,,dl_meeting
Haruka KITAGUCHI,16 MAR 1998,64.90,JPN,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Flor Denis RUIZ HURTADO,29 JAN 1991,64.29,COL,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Adriana VILAGOŠ,02 JAN 2004,62.28,SRB,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Mackenzie LITTLE,22 DEC 1996,61.13,AUS,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Sara KOLAK,22 JUN 1995,59.77,CRO,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Madison WILTROUT,04 JUN 1999,58.81,USA,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Anete SIETIŅA,05 FEB 1996,58.73,LAT,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Sigrid BORGE,03 DEC 1995,58.54,NOR,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Leonie HÜGLI,11 APR 2005,53.83,SUI,Athletissima Lausanne,21 AUG 2026,2026,9.,dl_meeting
