Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
1,7.20,+1.2,Tara DAVIS-WOODHALL,20 MAY 1999,USA,,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",14 JUN 2026,1262,women_LJ,2026
2,7.12,+1.8,Larissa IAPICHINO,18 JUL 2002,ITA,2,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1244,women_LJ,2026
3,7.09,-0.2,Alyssa JONES,06 FEB 2004,USA,1q4,,"John McDonnell Field, Fayetteville, AR (USA)",28 MAY 2026,1239,women_LJ,2026
4,7.07,+1.4,Alexis BROWN,26 APR 2001,USA,1f1,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2026,1233,women_LJ,2026
5,7.05,+1.2,Malaika MIHAMBO,03 FEB 1994,GER,1,,"Olympic Stadium, London (GBR)",18 JUL 2026,1229,women_LJ,2026
6,6.98,+0.9,Hilary KPATCHA,05 MAY 1998,FRA,1,,"Stadium Municipal, Albi (FRA)",24 JUL 2026,1213,women_LJ,2026
7,6.97,,Agate DE SOUSA,05 JUN 2000,POR,1,,"Gallur, Madrid (ESP) (i)",06 FEB 2026,1211,women_LJ,2026
8,6.95,+0.3,Monae' NICHOLS,24 NOV 1998,USA,,,"Ansin Sports Complex, Miramar, FL (USA)",04 APR 2026,1207,women_LJ,2026
9,6.94,+1.2,Claire BRYANT,25 AUG 2001,USA,2,,"Olympic Stadium, London (GBR)",18 JUL 2026,1205,women_LJ,2026
10,6.89,+1.7,Maja ÅSKAG,18 DEC 2002,SWE,1,,"Sola Arena, Karlstad (SWE)",08 JUL 2026,1194,women_LJ,2026
11,6.88,+0.7,Ancy SOJAN EDAPPILLY,01 MAR 2001,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",27 JUN 2026,1191,women_LJ,2026
12,6.86,,Jasmine MOORE,01 MAY 2001,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",13 FEB 2026,1187,women_LJ,2026
12,6.86,+1.0,Tessy EBOSELE,28 JUL 2002,ESP,1,,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",01 JUL 2026,1187,women_LJ,2026
12,6.86,+1.6,Yanis DAVID,12 DEC 1997,FRA,2,,"Stadium Municipal, Albi (FRA)",24 JUL 2026,1187,women_LJ,2026
15,6.85,,Sophia BECKMON,17 AUG 2005,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",30 JAN 2026,1185,women_LJ,2026
15,6.85,+1.1,Fátima DIAME,22 SEP 1996,ESP,2,,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",01 JUL 2026,1185,women_LJ,2026
15,6.85,-1.3,Fleur JONG,17 DEC 1995,NED,1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1192,women_LJ,2026
18,6.84,+1.3,Delta AMIDZOVSKI,23 AUG 2006,AUS,1q1,,"Olympic Park, Sydney (AUS)",10 APR 2026,1183,women_LJ,2026
