Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Monae' NICHOLS,24 NOV 1998,6.89,USA,Wanda Diamond League,16 MAY 2026,2026,1.,dl_meeting
Natalia LINARES,03 JAN 2003,6.78,COL,Wanda Diamond League,16 MAY 2026,2026,2.,dl_meeting
Alexis BROWN,26 APR 2001,6.75,USA,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Claire BRYANT,25 AUG 2001,6.70,USA,Wanda Diamond League,16 MAY 2026,2026,4.,dl_meeting
Larissa IAPICHINO,18 JUL 2002,6.69,ITA,Wanda Diamond League,16 MAY 2026,2026,5.,dl_meeting
Shiqi XIONG,09 MAR 2004,6.65,CHN,Wanda Diamond League,16 MAY 2026,2026,6.,dl_meeting
Pauline HONDEMA,28 MAR 2000,6.63,NED,Wanda Diamond League,16 MAY 2026,2026,7.,dl_meeting
Mengyi TAN,05 SEP 2002,6.46,CHN,Wanda Diamond League,16 MAY 2026,2026,8.,dl_meeting
Quanesha BURKS,15 MAR 1995,6.26,USA,Wanda Diamond League,16 MAY 2026,2026,9.,dl_meeting
Hilary KPATCHA,05 MAY 1998,6.85,FRA,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Larissa IAPICHINO,18 JUL 2002,6.84,ITA,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Nia ROBINSON,08 NOV 2001,6.80,JAM,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Monae' NICHOLS,24 NOV 1998,6.74,USA,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Agate DE SOUSA,05 JUN 2000,6.70,POR,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Malaika MIHAMBO,03 FEB 1994,6.70,GER,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Claire BRYANT,25 AUG 2001,6.69,USA,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Ayla HALLBERG HOSSAIN,23 DEC 2006,6.63,SWE,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Alexis BROWN,26 APR 2001,6.62,USA,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Maja ÅSKAG,18 DEC 2002,6.56,SWE,BAUHAUS-Galan,07 JUN 2026,2026,10.,dl_meeting
Larissa IAPICHINO,18 JUL 2002,6.78,ITA,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Nia ROBINSON,08 NOV 2001,6.78,JAM,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Ayla HALLBERG HOSSAIN,23 DEC 2006,6.61,SWE,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Hilary KPATCHA,05 MAY 1998,6.57,FRA,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Maja ÅSKAG,18 DEC 2002,6.43,SWE,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Tara DAVIS-WOODHALL,20 MAY 1999,7.13,USA,Prefontaine Classic,04 JUL 2026,2026,1.,dl_meeting
Larissa IAPICHINO,18 JUL 2002,7.12,ITA,Prefontaine Classic,04 JUL 2026,2026,2.,dl_meeting
Monae' NICHOLS,24 NOV 1998,7.05,USA,Prefontaine Classic,04 JUL 2026,2026,3.,dl_meeting
Alyssa JONES,06 FEB 2004,6.99,USA,Prefontaine Classic,04 JUL 2026,2026,4.,dl_meeting
Malaika MIHAMBO,03 FEB 1994,6.92,GER,Prefontaine Classic,04 JUL 2026,2026,5.,dl_meeting
Maja ÅSKAG,18 DEC 2002,6.80,SWE,Prefontaine Classic,04 JUL 2026,2026,6.,dl_meeting
Hilary KPATCHA,05 MAY 1998,6.74,FRA,Prefontaine Classic,04 JUL 2026,2026,7.,dl_meeting
Alexis BROWN,26 APR 2001,6.61,USA,Prefontaine Classic,04 JUL 2026,2026,8.,dl_meeting
Claire BRYANT,25 AUG 2001,6.58,USA,Prefontaine Classic,04 JUL 2026,2026,9.,dl_meeting
Monae' NICHOLS,24 NOV 1998,6.82,USA,Prefontaine Classic,04 JUL 2026,2026,,dl_meeting
Malaika MIHAMBO,03 FEB 1994,7.05,GER,Novuna London Athletics Meet,18 JUL 2026,2026,1.,dl_meeting
Claire BRYANT,25 AUG 2001,6.94,USA,Novuna London Athletics Meet,18 JUL 2026,2026,2.,dl_meeting
Larissa IAPICHINO,18 JUL 2002,6.82,ITA,Novuna London Athletics Meet,18 JUL 2026,2026,3.,dl_meeting
Hilary KPATCHA,05 MAY 1998,6.72,FRA,Novuna London Athletics Meet,18 JUL 2026,2026,4.,dl_meeting
