Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,4.95,,Nina KENNEDY,05 APR 1997,AUS,1,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1255,women_PV,2026,https://worldathletics.org/athletes/athlete=14407592
2,4.91,,Polina KNOROZ,20 JUL 1999,RUS,1,,"Olympic Stadium, Cheboksary (RUS)",20 JUN 2026,1242,women_PV,2026,https://worldathletics.org/athletes/athlete=14623073
3,4.90,,Sandi MORRIS,08 JUL 1992,USA,1,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1239,women_PV,2026,https://worldathletics.org/athletes/athlete=14373498
3,4.90,,Hana MOLL,31 JAN 2005,USA,1,,"Haputbahnhof, Zürich (SUI)",26 AUG 2026,1239,women_PV,2026,https://worldathletics.org/athletes/athlete=14912947
5,4.85,,Molly CAUDERY,17 MAR 2000,GBR,1,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",22 MAR 2026,1224,women_PV,2026,https://worldathletics.org/athletes/athlete=14688948
5,4.85,,Angelica MOSER,09 OCT 1997,SUI,2,,"Haputbahnhof, Zürich (SUI)",26 AUG 2026,1224,women_PV,2026,https://worldathletics.org/athletes/athlete=14450465
7,4.84,,Amanda MOLL,31 JAN 2005,USA,1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1220,women_PV,2026,https://worldathletics.org/athletes/athlete=14906783
8,4.81,,Eliza MCCARTNEY,11 DEC 1996,NZL,1,,"Douglas Track & Field, Auckland (NZL)",07 MAR 2026,1211,women_PV,2026,https://worldathletics.org/athletes/athlete=14464500
8,4.81,,Imogen AYRIS,12 DEC 2000,NZL,1,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1211,women_PV,2026,https://worldathletics.org/athletes/athlete=14668954
8,4.81,,Wilma HELTELÄ,11 JUN 1998,FIN,1,,"Pl. Panathinaikou Stadiou, Athina (GRE)",05 JUL 2026,1211,women_PV,2026,https://worldathletics.org/athletes/athlete=14486887
