Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Nina KENNEDY,05 APR 1997,4.80,AUS,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,1.,dl_meeting
Imogen AYRIS,12 DEC 2000,4.70,NZL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,2.,dl_meeting
Katie MOON,13 JUN 1991,4.70,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Angelica MOSER,09 OCT 1997,4.70,SUI,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,3.,dl_meeting
Olivia MCTAGGART,09 JAN 2000,4.60,NZL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Emily GROVE,22 MAY 1993,4.60,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,5.,dl_meeting
Molly CAUDERY,17 MAR 2000,4.60,GBR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,7.,dl_meeting
Tina ŠUTEJ,07 NOV 1988,4.45,SLO,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,8.,dl_meeting
Sandi MORRIS,08 JUL 1992,4.45,USA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Marie-Julie BONNIN,17 DEC 2001,4.45,FRA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,10.,dl_meeting
Molly CAUDERY,17 MAR 2000,4.80,GBR,Golden Gala Pietro Mennea,04 JUN 2026,2026,1.,dl_meeting
Nina KENNEDY,05 APR 1997,4.80,AUS,Golden Gala Pietro Mennea,04 JUN 2026,2026,2.,dl_meeting
Angelica MOSER,09 OCT 1997,4.80,SUI,Golden Gala Pietro Mennea,04 JUN 2026,2026,3.,dl_meeting
Tina ŠUTEJ,07 NOV 1988,4.70,SLO,Golden Gala Pietro Mennea,04 JUN 2026,2026,4.,dl_meeting
Sandi MORRIS,08 JUL 1992,4.60,USA,Golden Gala Pietro Mennea,04 JUN 2026,2026,5.,dl_meeting
Amálie ŠVÁBÍKOVÁ,22 NOV 1999,4.45,CZE,Golden Gala Pietro Mennea,04 JUN 2026,2026,6.,dl_meeting
Elisa MOLINAROLO,29 JAN 1994,4.45,ITA,Golden Gala Pietro Mennea,04 JUN 2026,2026,7.,dl_meeting
Eliza MCCARTNEY,11 DEC 1996,4.30,NZL,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
Olivia MCTAGGART,09 JAN 2000,4.30,NZL,Golden Gala Pietro Mennea,04 JUN 2026,2026,8.,dl_meeting
Angelica MOSER,09 OCT 1997,4.77,SUI,Meeting de Paris,28 JUN 2026,2026,1.,dl_meeting
Eliza MCCARTNEY,11 DEC 1996,4.70,NZL,Meeting de Paris,28 JUN 2026,2026,2.,dl_meeting
Nina KENNEDY,05 APR 1997,4.70,AUS,Meeting de Paris,28 JUN 2026,2026,3.,dl_meeting
Emily GROVE,22 MAY 1993,4.60,USA,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Tina ŠUTEJ,07 NOV 1988,4.60,SLO,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Gabriela LEON,17 JUN 1999,4.60,USA,Meeting de Paris,28 JUN 2026,2026,6.,dl_meeting
Imogen AYRIS,12 DEC 2000,4.60,NZL,Meeting de Paris,28 JUN 2026,2026,7.,dl_meeting
Olivia MCTAGGART,09 JAN 2000,4.45,NZL,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Berenice PETIT,23 NOV 1998,4.45,FRA,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Brynn KING,22 AUG 2000,4.45,USA,Meeting de Paris,28 JUN 2026,2026,10.,dl_meeting
Marie-Julie BONNIN,17 DEC 2001,4.45,FRA,Meeting de Paris,28 JUN 2026,2026,11.,dl_meeting
Wilma HELTELÄ,11 JUN 1998,4.45,FIN,Meeting de Paris,28 JUN 2026,2026,11.,dl_meeting
Nina KENNEDY,05 APR 1997,4.95,AUS,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,1.,dl_meeting
Amanda MOLL,31 JAN 2005,4.72,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,2.,dl_meeting
Emily GROVE,22 MAY 1993,4.62,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,3.,dl_meeting
Angelica MOSER,09 OCT 1997,4.62,SUI,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,3.,dl_meeting
Katie MOON,13 JUN 1991,4.62,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,5.,dl_meeting
Tina ŠUTEJ,07 NOV 1988,4.62,SLO,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,5.,dl_meeting
Hana MOLL,31 JAN 2005,4.52,USA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,7.,dl_meeting
Imogen AYRIS,12 DEC 2000,4.37,NZL,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,8.,dl_meeting
Marie-Julie BONNIN,17 DEC 2001,4.37,FRA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,9.,dl_meeting
Moana PEYRARD,10 AUG 2008,NM,FRA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,,dl_meeting
Hana MOLL,31 JAN 2005,4.84,USA,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Angelica MOSER,09 OCT 1997,4.74,SUI,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Katie MOON,13 JUN 1991,4.64,USA,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Sandi MORRIS,08 JUL 1992,4.64,USA,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Imogen AYRIS,12 DEC 2000,4.64,NZL,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Eliza MCCARTNEY,11 DEC 1996,4.50,NZL,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Tina ŠUTEJ,07 NOV 1988,4.50,SLO,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
Wilma HELTELÄ,11 JUN 1998,4.50,FIN,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Emily GROVE,22 MAY 1993,4.50,USA,Athletissima Lausanne,21 AUG 2026,2026,9.,dl_meeting
Margot CHEVRIER,21 DEC 1999,4.36,FRA,Athletissima Lausanne,21 AUG 2026,2026,10.,dl_meeting
Hana MOLL,31 JAN 2005,4.90,USA,Weltklasse Zürich,26 AUG 2026,2026,1.,dl_meeting
Angelica MOSER,09 OCT 1997,4.85,SUI,Weltklasse Zürich,26 AUG 2026,2026,2.,dl_meeting
Katie MOON,13 JUN 1991,4.75,USA,Weltklasse Zürich,26 AUG 2026,2026,3.,dl_meeting
Sandi MORRIS,08 JUL 1992,4.75,USA,Weltklasse Zürich,26 AUG 2026,2026,3.,dl_meeting
Tina ŠUTEJ,07 NOV 1988,4.75,SLO,Weltklasse Zürich,26 AUG 2026,2026,5.,dl_meeting
Imogen AYRIS,12 DEC 2000,4.75,NZL,Weltklasse Zürich,26 AUG 2026,2026,6.,dl_meeting
Emily GROVE,22 MAY 1993,4.65,USA,Weltklasse Zürich,26 AUG 2026,2026,7.,dl_meeting
Eliza MCCARTNEY,11 DEC 1996,4.65,NZL,Weltklasse Zürich,26 AUG 2026,2026,8.,dl_meeting
Marie-Julie BONNIN,17 DEC 2001,4.65,FRA,Weltklasse Zürich,26 AUG 2026,2026,9.,dl_meeting
Lea BACHMANN,25 JUN 1996,NM,SUI,Weltklasse Zürich,26 AUG 2026,2026,,dl_meeting
