Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Jessica SCHILDER,19 MAR 1999,21.09,NED,Wanda Diamond League,16 MAY 2026,2026,1.,dl_meeting
Chase JACKSON,20 JUL 1994,20.46,USA,Wanda Diamond League,16 MAY 2026,2026,2.,dl_meeting
Sarah MITTON,20 JUN 1996,20.42,CAN,Wanda Diamond League,16 MAY 2026,2026,3.,dl_meeting
Fanny ROOS,02 JAN 1995,19.26,SWE,Wanda Diamond League,16 MAY 2026,2026,4.,dl_meeting
Danniel THOMAS-DODD,11 NOV 1992,19.12,JAM,Wanda Diamond League,16 MAY 2026,2026,5.,dl_meeting
Jiayuan SONG,15 SEP 1997,18.85,CHN,Wanda Diamond League,16 MAY 2026,2026,6.,dl_meeting
Jaida ROSS,29 OCT 2001,18.79,USA,Wanda Diamond League,16 MAY 2026,2026,7.,dl_meeting
Linru ZHANG,23 SEP 1999,18.17,CHN,Wanda Diamond League,16 MAY 2026,2026,9.,dl_meeting
Maggie EWEN,23 SEP 1994,17.95,USA,Wanda Diamond League,16 MAY 2026,2026,10.,dl_meeting
Jessica SCHILDER,19 MAR 1999,20.89,NED,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Chase JACKSON,20 JUL 1994,19.91,USA,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Sarah MITTON,20 JUN 1996,19.89,CAN,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Fanny ROOS,02 JAN 1995,18.90,SWE,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Danniel THOMAS-DODD,11 NOV 1992,18.56,JAM,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Abria SMITH,25 JAN 2002,18.50,USA,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Maggie EWEN,23 SEP 1994,17.93,USA,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Jaida ROSS,29 OCT 2001,17.80,USA,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Auriol DONGMO,03 AUG 1990,17.45,POR,BAUHAUS-Galan,07 JUN 2026,2026,10.,dl_meeting
Chase JACKSON,20 JUL 1994,20.74,USA,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Jessica SCHILDER,19 MAR 1999,20.11,NED,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Sarah MITTON,20 JUN 1996,19.89,CAN,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Jaida ROSS,29 OCT 2001,19.08,USA,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Danniel THOMAS-DODD,11 NOV 1992,18.83,JAM,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Fanny ROOS,02 JAN 1995,18.63,SWE,Oslo Bislett Games,10 JUN 2026,2026,7.,dl_meeting
Maggie EWEN,23 SEP 1994,17.56,USA,Oslo Bislett Games,10 JUN 2026,2026,8.,dl_meeting
Sarah MITTON,20 JUN 1996,19.99,CAN,Meeting de Paris,28 JUN 2026,2026,1.,dl_meeting
Jessica SCHILDER,19 MAR 1999,19.88,NED,Meeting de Paris,28 JUN 2026,2026,3.,dl_meeting
Axelina JOHANSSON,20 APR 2000,19.25,SWE,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Fanny ROOS,02 JAN 1995,19.17,SWE,Meeting de Paris,28 JUN 2026,2026,5.,dl_meeting
Danniel THOMAS-DODD,11 NOV 1992,18.88,JAM,Meeting de Paris,28 JUN 2026,2026,6.,dl_meeting
Abria SMITH,25 JAN 2002,18.46,USA,Meeting de Paris,28 JUN 2026,2026,7.,dl_meeting
Jaida ROSS,29 OCT 2001,18.18,USA,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Adelaide AQUILLA,03 MAR 1999,18.09,USA,Meeting de Paris,28 JUN 2026,2026,9.,dl_meeting
Chase JACKSON,20 JUL 1994,20.56,USA,Prefontaine Classic,04 JUL 2026,2026,1.,dl_meeting
Jessica SCHILDER,19 MAR 1999,20.11,NED,Prefontaine Classic,04 JUL 2026,2026,2.,dl_meeting
Fanny ROOS,02 JAN 1995,19.70,SWE,Prefontaine Classic,04 JUL 2026,2026,3.,dl_meeting
Sarah MITTON,20 JUN 1996,19.61,CAN,Prefontaine Classic,04 JUL 2026,2026,4.,dl_meeting
Jorinde VAN KLINKEN,02 FEB 2000,19.06,NED,Prefontaine Classic,04 JUL 2026,2026,6.,dl_meeting
Axelina JOHANSSON,20 APR 2000,18.84,SWE,Prefontaine Classic,04 JUL 2026,2026,7.,dl_meeting
Jaida ROSS,29 OCT 2001,18.74,USA,Prefontaine Classic,04 JUL 2026,2026,8.,dl_meeting
Maggie EWEN,23 SEP 1994,18.47,USA,Prefontaine Classic,04 JUL 2026,2026,9.,dl_meeting
Maddison-Lee WESCHE,13 JUN 1999,17.71,NZL,Prefontaine Classic,04 JUL 2026,2026,10.,dl_meeting
