Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,14.96,0.1,Caterine IBARGUEN,12 FEB 1984,COL,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1216.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14263994,toplist
2.0,14.84,0.0,Tori FRANKLIN,07 OCT 1992,USA,1,,Baie Mahault (FRA),12 MAY 2018,1204.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14425445,toplist
3.0,14.69,1.3,Nubia SOARES,26 MAR 1996,BRA,1,,Sotteville-lès-Rouen (FRA),17 JUL 2018,1188.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14530395,toplist
4.0,14.66,2.0,Yekaterina KONEVA,25 SEP 1988,RUS,,,Kazan (RUS),22 JUL 2018,1185.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14298189,toplist
5.0,14.64,0.7,Kimberly WILLIAMS,03 NOV 1988,JAM,1,,Gold Coast (AUS),10 APR 2018,1183.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14285998,toplist
6.0,14.63,,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1182.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14436431,toplist
7.0,14.62,1.5,Keturah ORJI,05 MAR 1996,USA,1,,"Knoxville, TN (USA)",12 MAY 2018,1181.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14503156,toplist
8.0,14.61,0.8,Shanieka RICKETTS,02 FEB 1992,JAM,1,,London (GBR),15 JUL 2018,1180.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14413464,toplist
9.0,14.6,1.7,Paraskevi PAPACHRISTOU,17 APR 1989,GRE,,,Stara Zagora (BUL),20 JUL 2018,1179.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14280843,toplist
10.0,14.55,-0.2,Ana PELETEIRO,02 DEC 1995,ESP,1,,Getafe (ESP),22 JUL 2018,1175.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14454805,toplist
11.0,14.47,1.4,Andreea PANȚUROIU,24 FEB 1995,ROU,1,,Montreuil (FRA),19 JUN 2018,1166.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14408349,toplist
11.0,14.47,1.6,Yosiris URRUTIA,26 JUN 1986,COL,,,Barranquilla (COL),01 AUG 2018,1166.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14263900,toplist
13.0,14.45,-0.5,Kristin GIERISCH,20 AUG 1990,GER,2,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1167.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14277718,toplist
14.0,14.44,,Viktoriya PROKOPENKO,17 APR 1991,ANA,1,,Moskva (RUS) (i),03 FEB 2018,1162.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14442670,toplist
15.0,14.43,0.4,Jeanine ASSANI ISSOUF,17 AUG 1992,FRA,1,,Albi (FRA),08 JUL 2018,1161.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14334954,toplist
16.0,14.41,-0.9,Hanna MINENKO,25 SEP 1989,ISR,2q1,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1164.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14303717,toplist
17.0,14.4,0.8,Gabriela PETROVA,29 JUN 1992,BUL,1,,Plovdiv (BUL),19 MAY 2018,1158.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14268585,toplist
18.0,14.33,-0.4,Neele ECKHARDT,02 JUL 1992,GER,3q1,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1153.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14277447,toplist
19.0,14.31,0.3,Kristiina MÄKELÄ,20 NOV 1992,FIN,1,,Jyväskylä (FIN),21 JUL 2018,1149.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14365370,toplist
19.0,14.31,-0.1,Rouguy DIALLO,05 FEB 1995,FRA,1q2,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1149.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14410309,toplist
21.0,14.3,,Iryna VASKOUSKAYA,02 APR 1991,BLR,1,,Gomel (BLR) (i),03 FEB 2018,1148.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14404033,toplist
21.0,14.3,-0.5,Liadagmis POVEA,06 FEB 1996,CUB,1,,"CNDA, Bragança Paulista (BRA)",08 JUL 2018,1151.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14574170,toplist
23.0,14.26,0.0,Olga RYPAKOVA,30 NOV 1984,KAZ,1,,Jakarta (INA),30 AUG 2018,1144.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14288693,toplist
24.0,14.24,1.3,Anna JAGACIAK,10 FEB 1990,POL,1,,Lublin (POL),20 JUL 2018,1142.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14293741,toplist
25.0,14.22,-0.8,Ana Lucia JOSE TIMA,10 OCT 1989,DOM,2,,Kingston (JAM),09 JUN 2018,1144.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14369521,toplist
26.0,14.2,1.4,Olha SALADUKHA,04 JUN 1983,UKR,1,,Chania (GRE),02 JUN 2018,1138.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14304115,toplist
26.0,14.2,-2.9,Darya NIDBAYKINA,26 DEC 1994,RUS,2,,Zhukovskiy (RUS),13 JUN 2018,1155.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14513831,toplist
28.0,14.19,1.9,Patrícia MAMONA,21 NOV 1988,POR,3,,Sotteville-lès-Rouen (FRA),17 JUL 2018,1137.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14294964,toplist
29.0,14.18,1.6,Aleksandra NACHEVA,20 AUG 2001,BUL,1,,"Ratinan Stadion, Tampere (FIN)",15 JUL 2018,1136.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14705690,toplist
30.0,14.17,1.0,Parinya CHUAIMAROENG,16 DEC 1997,THA,1,,Taipei City (TPE),25 MAY 2018,1135.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14603339,toplist
30.0,14.17,-1.5,Susana COSTA,22 SEP 1984,POR,7q1,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1144.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14294840,toplist
32.0,14.15,0.4,Yanis DAVID,12 DEC 1997,FRA,1,,Tarragona (ESP),27 JUN 2018,1133.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14463702,toplist
32.0,14.15,0.2,Anna KRASUTSKA,20 JUL 1995,UKR,2,,Lutsk (UKR),21 JUL 2018,1133.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14400461,toplist
32.0,14.15,-1.6,Naomi OGBETA,18 APR 1998,GBR,4q2,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1142.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14590572,toplist
35.0,14.14,0.6,Valentina KOSOLAPOVA,11 JUL 1997,RUS,1,,Chelyabinsk (RUS),08 JUL 2018,1132.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14576069,toplist
36.0,14.13,,Dovilė DZINDZALETAITĖ,14 JUL 1993,LTU,3,,"Gallur, Madrid (ESP) (i)",08 FEB 2018,1131.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14363902,toplist
37.0,14.08,,Thea LAFOND,05 APR 1994,DMA,1,,"University Park, PA (USA) (i)",17 FEB 2018,1126.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14416826,toplist
37.0,14.08,1.4,Patricia SARRAPIO,16 NOV 1982,ESP,1,,Castellón (ESP),16 JUN 2018,1126.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14260478,toplist
39.0,14.07,,Ilionis GUILLAUME,13 JAN 1998,FRA,1,,Liévin (FRA) (i),17 FEB 2018,1125.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14516275,toplist
39.0,14.07,0.2,Irina EKTOVA,08 JAN 1987,KAZ,1,,Almaty (KAZ),30 JUN 2018,1125.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14288653,toplist
41.0,14.05,0.4,Ottavia CESTONARO,12 JAN 1995,ITA,2,,Tarragona (ESP),27 JUN 2018,1122.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14406580,toplist
41.0,14.05,1.2,Dariya DERKACH,27 MAR 1993,ITA,1,,Avila (ESP),10 JUL 2018,1122.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14363463,toplist
41.0,14.05,0.9,Tähti ALVER,04 DEC 1994,EST,1,,Tallinn (EST),28 JUL 2018,1122.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14362158,toplist
44.0,14.02,,Anna KRYLOVA,03 OCT 1985,RUS,3,,Moskva (RUS) (i),03 FEB 2018,1119.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14298358,toplist
44.0,14.02,,Natalya YEVDOKIMOVA,07 SEP 1993,RUS,4,,Moskva (RUS) (i),03 FEB 2018,1119.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14513833,toplist
44.0,14.02,1.9,Ivonne RANGEL,24 AUG 1993,MEX,1,,Queretaro (MEX),29 APR 2018,1119.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14375673,toplist
44.0,14.02,0.2,Anigbata CHINONYELUM,16 SEP 1998,NGR,1,,"Stephen Keshi Stadium, Asaba (NGR)",05 AUG 2018,1119.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14636845,toplist
48.0,14.0,1.1,Marie-Jose EBWEA BILE,07 FEB 1997,FRA,2,,"Fayetteville, AR (USA)",28 APR 2018,1117.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14501352,toplist
49.0,13.95,2.0,Viyaleta SKVARTSOVA,15 APR 1998,BLR,1,,Brest (BLR),25 MAY 2018,1112.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14687147,toplist
49.0,13.95,1.1,María VICENTE,28 MAR 2001,ESP,1,,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,1112.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14648429,toplist
49.0,13.95,-0.4,Jessie MADUKA,23 APR 1996,GER,5,,London (GBR),15 JUL 2018,1114.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14450062,toplist
52.0,13.93,0.0,Thi Men VU,10 JUL 1990,VIE,3,,Jakarta (INA),30 AUG 2018,1110.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14816365,toplist
53.0,13.92,0.3,Davisleydi VELAZCO,04 SEP 1999,CUB,1,,La Habana (CUB),23 FEB 2018,1109.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14663467,toplist
53.0,13.92,0.3,Fátima DIAME,22 SEP 1996,ESP,3,,Tarragona (ESP),27 JUN 2018,1109.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14458906,toplist
55.0,13.91,1.7,Sandisha ANTOINE,05 NOV 1991,LCA,5,,Barranquilla (COL),01 AUG 2018,1108.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14258746,toplist
56.0,13.9,-0.2,Keila COSTA,06 FEB 1983,BRA,3,,"CNDA, Bragança Paulista (BRA)",08 JUL 2018,1108.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14269284,toplist
56.0,13.9,1.1,Lecabela QUARESMA,26 DEC 1989,POR,,,Sotteville-lès-Rouen (FRA),17 JUL 2018,1107.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14295044,toplist
58.0,13.89,1.2,Chaquinn COOK,10 JUL 1997,USA,3,,"Torrance, CA (USA)",21 APR 2018,1106.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14692383,toplist
59.0,13.87,0.5,Jenny ELBE,18 APR 1990,GER,3,,Garbsen (GER),13 MAY 2018,1104.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14277482,toplist
59.0,13.87,1.8,Merilyn UUDMÄE,26 MAR 1991,EST,2,,Tallinn (EST),07 JUL 2018,1104.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14363051,toplist
59.0,13.87,0.0,Sokhna GALLE,23 APR 1994,FRA,4,,Albi (FRA),08 JUL 2018,1104.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14380808,toplist
62.0,13.86,0.9,Olha KORSUN,11 NOV 1996,UKR,3,,Lutsk (UKR),21 JUL 2018,1103.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14535102,toplist
63.0,13.85,,Fan RAO,01 JAN 1996,CHN,1,,Xianlin (CHN) (i),08 MAR 2018,1102.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14376361,toplist
64.0,13.84,1.6,Imani OLIVER,07 MAR 1993,USA,1,,"Auburn, AL (USA)",14 APR 2018,1101.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14440164,toplist
65.0,13.81,0.3,Liuba Maria ZALDÍVAR,05 APR 1993,ECU,1,,Cuenca (ECU),24 MAR 2018,1098.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14412596,toplist
65.0,13.81,1.7,Sanna NYGARD,22 MAR 1988,FIN,1,,Torremolinos (ESP),11 JUL 2018,1098.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14259168,toplist
65.0,13.81,1.5,Mirieli SANTOS,01 APR 1999,BRA,2,,"Ratinan Stadion, Tampere (FIN)",15 JUL 2018,1098.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14662630,toplist
68.0,13.79,-0.6,Ting CHEN,28 AUG 1997,CHN,1,,Guiyang (CHN),16 JUN 2018,1099.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14744970,toplist
69.0,13.78,,Andrea GEUBELLE,21 JUN 1991,USA,2,,"Albuquerque, NM (USA) (i)",17 FEB 2018,1095.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14329998,toplist
69.0,13.78,-1.8,Patience NTSHINGILA,26 AUG 1989,RSA,1,,Pretoria (RSA),16 MAR 2018,1105.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14361354,toplist
71.0,13.77,1.5,Dana VELĎÁKOVÁ,03 JUN 1981,SVK,1,,Tábor (CZE),18 JUL 2018,1094.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14301624,toplist
72.0,13.76,0.2,Giselly Andrea LANDAZURI,08 AUG 1992,COL,3,,Medellín (COL),28 APR 2018,1093.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14375674,toplist
72.0,13.76,1.6,Yelyzaveta BABIY,24 JUL 1997,UKR,4,,Lutsk (UKR),21 JUL 2018,1093.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14535093,toplist
72.0,13.76,0.2,Wupin WANG,18 JAN 1991,CHN,1,,Dalian (CHN),07 AUG 2018,1093.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14941411,toplist
75.0,13.75,1.2,Nadia EKE,11 JAN 1993,GHA,1,,"Columbia, SC (USA)",24 MAR 2018,1092.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14425444,toplist
75.0,13.75,-1.1,Laura SAMUEL,19 FEB 1991,GBR,2,,Birmingham (GBR),30 JUN 2018,1098.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14276265,toplist
75.0,13.75,0.0,Tamara MYERS,27 JUL 1993,BAH,2,,"Leonora Stadium, Leonora (GUY)",30 JUN 2018,1092.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14469981,toplist
78.0,13.74,1.6,Diana ZAGAINOVA,20 JUN 1997,LTU,2,,Ogre (LAT),15 JUN 2018,1091.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14565366,toplist
79.0,13.72,0.0,Thelma Nohemí FUENTES,20 AUG 1992,GUA,,,San Salvador (ESA),23 JUN 2018,1089.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14434898,toplist
80.0,13.69,,Jie CHEN,02 MAR 1998,CHN,2,,Xianlin (CHN) (i),08 MAR 2018,1086.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14691876,toplist
80.0,13.69,1.2,Jhoanmy LUQUE,20 DEC 1995,VEN,1,,"Des Moines, IA (USA)",28 APR 2018,1086.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14480205,toplist
82.0,13.68,1.0,Eva PEPELNAK,04 OCT 2000,SLO,4,,"Ratinan Stadion, Tampere (FIN)",15 JUL 2018,1085.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14589381,toplist
82.0,13.68,0.9,Xiaohong LI,08 JAN 1995,CHN,2,,Dalian (CHN),07 AUG 2018,1085.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14462015,toplist
84.0,13.67,1.8,Danellys DUTIL,12 FEB 1995,CUB,2,,Camagüey (CUB),04 FEB 2018,1084.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14418930,toplist
84.0,13.67,1.0,Oda Utsi ONSTAD,12 MAY 1990,NOR,1,,Nadderud (NOR),17 JUN 2018,1084.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14292747,toplist
84.0,13.67,1.3,Janne NIELSEN,24 APR 1993,DEN,,,Sotteville-lès-Rouen (FRA),17 JUL 2018,1084.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14448020,toplist
87.0,13.66,1.4,Luna FU,03 MAY 1995,CHN,1,,Zhuzhou (CHN),17 APR 2018,1083.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14462181,toplist
87.0,13.66,-0.1,Youqi PAN,10 JUL 2000,CHN,1,,Taiyuan (CHN),16 SEP 2018,1083.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14744726,toplist
89.0,13.65,0.0,Zinzi XULU,28 SEP 1996,RSA,1,,Sasolburg (RSA),27 APR 2018,1082.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14544117,toplist
89.0,13.65,0.3,Evelise VEIGA,03 MAR 1996,POR,2,,Jesolo (ITA),10 JUN 2018,1082.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14509493,toplist
91.0,13.64,0.4,Ying LI,29 MAR 1994,CHN,2,,Taiyuan (CHN),16 SEP 2018,1081.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14441107,toplist
92.0,13.63,-1.5,Caroline EHRHARDT,06 FEB 1992,CAN,4,,Toronto (CAN),12 AUG 2018,1089.0,women_TJ,2018,https://worldathletics.org/athletes/athlete=14329895,toplist
