Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,15.25,+1.8,Thea LAFOND,05 APR 1994,DMA,1,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1246,women_TJ,2026,https://worldathletics.org/athletes/athlete=14416826
2,15.13,+1.3,Davisleydi VELAZCO,04 SEP 1999,CUB,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1234,women_TJ,2026,https://worldathletics.org/athletes/athlete=14663467
3,15.08,+0.1,Saly SARR,14 OCT 2002,SEN,1,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1228,women_TJ,2026,https://worldathletics.org/athletes/athlete=14894836
4,15.06,-0.1,Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,CUB,1,,"Stade Louis II, Monaco (MON)",10 JUL 2026,1226,women_TJ,2026,https://worldathletics.org/athletes/athlete=14828679
5,14.95,,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Velódromo Luis Puig, Valencia (ESP) (i)",14 FEB 2026,1215,women_TJ,2026,https://worldathletics.org/athletes/athlete=14436431
6,14.71,+1.2,Liadagmis POVEA,06 FEB 1996,CUB,2,,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",03 AUG 2026,1190,women_TJ,2026,https://worldathletics.org/athletes/athlete=14574170
7,14.60,+1.9,Dariya DERKACH,27 MAR 1993,ITA,1,,"Alexander Stadium, Birmingham (GBR)",13 AUG 2026,1179,women_TJ,2026,https://worldathletics.org/athletes/athlete=14363463
8,14.56,+1.9,Diana Ana Maria ION,27 NOV 2000,ROU,1,,"Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)",04 JUL 2026,1175,women_TJ,2026,https://worldathletics.org/athletes/athlete=14629838
9,14.52,+1.4,Ilona MASSON,31 AUG 2001,BEL,1,,"Stade de Vongy, Thonon-les-Bains (FRA)",05 JUL 2026,1171,women_TJ,2026,https://worldathletics.org/athletes/athlete=14734871
10,14.50,+1.3,Ackelia SMITH,05 FEB 2002,JAM,4,,"Bislett Stadion, Oslo (NOR)",10 JUN 2026,1169,women_TJ,2026,https://worldathletics.org/athletes/athlete=14693884
10,14.50,+1.9,Neja FILIPIČ,22 APR 1995,SLO,1,,"Štadion Kladivar, Celje (SLO)",10 JUN 2026,1169,women_TJ,2026,https://worldathletics.org/athletes/athlete=14474496
10,14.50,+0.7,Erika Giorgia Anoeta SARACENI,21 MAY 2006,ITA,1q1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1169,women_TJ,2026,https://worldathletics.org/athletes/italy/erika-giorgia-anoeta-saraceni-14974281
13,14.41,,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1,,"Atletska dvorana, Beograd (SRB) (i)",28 JAN 2026,1159,women_TJ,2026,https://worldathletics.org/athletes/athlete=14300421
14,14.38,+0.6,Yekaterina KONEVA,25 SEP 1988,RUS,1,,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2026,1156,women_TJ,2026,https://worldathletics.org/athletes/athlete=14298189
15,14.37,+0.1,Gabriela PETROVA,29 JUN 1992,BUL,3,,"Kennedyplatz, Essen (GER)",21 JUN 2026,1155,women_TJ,2026,https://worldathletics.org/athletes/athlete=14268585
16,14.35,+0.2,Aleksandra NACHEVA,20 AUG 2001,BUL,1,,"ENKA Atletizm Pisti, Istanbul (TUR)",11 JUL 2026,1153,women_TJ,2026,https://worldathletics.org/athletes/athlete=14705690
17,14.33,,Jasmine MOORE,01 MAY 2001,USA,7,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",21 MAR 2026,1151,women_TJ,2026,https://worldathletics.org/athletes/athlete=14715853
17,14.33,0.0,Elena Andreea TALOȘ,24 FEB 1995,ROU,1,,"Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)",25 JUL 2026,1151,women_TJ,2026,https://worldathletics.org/athletes/athlete=14408349
19,14.28,,Agur DWOL,16 JUL 2004,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 FEB 2026,1146,women_TJ,2026,https://worldathletics.org/athletes/athlete=14931788
20,14.26,+0.9,Kira WITTMANN,13 JUL 2000,GER,2q1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1144,women_TJ,2026,https://worldathletics.org/athletes/athlete=14650718
21,14.25,-0.2,Anastasiya KOBYLYANSKIKH,17 AUG 2006,RUS,3,,"Luzhniki Stadion, Moskva (RUS)",05 JUN 2026,1144,women_TJ,2026,https://worldathletics.org/athletes/russia/anastasiya-kobylyanskikh-14968918
22,14.24,+0.7,Maja ÅSKAG,18 DEC 2002,SWE,3,,"Filothei Stadium, Athina (GRE)",03 JUN 2026,1142,women_TJ,2026,https://worldathletics.org/athletes/athlete=14774822
22,14.24,+1.2,Shantae FOREMAN,22 OCT 2002,JAM,1f2,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1142,women_TJ,2026,https://worldathletics.org/athletes/athlete=14693847
22,14.24,+0.1,Sharifa DAVRONOVA,27 SEP 2006,UZB,1,,"Sport Development Center Stadium, Ordos (CHN)",12 JUL 2026,1142,women_TJ,2026,https://worldathletics.org/athletes/athlete=14956284
25,14.23,+0.6,Tuğba DANIŞMAZ,01 SEP 1999,TUR,3q2,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1141,women_TJ,2026,https://worldathletics.org/athletes/athlete=14589446
26,14.22,+0.7,Caroline JOYEUX,26 MAR 2001,GER,5,,"Kennedyplatz, Essen (GER)",21 JUN 2026,1140,women_TJ,2026,https://worldathletics.org/athletes/athlete=14736473
