Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Davisleydi VELAZCO,04 SEP 1999,14.85,CUB,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Saly SARR,14 OCT 2002,14.75,SEN,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,14.60,CUB,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Ackelia SMITH,05 FEB 2002,14.50,JAM,Oslo Bislett Games,10 JUN 2026,2026,4.,dl_meeting
Thea LAFOND,05 APR 1994,14.49,DMA,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Liadagmis POVEA,06 FEB 1996,14.21,CUB,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Maja ÅSKAG,18 DEC 2002,13.90,SWE,Oslo Bislett Games,10 JUN 2026,2026,7.,dl_meeting
Davisleydi VELAZCO,04 SEP 1999,14.76,CUB,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,14.51,CUB,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Maja ÅSKAG,18 DEC 2002,13.62,SWE,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Davisleydi VELAZCO,04 SEP 1999,15.13,CUB,Doha Meeting,19 JUN 2026,2026,1.,dl_meeting
Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,14.97,CUB,Doha Meeting,19 JUN 2026,2026,2.,dl_meeting
Saly SARR,14 OCT 2002,14.86,SEN,Doha Meeting,19 JUN 2026,2026,3.,dl_meeting
Liadagmis POVEA,06 FEB 1996,14.58,CUB,Doha Meeting,19 JUN 2026,2026,4.,dl_meeting
Thea LAFOND,05 APR 1994,14.52,DMA,Doha Meeting,19 JUN 2026,2026,5.,dl_meeting
Ilionis GUILLAUME,13 JAN 1998,13.99,FRA,Doha Meeting,19 JUN 2026,2026,6.,dl_meeting
Elena Andreea TALOȘ,24 FEB 1995,13.99,ROU,Doha Meeting,19 JUN 2026,2026,7.,dl_meeting
Tuğba DANIŞMAZ,01 SEP 1999,13.98,TUR,Doha Meeting,19 JUN 2026,2026,8.,dl_meeting
Neja FILIPIČ,22 APR 1995,13.94,SLO,Doha Meeting,19 JUN 2026,2026,9.,dl_meeting
Caroline JOYEUX,26 MAR 2001,13.94,GER,Doha Meeting,19 JUN 2026,2026,10.,dl_meeting
Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,14.93,CUB,Doha Meeting,19 JUN 2026,2026,,dl_meeting
Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,15.06,CUB,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,1.,dl_meeting
Saly SARR,14 OCT 2002,14.99,SEN,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,2.,dl_meeting
Thea LAFOND,05 APR 1994,14.79,DMA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,3.,dl_meeting
Davisleydi VELAZCO,04 SEP 1999,14.66,CUB,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,4.,dl_meeting
Liadagmis POVEA,06 FEB 1996,14.43,CUB,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,5.,dl_meeting
Dariya DERKACH,27 MAR 1993,14.33,ITA,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,6.,dl_meeting
Neja FILIPIČ,22 APR 1995,14.07,SLO,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,7.,dl_meeting
Ackelia SMITH,05 FEB 2002,14.02,JAM,Meeting International d’Athlétisme Herculis EBS,10 JUL 2026,2026,8.,dl_meeting
Saly SARR,14 OCT 2002,15.08,SEN,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,1.,dl_meeting
Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,14.91,CUB,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,2.,dl_meeting
Davisleydi VELAZCO,04 SEP 1999,14.84,CUB,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,3.,dl_meeting
Thea LAFOND,05 APR 1994,14.58,DMA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,4.,dl_meeting
Dariya DERKACH,27 MAR 1993,14.33,ITA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,5.,dl_meeting
Liadagmis POVEA,06 FEB 1996,14.18,CUB,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,6.,dl_meeting
Aleksandra NACHEVA,20 AUG 2001,14.09,BUL,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,7.,dl_meeting
Ackelia SMITH,05 FEB 2002,13.97,JAM,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,8.,dl_meeting
Ivana ŠPANOVIĆ,10 MAY 1990,13.46,SRB,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,9.,dl_meeting
Saliyya GUISSE,08 JUL 1996,13.45,BEL,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,10.,dl_meeting
