venue,date,temp_max_c,temp_mean_c,humidity_pct
"""READY STEADY TOKYO - Athletics""",2021-05-09,27.1,20.3,50
4th Irena Szewinska Memorial,2022-06-03,22.4,16.0,63
60th Ostrava Golden Spike,2021-05-19,15.2,11.4,78
61st Golden Spike,2022-05-31,21.4,15.0,68
62nd Ostrava Golden Spike,2023-06-27,20.8,17.2,73
68° ORLEN Janusz Kusociński Memorial,2022-06-05,24.1,18.9,64
6th Irena Szewińska Memorial,2024-06-20,22.0,16.9,68
"AFU Athletics Stadium, Tashkent (UZB)",2021-06-28,39.6,31.8,16
"AFU Athletics Stadium, Tashkent (UZB)",2021-06-29,39.8,32.2,16
"AFU Athletics Stadium, Tashkent (UZB)",2024-06-28,36.7,29.9,41
"AFU Athletics Stadium, Tashkent (UZB)",2024-06-29,36.6,30.8,33
"AFU Athletics Stadium, Tashkent (UZB)",2025-05-15,38.6,31.3,18
"AFU Athletics Stadium, Tashkent (UZB)",2025-06-21,38.7,32.5,18
"AFU Athletics Stadium, Tashkent (UZB)",2025-08-17,31.7,26.3,26
"AFU Athletics Stadium, Tashkent (UZB)",2025-09-17,25.2,19.7,32
"AFU Athletics Stadium, Tashkent (UZB)",2026-06-25,35.5,30.3,33
"AIS Athletics Track, Canberra (AUS)",2020-01-24,26.5,21.2,57
"AIS Athletics Track, Canberra (AUS)",2020-01-25,30.7,23.9,60
"AIS Athletics Track, Canberra (AUS)",2020-01-27,34.1,25.8,54
"AIS Athletics Track, Canberra (AUS)",2020-02-13,24.6,19.7,84
"AIS Athletics Track, Canberra (AUS)",2020-02-29,26.2,19.6,62
"AIS Athletics Track, Canberra (AUS)",2020-12-19,20.4,15.7,77
"AIS Athletics Track, Canberra (AUS)",2021-02-13,26.3,17.1,75
"AIS Athletics Track, Canberra (AUS)",2021-02-25,21.8,15.9,78
"AIS Athletics Track, Canberra (AUS)",2021-03-31,22.0,14.0,77
"AIS Athletics Track, Canberra (AUS)",2024-01-27,24.8,18.0,68
"AIS Athletics Track, Canberra (AUS)",2024-03-02,26.2,19.0,72
"AIS Athletics Track, Canberra (AUS)",2025-01-26,25.9,20.8,74
"AIS Athletics Track, Canberra (AUS)",2026-01-25,36.7,26.2,41
Albi (FRA),2018-06-23,25.7,19.2,56
Albi (FRA),2018-07-06,25.1,19.9,73
Albi (FRA),2018-07-07,29.3,22.4,64
Albi (FRA),2018-07-08,30.0,23.7,57
"Alexander Stadium, Birmingham (GBR)",2018-08-18,21.8,17.9,76
"Alexander Stadium, Birmingham (GBR)",2019-08-18,18.4,14.7,73
"Alexander Stadium, Birmingham (GBR)",2019-08-24,25.7,18.6,70
"Alexander Stadium, Birmingham (GBR)",2019-08-25,28.3,21.3,66
"Alexander Stadium, Birmingham (GBR)",2022-05-21,16.6,12.8,73
"Alexander Stadium, Birmingham (GBR)",2022-08-02,24.6,20.3,82
"Alexander Stadium, Birmingham (GBR)",2022-08-03,24.4,20.2,70
"Alexander Stadium, Birmingham (GBR)",2022-08-04,20.2,15.8,66
"Alexander Stadium, Birmingham (GBR)",2022-08-05,18.6,14.3,63
"Alexander Stadium, Birmingham (GBR)",2022-08-06,21.9,15.6,62
"Alexander Stadium, Birmingham (GBR)",2022-08-07,23.2,17.0,63
"Alexander Stadium, Birmingham (GBR)",2023-08-02,19.3,15.9,84
"Alexander Stadium, Birmingham (GBR)",2025-08-02,21.0,16.4,62
