venue,place,country,lat,lon,elevation_m,rows
"Hayward Field, Eugene, OR (USA)",Eugene,USA,44.05207,-123.08675,130.0,1419
Meeting de Paris,Paris,,48.85341,2.3488,43.0,1166
Athletissima Lausanne,Lausanne,,46.516,6.63282,461.0,1123
European Athletics Championships,,,,,,1072
Oslo Bislett Games,Oslo,,59.91273,10.74609,27.0,885
Prefontaine Classic,Eugene,,44.05207,-123.08675,130.0,762
Silesia Kamila Skolimowska Memorial,Chorzow,,50.30582,18.9742,321.0,736
Meeting International Mohammed VI d'Athletisme de Rabat,Rabat,,34.01325,-6.83255,41.0,696
Gyulai István Memorial - Hungarian Athletics Grand Prix,Szekesfehervar,,47.18995,18.41034,117.0,674
BAUHAUS-Galan,Stockholm,,59.32938,18.06871,24.0,642
Golden Gala Pietro Mennea,Rome,,41.89193,12.51133,54.0,581
Wanda Diamond League Xiamen,Xiamen,,24.47979,118.08187,12.0,573
"National Stadium, Tokyo (JPN)",Tokyo,JPN,35.6895,139.69171,40.0,525
Memorial van Damme,Brussels,,50.85045,4.34878,27.0,431
FBK Games,Hengelo,,52.26583,6.79306,20.0,408
Diamond League Meeting,,,,,,401
Memorial Borisa Hanžekovića,Zagreb,,45.81444,15.97798,137.0,389
London Athletics Meet,London,,51.50853,-0.12574,23.0,376
Paavo Nurmi Games,,,,,,372
Meeting International d’Athlétisme Herculis EBS,Monaco,,43.73718,7.42145,44.0,369
The XXXIII Olympic Games,,,,,,365
"World Athletics Championships, Tokyo 2025",,,,,,363
The XXXII Olympic Games,,,,,,361
"World Athletics Championships, Budapest 2023",,,,,,359
IAAF World Championships in Athletics,,,,,,355
"World Athletics Championships, Oregon 2022",,,,,,355
Weltklasse Zürich,Zurich,,47.36667,8.55,442.0,321
"National Stadium, Kingston (JAM)",Kingston,JAM,17.99702,-76.79358,62.0,320
Golden Gala,Rome,,41.89193,12.51133,54.0,295
"Stadio Olimpico, Roma (ITA)",Roma,ITA,47.83333,26.6,133.0,294
IAAF Diamond League,,,,,,291
"Stadion Śląski, Chorzów (POL)",Chorzów,POL,50.30582,18.9742,321.0,275
"Stade Louis II, Monaco (MON)",Monaco,MON,43.73718,7.42145,44.0,275
Doha Meeting,Doha,,25.28545,51.53096,2.0,274
"Percy Beard Track, Gainesville, FL (USA)",Gainesville,USA,29.65163,-82.32483,59.0,272
Herculis,Monaco,,43.73718,7.42145,44.0,258
Herculis Meeting International d’Athlétisme EBS,Monaco,,43.73718,7.42145,44.0,253
"Olympic Stadium, London (GBR)",London,GBR,51.50853,-0.12574,23.0,249
"Nemzeti Atlétikai Központ, Budapest (HUN)",Budapest,HUN,47.49835,19.04045,124.0,249
"Olympiastadion, Berlin (GER)",Berlin,GER,52.52437,13.41053,46.0,246
"Stade Charléty, Paris (FRA)",Paris,FRA,48.85341,2.3488,43.0,234
"Boudewijnstadion, Bruxelles (BEL)",Bruxelles,BEL,,,,233
"Stade de France, Paris (FRA)",Paris,FRA,48.85341,2.3488,43.0,226
USATF Golden Games,,,,,,224
"Alexander Stadium, Birmingham (GBR)",Birmingham,GBR,52.48142,-1.89983,151.0,222
"Khalifa International Stadium, Doha (QAT)",Doha,QAT,25.28545,51.53096,2.0,222
"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",,,,,,222
IAAF Continental Cup,,,,,,220
"Drake Stadium, Des Moines, IA (USA)",Des Moines,USA,41.60054,-93.60911,265.0,197
"Mike A. Myers Stadium, Austin, TX (USA)",Austin,USA,30.26715,-97.74306,157.0,193
"Putbosstadion, Oordegem (BEL)",Oordegem,BEL,50.95727,3.90201,35.0,184
Yangtze Delta Athletics Diamond Gala,,,,,,176
"Millican Field at Throw Town, Ramona, OK (USA)",Ramona,USA,33.04171,-116.86808,438.0,176
"Convention Center, Albuquerque, NM (USA) (i)",,,,,,174
"Yanmar Stadium Nagai, Osaka (JPN)",Osaka,JPN,34.69379,135.50107,5.0,173
"Estadio Vallehermoso, Madrid (ESP)",Madrid,ESP,40.4165,-3.70256,651.0,170
"John McDonnell Field, Fayetteville, AR (USA)",Fayetteville,USA,35.05266,-78.87836,36.0,170
"Cushing Stadium, College Station, TX (USA)",College Station,USA,30.62798,-96.33441,105.0,169
"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",,,,,,167
"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",Lexington,USA,37.98869,-84.47772,295.0,162
Golden Gala - Pietro Mennea,Rome,,41.89193,12.51133,54.0,159
"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",Jacksonville,USA,30.33218,-81.65565,6.0,157
Müller Anniversary Games,London,,51.50853,-0.12574,23.0,155
"Bislett Stadion, Oslo (NOR)",Oslo,NOR,59.91273,10.74609,27.0,152
Meeting International Mohammed VI d'Athlétisme de Rabat,Rabat,,34.01325,-6.83255,41.0,151
Seashore Group Doha Meeting,Doha,,25.28545,51.53096,2.0,151
60th Ostrava Golden Spike,Ostrava,,49.83465,18.28204,217.0,150
62nd Ostrava Golden Spike,Ostrava,,49.83465,18.28204,217.0,149
61st Golden Spike,Ostrava,,49.83465,18.28204,217.0,147
"Nyayo National Stadium, Nairobi (KEN)",Nairobi,KEN,-1.28333,36.81667,1677.0,146
Müller Grand Prix Gateshead,Gateshead,,54.96209,-1.60168,52.0,145
Roma Golden Gala - Pietro Mennea,Rome,,41.89193,12.51133,54.0,144
"Hilmer Lodge Stadium, Walnut, CA (USA)",Walnut,USA,34.02029,-117.86534,178.0,143
Yangtze River Delta Athletics Diamond Gala,,,,,,143
"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",Rabat,MAR,34.01325,-6.83255,41.0,142
"Mestský Stadion, Ostrava (CZE)",Ostrava,CZE,49.83465,18.28204,217.0,141
USATF NYC Grand Prix,,,,,,141
Monaco Herculis,Monaco,,43.73718,7.42145,44.0,140
"Suhaim bin Hamad Stadium, Doha (QAT)",Doha,QAT,25.28545,51.53096,2.0,139
"Olympiastadion, Stockholm (SWE)",Stockholm,SWE,59.32938,18.06871,24.0,139
Meeting International Mohammed VI d’Athlétisme de Rabat/Marrakech,Rabat,,34.01325,-6.83255,41.0,137
"""READY STEADY TOKYO - Athletics""",Tokyo,,35.6895,139.69171,40.0,136
Shanghai IAAF Diamond League,Shanghai,,31.22222,121.45806,7.0,135
Eugene Prefontaine Classic,Eugene,,44.05207,-123.08675,130.0,134
USATF Grand Prix,,,,,,133
LOTTO Silesia Kamila Skolimowska Memorial,Chorzow,,50.30582,18.9742,321.0,133
"FBK Stadium, Hengelo (NED)",Hengelo,NED,52.26583,6.79306,20.0,132
"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",Baton Rouge,USA,30.44332,-91.18747,18.0,131
London Müller Anniversary Games,London,,51.50853,-0.12574,23.0,131
Bauhaus-Galan,Stockholm,,59.32938,18.06871,24.0,129
Boris Hanžeković Memorial,Zagreb,,45.81444,15.97798,137.0,129
"Austin, TX (USA)",Austin,USA,30.26715,-97.74306,157.0,127
"Drake Stadium, Los Angeles, CA (USA)",Los Angeles,USA,34.05223,-118.24368,91.0,124
"Sports Park Mladost, Zagreb (CRO)",Zagreb,CRO,45.81444,15.97798,137.0,124
Wanda Diamond League,,,,,,124
"Cougar Athletic Stadium, Azusa, CA (USA)",Azusa,USA,34.13362,-117.90756,188.0,123
Birmingham Müller Grand Prix,Birmingham,,52.48142,-1.89983,151.0,123
Allianz Memorial Van Damme,Brussels,,50.85045,4.34878,27.0,123
BAUHAUS-galan,Stockholm,,59.32938,18.06871,24.0,122
Kip Keino Classic,,,,,,119
"Moi International Sports Centre, Kasarani, Nairobi (KEN)",Nairobi,KEN,-1.28333,36.81667,1677.0,118
"Letzigrund, Zürich (SUI)",Zürich,SUI,47.36667,8.55,442.0,118
"Paavo Nurmen Stadion, Turku (FIN)",Turku,FIN,60.45148,22.26869,8.0,117
"Icahn Stadium, New York, NY (USA)",New York,USA,40.71427,-74.00597,51.0,116
Ooredoo Doha Meeting,Doha,,25.28545,51.53096,2.0,116
Stockholm BAUHAUS-galan,Stockholm,,59.32938,18.06871,24.0,115
"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",Tucson,USA,32.22174,-110.92648,758.0,114
Müller Grand Prix,Birmingham,,52.48142,-1.89983,151.0,112
"Stade de La Charrière, La Chaux-de-Fonds (SUI)",La Chaux-de-Fonds,SUI,47.09993,6.82586,996.0,110
"COTP Stadium, São Paulo (BRA)",São Paulo,BRA,-23.5475,-46.63611,745.0,109
Doha IAAF Diamond League,Doha,,25.28545,51.53096,2.0,109
"Stade Olympique de la Pontaise, Lausanne (SUI)",Lausanne,SUI,46.516,6.63282,461.0,104
4th Irena Szewinska Memorial,Bydgoszcz,,53.1235,18.00762,41.0,103
New York Grand Prix,,,,,,102
Müller British GP,Birmingham,,52.48142,-1.89983,151.0,101
"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",Los Angeles,USA,34.05223,-118.24368,91.0,101
Kingston (JAM),Kingston,JAM,17.99702,-76.79358,62.0,100
"Sports Center, Quzhou (CHN)",Quzhou,CHN,28.95944,118.86861,73.0,100
Novuna London Athletics Meet,London,,51.50853,-0.12574,23.0,99
Gold Coast (AUS),Gold Coast,AUS,-28.00029,153.43088,7.0,98
6th Irena Szewińska Memorial,Bydgoszcz,,53.1235,18.00762,41.0,97
"Estadio Panamericano, La Habana (CUB)",La Habana,CUB,28.8569,-111.31263,100.0,96
"Regional Sport Complex, Brest (BLR)",Brest,BLR,52.10894,23.71749,143.0,95
"Olympic Stadium, Cheboksary (RUS)",Cheboksary,RUS,56.13218,47.246,126.0,94
"Sports Performance Center, Lubbock, TX (USA) (i)",,,,,,94
"Denka Big Swan Stadium, Niigata (JPN)",Niigata,JPN,37.92259,139.04124,4.0,91
"Yelena Yelesina Stadium, Chelyabinsk (RUS)",Chelyabinsk,RUS,55.1611,61.42877,221.0,88
World Athletics Continental Tour - Beijing,,,,,,85
"Olympiastadion, München (GER)",München,GER,48.13743,11.57549,524.0,84
68° ORLEN Janusz Kusociński Memorial,Chorzow,,50.30582,18.9742,321.0,84
"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",Bydgoszcz,POL,53.1235,18.00762,41.0,80
"Stade Raymond Petit, Tomblaine (FRA)",Tomblaine,FRA,48.68378,6.2162,211.0,79
Castellón (ESP),Castellón,ESP,39.98567,-0.04935,49.0,78
"Bregyó Athletic Center, Székesfehérvár (HUN)",Székesfehérvár,HUN,47.18995,18.41034,117.0,78
"Stadion De Veen, Heusden-Zolder (BEL)",Heusden-Zolder,BEL,51.03729,5.29653,42.0,78
"Arena Toruń, Toruń (POL) (i)",,,,,,77
"LFK CSKA, Moskva (RUS) (i)",,,,,,77
"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",Memphis,USA,35.14953,-90.04898,84.0,76
"McArthur Stadium, Potchefstroom (RSA)",Potchefstroom,RSA,-26.71667,27.1,1330.0,71
"National Training Center, Clermont, FL (USA)",Clermont,USA,28.54944,-81.77285,44.0,70
"CNDA, Bragança Paulista (BRA)",Bragança Paulista,BRA,-22.9527,-46.54418,815.0,68
"Egret Stadium, Xiamen (CHN)",Xiamen,CHN,24.47979,118.08187,12.0,68
"Griswold Stadium, Portland, OR (USA)",Portland,USA,45.52345,-122.67621,13.0,68
"Ansin Sports Complex, Miramar, FL (USA)",Miramar,USA,25.98731,-80.23227,2.0,67
"Vanderbilt Track, Nashville, TN (USA)",Nashville,USA,36.16589,-86.78444,158.0,67
Irena Szewinska Memorial / Bydgoszcz Cup,Bydgoszcz,,53.1235,18.00762,41.0,67
"Cobb Track and Angell Field, Palo Alto, CA (USA)",Palo Alto,USA,37.44188,-122.14302,11.0,65
"Stadium Municipal, Albi (FRA)",Albi,FRA,43.9298,2.148,177.0,65
"Estadio Iberoamericano, Huelva (ESP)",Huelva,ESP,37.26638,-6.94004,33.0,64
"Parc des Sports C. Ehrmann, Nice (FRA)",Nice,FRA,43.70313,7.26608,17.0,62
"Kalininets Stadium, Yekaterinburg (RUS)",Yekaterinburg,RUS,56.85733,60.61529,266.0,62
"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",,,,,,62
"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",Lubbock,USA,33.57786,-101.85517,978.0,60
"CVEATC, Chula Vista, CA (USA)",Chula Vista,USA,32.64005,-117.0842,24.0,60
"Estadio Atlético de la VIDENA, Lima (PER)",Lima,PER,-12.04318,-77.02824,155.0,60
"Palo Alto, CA (USA)",Palo Alto,USA,37.44188,-122.14302,11.0,60
"Sacramento, CA (USA)",Sacramento,USA,38.58157,-121.4944,22.0,59
"Centre sportif Bout-du-Monde, Genève (SUI)",Genève,SUI,46.20222,6.14569,405.0,59
"Stadio Luigi Ridolfi, Firenze (ITA)",Firenze,ITA,43.80077,11.23441,60.0,58
"Stade Raymond Troussier, Decines (FRA)",Decines,FRA,45.76873,4.95883,188.0,58
"Ratinan Stadion, Tampere (FIN)",Tampere,FIN,61.49911,23.78712,107.0,57
Heusden-Zolder (BEL),Heusden-Zolder,BEL,51.03729,5.29653,42.0,57
"Fana Stadion, Bergen (NOR)",Bergen,NOR,60.39299,5.32415,17.0,57
"Eugene, OR (USA)",Eugene,USA,44.05207,-123.08675,130.0,56
"Chula Vista, CA (USA)",Chula Vista,USA,32.64005,-117.0842,24.0,56
"Stadion Juliska, Praha (CZE)",Praha,CZE,50.08804,14.42076,205.0,55
Xi'an (CHN),Xi'an,CHN,34.25833,108.92861,414.0,55
"Kadrioru staadion, Tallinn (EST)",Tallinn,EST,59.43696,24.75353,10.0,55
"Eintracht-Stadion, Braunschweig (GER)",Braunschweig,GER,52.26594,10.52673,73.0,54
"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",Shaoxing/Keqiao,CHN,,,,54
"Billy Hayes T& F Complex, Bloomington, IN (USA)",Bloomington,USA,39.16533,-86.52639,239.0,52
"National Stadium, Gaborone (BOT)",Gaborone,BOT,-24.65451,25.90859,1007.0,51
"Golęcin Stadion, Poznan (POL)",Poznan,POL,52.40692,16.92993,74.0,51
"Yunost Stadium, Adler, Sochi (RUS)",Sochi,RUS,43.59699,39.72477,15.0,51
"Bestmed Tuks Stadium, Pretoria (RSA)",Pretoria,RSA,-25.74486,28.18783,1321.0,50
"Werferzentrum Brandberge, Halle (GER)",Halle,GER,51.48158,11.97947,115.0,50
"Stadio Quercia, Rovereto (ITA)",Rovereto,ITA,45.8904,11.04053,202.0,49
"Dinamo National Olympic Stadium, Minsk (BLR)",Minsk,BLR,53.90019,27.56653,226.0,49
"Lohrheidestadion, Wattenscheid, Bochum (GER)",Bochum,GER,51.48165,7.21648,95.0,48
"Municipal Mizuho Stadium, Nagoya (JPN)",Nagoya,JPN,35.18147,136.9064,23.0,48
"Stade Delort, Marseille (FRA)",Marseille,FRA,43.29695,5.38107,30.0,48
"Stadium Desna, Bryansk (RUS)",Bryansk,RUS,53.27096,34.32143,211.0,48
"Emirates Arena, Glasgow (GBR) (i)",,,,,,48
"Pascual Guerrero Stadium, Cali (COL)",Cali,COL,3.43054,-76.5199,960.0,47
"SOPAC, Sydney (AUS)",Sydney,AUS,-33.86785,151.20732,51.0,47
"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",Guangzhou,CHN,23.11667,113.25,15.0,47
"Stadio Comunale, Bellinzona (SUI)",Bellinzona,SUI,46.19278,9.01703,226.0,46
"RTSOP, Minsk (BLR)",Minsk,BLR,53.90019,27.56653,226.0,46
"Knoxville, TN (USA)",Knoxville,USA,35.96064,-83.92074,276.0,45
La Chaux-de-Fonds (SUI),La Chaux-de-Fonds,SUI,47.09993,6.82586,996.0,45
"Paul Derr TF Facility, Raleigh, NC (USA)",Raleigh,USA,35.7721,-78.63861,100.0,45
"TSV Stadion, Pfungstadt (GER)",Pfungstadt,GER,49.80557,8.60307,106.0,45
"JSerra Catholic HS, San Juan Capistrano, CA (USA)",San Juan Capistrano,USA,33.50169,-117.66255,39.0,45
"LAZ Wien, Wien (AUT)",Wien,AUT,39.66086,-92.78436,248.0,45
Barranquilla (COL),Barranquilla,COL,10.96854,-74.78132,21.0,44
"Prefectural Stadium, Fukui (JPN)",Fukui,JPN,36.06443,136.22256,18.0,44
"Franklin Field, Philadelphia, PA (USA)",Philadelphia,USA,39.95238,-75.16362,16.0,44
"Dempsey Indoor, Seattle, WA (USA) (i)",,,,,,44
Nairobi (KEN),Nairobi,KEN,-1.28333,36.81667,1677.0,43
"Los Angeles, CA (USA)",Los Angeles,USA,34.05223,-118.24368,91.0,43
"Armory Track&Field Center, New York, NY (USA) (i)",,,,,,43
"Ataköy Arena, Istanbul (TUR) (i)",,,,,,43
"Azusa, CA (USA)",Azusa,USA,34.13362,-117.90756,188.0,42
"Hornet Stadium - Sac St., Sacramento, CA (USA)",Sacramento,USA,38.58157,-121.4944,22.0,42
"Gallur, Madrid (ESP) (i)",,,,,,42
"Gilliam Indoor Track, College Station, TX (USA) (i)",,,,,,42
"Tampa, FL (USA)",Tampa,USA,27.94752,-82.45843,10.0,41
"Shanghai Stadium, Shanghai (CHN)",Shanghai,CHN,31.22222,121.45806,7.0,41
"Hutsell-Rosen Track, Auburn, AL (USA)",Auburn,USA,42.93173,-76.56605,206.0,41
"Grand Bahama Sports Complex, Freeport (BAH)",Freeport,BAH,42.29669,-89.62123,241.0,41
"Clyde Hart Track & Field Stadium, Waco, TX (USA)",Waco,USA,31.54933,-97.14667,148.0,40
"Kuishan Sports Center, Rizhao (CHN)",Rizhao,CHN,35.41414,119.52908,29.0,40
"Scotstoun Stadium, Glasgow (GBR)",Glasgow,GBR,55.86515,-4.25763,38.0,40
"Shangyu Stadium, Shaoxing (CHN)",Shaoxing,CHN,30.00237,120.57864,7.0,40
