discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_110h,Yaqoub ALYOUHA,31 JAN 1993,13.71,,KUW,Kuwait (KUW),Kuwaiti Championships,02 MAR 2026,2026,1.0,B,National Championships,7230944,worldwide
men_110h,De'jour RUSSELL,01 APR 2000,13.47,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,1.0,D,Continental Tour,7237812,worldwide
men_110h,Andre KORBMACHER,30 APR 2005,13.47,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,1.0,D,Continental Tour,7235940,worldwide
men_110h,Serge TAHA,24 JUN 2005,13.67,,CIV,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,3.0,D,Continental Tour,7235940,worldwide
men_110h,Isaiah TAYLOR,,13.77,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,4.0,D,Continental Tour,7235940,worldwide
men_110h,Zachary EXTINE,,DNF,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,,D,Continental Tour,7235940,worldwide
men_110h,Kemorena TISANG,25 APR 1995,13.81,,BOT,"National Stadium, Gaborone (BOT)",Botswana Championships,03 APR 2026,2026,1.0,B,National Championships,7241518,worldwide
men_110h,Jamal BRITT,28 DEC 1998,13.07,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,1.0,B,Continental Tour,7236487,worldwide
men_110h,Eric EDWARDS,03 JAN 2000,13.29,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,2.0,B,Continental Tour,7236487,worldwide
men_110h,Louis ROLLINS,30 SEP 1996,13.42,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,3.0,B,Continental Tour,7236487,worldwide
men_110h,De'jour RUSSELL,01 APR 2000,13.45,,JAM,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,4.0,B,Continental Tour,7236487,worldwide
men_110h,De'Vion WILSON,18 MAY 2000,13.54,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,5.0,B,Continental Tour,7236487,worldwide
men_110h,Lafranz CAMPBELL,19 OCT 1997,13.67,,JAM,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,6.0,B,Continental Tour,7236487,worldwide
men_110h,Franco LE ROUX,01 DEC 2005,13.47,,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,1.0,D,Continental Tour,7237627,worldwide
men_110h,Tayleb WILLIS,18 MAR 2003,13.77,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,4.0,B,National Championships,7232772,worldwide
men_110h,Antonio ALKANA,12 APR 1990,13.70,,RSA,"Hoërskool Stadium, Stellenbosch (RSA)",Cape Miller Continental Tour,10 APR 2026,2026,2.0,D,Continental Tour,7237030,worldwide
men_110h,Mondray BARNARD,08 MAY 2002,13.99,,RSA,"Hoërskool Stadium, Stellenbosch (RSA)",Cape Miller Continental Tour,10 APR 2026,2026,3.0,D,Continental Tour,7237030,worldwide
men_110h,Martín SÁENZ DE SANTA MARÍA,17 JAN 2001,13.55,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Chilean Championships,11 APR 2026,2026,1.0,B,National Championships,7236143,worldwide
men_110h,Mondray BARNARD,08 MAY 2002,13.51,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,2.0,B,National Championships,7237289,worldwide
men_110h,Antonio ALKANA,12 APR 1990,13.52,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,3.0,B,National Championships,7237289,worldwide
men_110h,Eric EDWARDS,03 JAN 2000,13.61,,USA,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,1.0,C,Continental Tour,7239468,worldwide
men_110h,Rafael PEREIRA,08 APR 1997,13.39,,BRA,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Continental Tour Orlando Guaita,19 APR 2026,2026,1.0,C,Continental Tour,7239057,worldwide
men_110h,Martín SÁENZ DE SANTA MARÍA,17 JAN 2001,13.70,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Continental Tour Orlando Guaita,19 APR 2026,2026,2.0,C,Continental Tour,7239057,worldwide
men_110h,De'jour RUSSELL,01 APR 2000,13.53,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #19,19 APR 2026,2026,1.0,D,Continental Tour,7238860,worldwide
men_110h,Jamal BRITT,28 DEC 1998,13.22,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,25 APR 2026,2026,1.0,B,Continental Tour,7237033,worldwide
men_110h,Jamar MARSHALL,18 DEC 2001,13.31,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,25 APR 2026,2026,2.0,B,Continental Tour,7237033,worldwide
men_110h,Darius BROWN,30 NOV 2002,13.46,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,25 APR 2026,2026,3.0,B,Continental Tour,7237033,worldwide
men_110h,Tade OJORA,14 OCT 1999,13.47,,GBR,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,25 APR 2026,2026,4.0,B,Continental Tour,7237033,worldwide
men_110h,Connor SCHULMAN,02 JUL 2001,13.51,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,25 APR 2026,2026,5.0,B,Continental Tour,7237033,worldwide
men_110h,Lafranz CAMPBELL,19 OCT 1997,13.80,,JAM,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,25 APR 2026,2026,6.0,B,Continental Tour,7237033,worldwide
men_110h,Giano ROBERTS,12 FEB 2000,13.81,,JAM,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,25 APR 2026,2026,7.0,B,Continental Tour,7237033,worldwide
men_110h,De'Vion WILSON,18 MAY 2000,DNS,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,25 APR 2026,2026,,B,Continental Tour,7237033,worldwide
men_110h,Ja'qualon SCOTT,02 AUG 2001,13.87,,USA,"Franklin Field, Philadelphia, PA (USA)",Penn Relay Carnival,25 APR 2026,2026,1.0,B,Continental Tour,7234852,worldwide
men_110h,Braxton BRANN,2004,DNS,,USA,"Franklin Field, Philadelphia, PA (USA)",Penn Relay Carnival,25 APR 2026,2026,,B,Continental Tour,7234852,worldwide
men_110h,Shenglong ZHU,25 JAN 2000,13.56,,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,1.0,D,Continental Tour,7239297,worldwide
men_110h,Zijun ZHANG,18 JUL 2004,13.78,,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,4.0,D,Continental Tour,7239297,worldwide
men_110h,Antonio ALKANA,12 APR 1990,13.51,,RSA,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,1.,B,Continental Tour,7233329,worldwide
men_110h,Mondray BARNARD,08 MAY 2002,13.56,,RSA,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,2.,B,Continental Tour,7233329,worldwide
men_110h,Shunsuke IZUMIYA,26 JAN 2000,13.38,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,1.,C,Continental Tour,7238866,worldwide
men_110h,Jeremy KOGA,21 MAY 2007,13.40,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,2.,C,Continental Tour,7238866,worldwide
men_110h,Shusei NOMOTO,25 OCT 1995,13.51,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,3.,C,Continental Tour,7238866,worldwide
men_110h,Junxi LIU,11 DEC 2003,13.51,,CHN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,4.,C,Continental Tour,7238866,worldwide
men_110h,Tatsuki ABE,03 AUG 2003,13.57,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,5.,C,Continental Tour,7238866,worldwide
