discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_200m,Christopher IUS,10 FEB 2000,20.55,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
men_200m,Shay VEITCH,07 DEC 2000,21.23,,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,5.0,C,Continental Tour,7230815,worldwide
men_200m,Lachlan KENNEDY,04 NOV 2003,20.43,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,1.0,C,Continental Tour,7232365,worldwide
men_200m,Calab LAW,31 DEC 2003,20.7,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,2.0,C,Continental Tour,7232365,worldwide
men_200m,Aidan MURPHY,14 OCT 2003,20.43,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
men_200m,Reece HOLDER,20 AUG 2002,20.62,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,2.0,C,Continental Tour,7232366,worldwide
men_200m,Jacory PATTERSON,02 FEB 2000,20.84,,USA,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,4.0,C,Continental Tour,7232366,worldwide
men_200m,Adrian KERR,07 OCT 2003,20.56,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,1.0,D,Continental Tour,7237812,worldwide
men_200m,Zharnel HUGHES,13 JUL 1995,20.65,,GBR,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,2.0,D,Continental Tour,7237812,worldwide
men_200m,Kadrian GOLDSON,08 NOV 1997,20.66,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,3.0,D,Continental Tour,7237812,worldwide
men_200m,Jevaughn POWELL,19 NOV 2000,20.72,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,4.0,D,Continental Tour,7237812,worldwide
men_200m,Nigel ELLIS,08 AUG 1997,20.8,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,5.0,D,Continental Tour,7237812,worldwide
men_200m,Gary CARD,04 JUN 2007,21.12,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,6.0,D,Continental Tour,7237812,worldwide
men_200m,Lachlan KENNEDY,04 NOV 2003,20.38,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,1.0,A,Continental Tour,7232016,worldwide
men_200m,Gout GOUT,29 DEC 2007,20.43,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,2.0,A,Continental Tour,7232016,worldwide
men_200m,Calab LAW,31 DEC 2003,20.74,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,4.0,A,Continental Tour,7232016,worldwide
