discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_3000sc,Yutaro NIINAE,06 FEB 2001,8:33.77,,JPN,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
men_3000sc,Ben BUCKINGHAM,08 NOV 1991,8:36.67,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,2.0,C,Continental Tour,7232366,worldwide
men_3000sc,Daichi SHIBATA,02 NOV 2004,9:40.00,,JPN,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,12.0,C,Continental Tour,7232366,worldwide
men_3000sc,Milkesa FIKADU,22 JUN 2005,8:34.04,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,25 MAR 2026,2026,1.0,B,National Championships,7234052,worldwide
men_3000sc,Samuel FIREWU,03 MAY 2004,8:39.28,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,25 MAR 2026,2026,3.0,B,National Championships,7234052,worldwide
men_3000sc,Abrham SIME,07 NOV 2001,8:52.26,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,25 MAR 2026,2026,7.0,B,National Championships,7234052,worldwide
men_3000sc,Geoffrey Kipkemoi KIRWA,03 JUL 2001,8:08.10,,KEN,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,16 APR 2026,2026,1.0,D,Continental Tour,7237976,worldwide
men_3000sc,Silas KIPTANUI,,8:25.16,,KEN,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,16 APR 2026,2026,3.0,D,Continental Tour,7237976,worldwide
men_3000sc,Jackson SHORTEN,15 JUL 2004,8:26.75,,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,16 APR 2026,2026,4.0,D,Continental Tour,7237976,worldwide
men_3000sc,Soheil BOUFRIZI,03 OCT 2001,8:28.05,,FRA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,16 APR 2026,2026,5.0,D,Continental Tour,7237976,worldwide
men_3000sc,Rob MCMANUS,15 JUL 2002,8:31.85,,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,16 APR 2026,2026,10.0,D,Continental Tour,7237976,worldwide
men_3000sc,Edward TRIPPAS,22 SEP 1998,8:35.29,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,1.0,B,National Championships,7232772,worldwide
men_3000sc,Ben BUCKINGHAM,08 NOV 1991,8:45.86,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,2.0,B,National Championships,7232772,worldwide
men_3000sc,Hailemariyam AMARE,22 FEB 1997,DNF,,ETH,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,,C,Continental Tour,7239468,worldwide
men_3000sc,Simon KOECH,06 OCT 2003,8:15.71,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,2.0,A,Continental Tour,7233226,worldwide
men_3000sc,Leonard Kipkemoi BETT,03 NOV 2000,8:25.06,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,3.0,A,Continental Tour,7233226,worldwide
men_3000sc,Edmund SEREM,27 DEC 2007,8:25.85,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,4.0,A,Continental Tour,7233226,worldwide
men_3000sc,Milkesa FIKADU,22 JUN 2005,8:26.07,,ETH,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,5.0,A,Continental Tour,7233226,worldwide
men_3000sc,Abraham KIBIWOT,06 APR 1996,8:30.86,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,6.0,A,Continental Tour,7233226,worldwide
men_3000sc,Wesley LANGAT,07 JUL 1994,8:48.11,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,10.0,A,Continental Tour,7233226,worldwide
men_3000sc,Amos SEREM,28 AUG 2002,8:54.45,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,11.0,A,Continental Tour,7233226,worldwide
men_3000sc,Wilberforce Chemiat KONES,19 SEP 1993,DNF,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,,A,Continental Tour,7233226,worldwide
men_3000sc,Ryoma AOKI,16 JUN 1997,8:22.69,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,1.,C,Continental Tour,7238866,worldwide
men_3000sc,Yutaro NIINAE,06 FEB 2001,8:23.60,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,2.,C,Continental Tour,7238866,worldwide
men_3000sc,Seiya SUNADA,30 OCT 2001,8:32.10,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,3.,C,Continental Tour,7238866,worldwide
men_3000sc,Atsushi SHOBU,16 DEC 2001,8:52.04,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,13.,C,Continental Tour,7238866,worldwide
men_3000sc,Yasunari KUSU,21 AUG 1993,DNF,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,,C,Continental Tour,7238866,worldwide
men_3000sc,Ryuji MIURA,11 FEB 2002,DNF,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,,C,Continental Tour,7238866,worldwide
men_3000sc,Salem Mohamed ATTIAALLAH,01 OCT 1993,8:58.76,,EGY,"King Fahd Sports City Stadium, Taif (KSA)",The Saudi Arabian Championships for Men,09 MAY 2026,2026,OC,B,National Championships,7237446,worldwide
men_3000sc,John KOECH,23 AUG 1995,9:16.19,,BRN,"King Fahd Sports City Stadium, Taif (KSA)",The Saudi Arabian Championships for Men,09 MAY 2026,2026,OC,B,National Championships,7237446,worldwide
men_3000sc,Salah Eddine BEN YAZIDE,06 MAY 2003,8:41.02,,MAR,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,14 MAY 2026,2026,2.,GL,Area Champs,7238651,worldwide
men_3000sc,Samuel FIREWU,03 MAY 2004,8:41.67,,ETH,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,14 MAY 2026,2026,3.,GL,Area Champs,7238651,worldwide
men_3000sc,Mohamed TINDOUFT,12 MAR 1993,8:42.12,,MAR,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,14 MAY 2026,2026,5.,GL,Area Champs,7238651,worldwide
men_3000sc,Leonard CHEMUTAI,05 MAY 2003,8:45.03,,UGA,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,14 MAY 2026,2026,6.,GL,Area Champs,7238651,worldwide
men_3000sc,Milkesa FIKADU,22 JUN 2005,8:47.74,,ETH,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,14 MAY 2026,2026,8.,GL,Area Champs,7238651,worldwide
men_3000sc,Amos SEREM,28 AUG 2002,8:53.76,,KEN,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,14 MAY 2026,2026,9.,GL,Area Champs,7238651,worldwide
men_3000sc,Zakaria EL AHLAAMI,07 JUL 2004,8:35.13,,QAT,"Suhaim bin Hamad Stadium, Doha (QAT)",GCC Games,14 MAY 2026,2026,1.,D,Area Regional Champs,7238929,worldwide
men_3000sc,Yaser Salem BAGHARAB,01 JAN 1998,9:08.58,,QAT,"Suhaim bin Hamad Stadium, Doha (QAT)",GCC Games,14 MAY 2026,2026,2.,D,Area Regional Champs,7238929,worldwide
men_3000sc,Hailu AYALEW,21 JAN 2008,8:22.91,,ETH,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,2.,C,Continental Tour,7235003,worldwide
men_3000sc,Eisa GIRMA,21 SEP 2007,8:23.59,,ETH,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,4.,C,Continental Tour,7235003,worldwide
men_3000sc,Alejandro QUIJADA,07 MAR 2001,8:24.02,,ESP,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,5.,C,Continental Tour,7235003,worldwide
men_3000sc,Simon SUNDSTRÖM,04 FEB 1998,8:24.89,,SWE,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,7.,C,Continental Tour,7235003,worldwide
men_3000sc,Berihun MOGES,18 MAR 2005,8:25.44,,ETH,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,8.,C,Continental Tour,7235003,worldwide
men_3000sc,Rubén LEONARDO,15 FEB 2004,8:26.35,,ESP,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,9.,C,Continental Tour,7235003,worldwide
men_3000sc,Mark PEARCE,19 JAN 1996,8:26.61,,GBR,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,10.,C,Continental Tour,7235003,worldwide
men_3000sc,Ben BUCKINGHAM,08 NOV 1991,8:27.67,,AUS,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,11.,C,Continental Tour,7235003,worldwide
men_3000sc,William BATTERSHILL,25 FEB 1998,8:30.01,,GBR,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,13.,C,Continental Tour,7235003,worldwide
men_3000sc,Lourenço RODRIGUES,02 FEB 2004,8:32.56,,POR,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,16.,C,Continental Tour,7235003,worldwide
men_3000sc,István PALKOVITS,27 DEC 2000,8:34.39,,HUN,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,17.,C,Continental Tour,7235003,worldwide
men_3000sc,Tim VAN DE VELDE,01 FEB 2000,8:48.04,,BEL,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,19.,C,Continental Tour,7235003,worldwide
men_3000sc,Robin MÜLLER,12 JUN 2003,DNF,,GER,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,,C,Continental Tour,7235003,worldwide
men_3000sc,Parker STOKES,05 SEP 2000,8:23.88,,USA,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,1.,B,Continental Tour,7236537,worldwide
men_3000sc,Yasin SADO,10 MAR 2001,8:24.06,,USA,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,2.,B,Continental Tour,7236537,worldwide
men_3000sc,Aaron AHL,25 FEB 1999,8:24.08,,CAN,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,3.,B,Continental Tour,7236537,worldwide
men_3000sc,Ahmed JAZIRI,16 DEC 1997,8:27.72,,TUN,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,4.,B,Continental Tour,7236537,worldwide
men_3000sc,Daniel MICHALSKI,10 SEP 1995,8:27.99,,USA,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,5.,B,Continental Tour,7236537,worldwide
men_3000sc,Kenneth ROOKS,21 OCT 1999,8:28.54,,USA,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,6.,B,Continental Tour,7236537,worldwide
men_3000sc,Duncan HAMILTON,14 JUL 2000,8:28.81,,USA,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,7.,B,Continental Tour,7236537,worldwide
men_3000sc,Benard KETER,25 MAY 1992,8:31.16,,USA,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,8.,B,Continental Tour,7236537,worldwide
men_3000sc,Hibiki OBARA,10 NOV 2001,8:33.21,,JPN,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,9.,B,Continental Tour,7236537,worldwide
men_3000sc,Edward TRIPPAS,22 SEP 1998,8:35.63,,AUS,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,10.,B,Continental Tour,7236537,worldwide
men_3000sc,Anthony ROTICH,20 OCT 1990,8:39.82,,USA,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,11.,B,Continental Tour,7236537,worldwide
men_3000sc,Daichi SHIBATA,02 NOV 2004,8:49.91,,JPN,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,12.,B,Continental Tour,7236537,worldwide
men_3000sc,Kevin ROBERTSON,28 SEP 1998,DNF,,CAN,"Drake Stadium, Los Angeles, CA (USA)",LA Track Festival,23 MAY 2026,2026,,B,Continental Tour,7236537,worldwide
